# ^zz++++=##
# ^zz++++=EXTRAWORD
Lights ^nns++++=Lights
in ^in++++=in
the ^ati++++=the
Abyss ^nn++++=Abyss
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
seasons ^nns++++=seasons
in ^in++++=in
the ^ati++++=the
history ^nn++++=history
of ^in++++=of
nations ^nns+nom+++=nations
when ^wrb+who+++=when
injustice ^nn++++=injustice,
, ^zz++++=EXTRAWORD
long ^rb++++=long
endured ^vbd+++xvbn+=endured,
, ^zz++++=EXTRAWORD
awakens ^nns+++??+=awakens
a ^at++++=a
just ^rb+emph+++=just
indignation ^nn+nom+++=indignation;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
also ^rb++++=also
seasons ^nns++++=seasons
when ^wrb+who+++=when
indignation ^nn+nom+++=indignation,
, ^zz++++=EXTRAWORD
no ^at++++=no
longer ^rbr++++=longer
governed ^vpsv++by+xvbn+=governed
by ^in++++=by
conscience ^nn+nom+++=conscience,
, ^zz++++=EXTRAWORD
becomes ^vbz++++=becomes
vengeance ^nn+nom+++=vengeance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
vengeance ^nn+nom+++=vengeance
passes ^nns++++=passes
into ^in++++=into
a ^at++++=a
madness ^nns+nom+++=madness
more ^rbr++++=more
cruel ^jj++++=cruel
than ^in++++=than
the ^ati++++=the
tyranny ^nn++++=tyranny
it ^pp3+it+++=it
professes ^nns+nom+++=professes
to ^to++++=to
destroy ^vbi++++=destroy.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
was ^vbd+bedz+vrb++=was
the ^ati++++=the
condition ^nn+nom+++=condition
of ^in++++=of
Paris ^np++++=Paris
in ^in++++=in
the ^ati++++=the
summer ^nn++++=summer
and ^cc++++=and
autumn ^nn++++=autumn
of ^in++++=of
1792 ^cd+date+++=1792.
. ^zz++++=EXTRAWORD
Ancient ^jj+atrb+++=Ancient
institutions ^nns+nom+++=institutions
had ^vbd+hvd+aux++=had
fallen ^vprf+++xvbn+=fallen;
; ^zz++++=EXTRAWORD
the ^ati++++=the
throne ^nn++++=throne
trembled ^vbd+++xvbn+=trembled;
; ^zz++++=EXTRAWORD
law ^nn++++=law
spoke ^vbd+++xvbn+=spoke
with ^in++++=with
a ^at++++=a
feeble ^jj+atrb+++=feeble
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
populace ^nn++++=populace,
, ^zz++++=EXTRAWORD
persuaded ^vpbn+vsua++xvbn+=persuaded
that ^tht+vcmp+++=that
suspicion ^nn++++=suspicion
was ^vbd+bedz+vrb++=was
guilt ^nn++++=guilt
and ^cc++++=and
death ^nn++++=death
the ^ati++++=the
only ^rb+down+++=only
safeguard ^nn++++=safeguard
of ^in++++=of
liberty ^nn++++=liberty,
, ^zz++++=EXTRAWORD
stood ^j+++xvbn+=stood
ready ^jj++++=ready
to ^to+jcmp+++=to
complete ^vbi++++=complete
at ^in++++=at
one ^cd1++++=one
fell ^nn+++xvbn+=fell
swoop ^nn++++=swoop
the ^ati++++=the
bloody ^jj+atrb+++=bloody
work ^nn++++=work
of ^in++++=of
revolution ^nn+nom+++=revolution.
. ^zz++++=EXTRAWORD
Think ^vb+vprv+++=Think
of ^in++++=of
the ^ati++++=the
Swiss ^jj+atrb+++=Swiss
Guards ^nns++++=Guards,
, ^zz++++=EXTRAWORD
faithful ^jj++++=faithful
at ^rb++++=at
their ^pp$+pp3+++=their
posts ^nns++++=posts
while ^cs+sub+++=while
all ^abn++++=all
around ^rp++++=around
them ^pp3o+pp3+++=them
surged ^vbd+++xvbn+=surged
treachery ^nn+nom+++=treachery,
, ^zz++++=EXTRAWORD
panic ^vb++++=panic,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rage ^nn++++=rage.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
10 ^cd++++=10
th ^zz++++=th
of ^in++++=of
August ^nr++++=August
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
defended ^vprf+++xvbnx+=defended
the ^ati++++=the
Tuileries ^nns+nom++??+=Tuileries,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
understood ^vbd+vprv++xvbnx+=understood
every ^at++++=every
quarrel ^nn++++=quarrel
that ^tht+rel+subj++=that
divided ^xvbn+++xvbn+=divided
France ^np++++=France,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
sworn ^vprf+++xvbn+=sworn
obedience ^nn+nom+++=obedience,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
promise ^nn++++=promise,
, ^zz++++=EXTRAWORD
to ^in++++=to
an ^at++++=an
honourable ^jj+atrb+++=honourable
man ^nn++++=man,
, ^zz++++=EXTRAWORD
remains ^nns++++=remains
sacred ^jj++++=sacred
even ^rb++++=even
when ^wrb+who+++=when
obedience ^nn+nom+++=obedience
may ^md+pos+++=may
cost ^vb++++=cost
him ^pp3o+pp3+++=him
his ^pp$+pp3+++=his
life ^nn++++=life.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=were
overwhelmed ^vpsv++agls+xvbnx+=overwhelmed.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
scarlet ^jj+atrb+++=scarlet
uniforms ^nns++++=uniforms
were ^vbd+bed+aux++=were
seen ^vpsv++agls+xvbnx+=seen
amid ^in++++=amid
smoke ^nn++++=smoke,
, ^zz++++=EXTRAWORD
overturned ^jj+atrb++xvbn+=overturned
furniture ^nn++++=furniture,
, ^zz++++=EXTRAWORD
broken ^jj+atrb++xvbn+=broken
gates ^nns++++=gates,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
rushing ^jj+atrb++xvbg+=rushing
multitude ^nn++++=multitude;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
many ^ap++++=many
who ^whp+rel+subj++=who
survived ^vprf+++xvbn+=survived
the ^ati++++=the
first ^od++++=first
assault ^nn++++=assault
were ^vbd+bed+aux++=were
hunted ^vpsv++agls+xvbnx+=hunted
through ^in++++=through
the ^ati++++=the
streets ^nns++++=streets
and ^cc++++=and
murdered ^vpsv++agls+xvbn+=murdered
without ^in++++=without
mercy ^nn++++=mercy.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
even ^rb++++=even
this ^dt+dem+++=this
slaughter ^nn+nom+++=slaughter
did ^vbd+dod+aux++=did
not ^xnot++not++=not
satisfy ^vb++++=satisfy
the ^ati++++=the
popular ^jj+atrb+++=popular
fury ^nn++++=fury.
. ^zz++++=EXTRAWORD
Paris ^np++++=Paris
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
an ^at++++=an
abyss ^nn++++=abyss
of ^in++++=of
horror ^nn++++=horror
into ^in++++=into
which ^whp+rel+pied++=which
accusation ^nn+nom+++=accusation,
, ^zz++++=EXTRAWORD
innocence ^nn+nom+++=innocence,
, ^zz++++=EXTRAWORD
age ^nn++++=age,
, ^zz++++=EXTRAWORD
learning ^vbg+vprv++xvbg+=learning,
, ^zz++++=EXTRAWORD
beauty ^nn++++=beauty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
piety ^nn++++=piety
were ^vbd+bed+aux++=were
alike ^rb++splt++=alike
cast ^vpsv++agls+xvbnx+=cast
down ^rp++++=down.
. ^zz++++=EXTRAWORD
The ^ati++++=The
prisons ^nns++++=prisons
were ^vbd+bed+aux++=were
crowded ^vpsv++agls+xvbnx+=crowded
with ^in++++=with
priests ^nns++++=priests
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
refused ^vprf+++xvbnx+=refused
revolutionary ^jj+atrb+++=revolutionary
oaths ^nns++++=oaths,
, ^zz++++=EXTRAWORD
with ^in++++=with
noblemen ^nns++++=noblemen
and ^cc++++=and
women ^nns++++=women,
, ^zz++++=EXTRAWORD
with ^in++++=with
servants ^nns+nom+++=servants
of ^in++++=of
the ^ati++++=the
royal ^jj+atrb+++=royal
household ^nn++++=household,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
persons ^nns++++=persons
whose ^whp+rel+obj++=whose
only ^ap+down+++=only
offence ^nn+nom+++=offence
was ^vbd+bedz+vrb++=was
a ^at++++=a
name ^nn++++=name,
, ^zz++++=EXTRAWORD
a ^at++++=a
friendship ^nn+nom+++=friendship,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
a ^at++++=a
word ^nn++++=word
overheard ^jj++++=overheard
and ^cc++++=and
maliciously ^rb++++=maliciously
repeated ^jj+++xvbn+=repeated.
. ^zz++++=EXTRAWORD
Rumours ^nns++++=Rumours
were ^vbd+bed+aux++=were
spread ^vpsv++agls+xvbnx+=spread
that ^dt+dem+++=that
these ^dt+dem+++=these
captives ^nns++++=captives
intended ^vwbn+++xvbn+=intended
to ^to+vcmp+++=to
escape ^vbi++++=escape,
, ^zz++++=EXTRAWORD
arm ^vb++++=arm
themselves ^ppls+pp3+++=themselves,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
massacre ^nn++++=massacre
the ^ati++++=the
citizens ^nns++++=citizens
while ^cs+sub+++=while
the ^ati++++=the
armies ^nns++++=armies
of ^in++++=of
foreign ^jj+atrb+++=foreign
kings ^npt++++=kings
approached ^vbd+++xvbn+=approached
the ^ati++++=the
capital ^nn++++=capital.
. ^zz++++=EXTRAWORD
The ^ati++++=The
story ^nn++++=story
was ^vbd+bedz+vrb++=was
absurd ^jj+pred+++=absurd;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
fear ^nn++++=fear,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
inflamed ^jj++++=inflamed
by ^in++++=by
wicked ^jj+atrb+++=wicked
men ^nns++++=men,
, ^zz++++=EXTRAWORD
does ^vbz+doz+aux++=does
not ^xnot++not++=not
pause ^vb++++=pause
to ^to++++=to
ask ^vbi++++=ask
whether ^cs+who+++=whether
its ^pp$+it+++=its
object ^nn++++=object
be ^vb+be+vrb++=be
possible ^jj+pred+++=possible.
. ^zz++++=EXTRAWORD
On ^in++++=On
Sunday ^nr++++=Sunday,
, ^zz++++=EXTRAWORD
the ^ati++++=the
2 ^zz++++=2
nd ^zz++++=nd
of ^in++++=of
September ^nr+nom+++=September,
, ^zz++++=EXTRAWORD
the ^ati++++=the
alarm ^nn++++=alarm-guns
- ^zz++++=EXTRAWORD
guns ^nns++++=EXTRAWORD
sounded ^vbd+++xvbn+=sounded,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bands ^nns++++=bands
of ^in++++=of
armed ^xvbn+++xvbn+=armed
ruffians ^nns++++=ruffians
gathered ^vbd+++xvbn+=gathered
before ^in++++=before
the ^ati++++=the
prisons ^nns++++=prisons.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
bore ^vbd+++xvbnx+=bore
sabres ^nns++++=sabres,
, ^zz++++=EXTRAWORD
pikes ^npls++++=pikes,
, ^zz++++=EXTRAWORD
clubs ^nns++++=clubs,
, ^zz++++=EXTRAWORD
muskets ^nns++++=muskets,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
heavy ^jj+atrb+++=heavy
tools ^nns++++=tools
of ^in++++=of
common ^jj+atrb+++=common
labour ^nn++++=labour
now ^rn+tm+++=now
degraded ^jj++++=degraded
into ^in++++=into
instruments ^nns+nom+++=instruments
of ^in++++=of
murder ^nn++++=murder.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
were ^vbd+bed+aux++=were
intoxicated ^vpsv++agls+xvbnx+=intoxicated
with ^in++++=with
wine ^nn++++=wine,
, ^zz++++=EXTRAWORD
others ^aps++++=others
with ^in++++=with
applause ^nn++++=applause,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
more ^rbr++++=more
with ^in++++=with
that ^dt+dem+++=that
fearful ^jj+atrb+++=fearful
intoxication ^nn+nom+++=intoxication
which ^whp+rel+subj++=which
comes ^vbz++++=comes
when ^wrb+who+++=when
men ^nns++++=men
cease ^vb++++=cease
to ^to++++=to
feel ^vbi+vprv+++=feel
themselves ^ppls+pp3+++=themselves
responsible ^jj++++=responsible
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
act ^vb+vpub+++=act
in ^in++++=in
a ^at++++=a
crowd ^nn++++=crowd.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
Abbaye ^np+++??+=Abbaye,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Carmes ^np+++??+=Carmes,
, ^zz++++=EXTRAWORD
La ^&fw++++=La
Force ^nn++++=Force,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
other ^ap++++=other
places ^nns++++=places
of ^in++++=of
confinement ^nn+nom+++=confinement,
, ^zz++++=EXTRAWORD
rude ^jj+atrb+++=rude
tribunals ^nns+nom+++=tribunals
were ^vbd+bed+aux++=were
formed ^vpsv++agls+xvbnx+=formed.
. ^zz++++=EXTRAWORD
Prisoners ^nns+nom+++=Prisoners
were ^vbd+bed+aux++=were
brought ^vpsv++agls+xvbnx+=brought
forth ^np++++=forth,
, ^zz++++=EXTRAWORD
questioned ^j+++xvbn+=questioned
for ^in++++=for
a ^ap++++=a
few ^ap"++++=few
moments ^nns+nom+++=moments,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
either ^dtx++++=either
ordered ^jj+++xvbn+=ordered
back ^jjb++++=back
or ^cc++++=or
thrust ^vpsv++agls+xvbn+=thrust
through ^in++++=through
a ^at++++=a
doorway ^nn++++=doorway
to ^in++++=to
the ^ati++++=the
assassins ^nns+++??+=assassins
waiting ^vwbg+++xvbg+=waiting
without ^in+strn+++=without.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
easy ^jj+pred+++=easy,
, ^zz++++=EXTRAWORD
after ^in++++=after
many ^ap++++=many
years ^nns++++=years,
, ^zz++++=EXTRAWORD
to ^to++++=to
read ^vbn+vprv++xvbn+=read
a ^at++++=a
list ^nn++++=list
of ^in++++=of
the ^ati++++=the
dead ^nn++++=dead.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
more ^rbr++++=more
profitable ^jj+pred+++=profitable,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
more ^rbr++++=more
painful ^jj++++=painful,
, ^zz++++=EXTRAWORD
to ^to++++=to
remember ^nn+nom+++=remember
that ^tht+vcmp+++=that
every ^at++++=every
name ^nn++++=name
belonged ^vbd+++xvbn+=belonged
to ^in++++=to
a ^at++++=a
living ^jj+atrb++xvbg+=living
soul ^nn++++=soul,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
midst ^nn++++=midst
of ^in++++=of
the ^ati++++=the
general ^jj+atrb+++=general
delirium ^nn+++??+=delirium,
, ^zz++++=EXTRAWORD
certain ^jj+atrb+++=certain
deeds ^nns++++=deeds
of ^in++++=of
charity ^nn+nom+++=charity
and ^cc++++=and
devotion ^nn+nom+++=devotion
shone ^vbd+++xvbn+=shone
out ^rp+pl+++=out
like ^in++++=like
lamps ^nns++++=lamps
carried ^vbd+++xvbn+=carried
through ^in++++=through
a ^at++++=a
storm ^nn++++=storm.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
the ^ati++++=the
prisoners ^nns+nom+++=prisoners
at ^in++++=at
the ^ati++++=the
Abbaye ^np+++??+=Abbaye
