In ^in++++=In
the ^ati++++=the
spring ^nn++++=spring
of ^in++++=of
1892 ^cd+date+++=1892
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
resting ^vbg+++xvbgx+=resting
at ^rb++++=at
Mentone ^np+++??+=Mentone
or ^cc++++=or
pretending ^vbg+++xvbg+=pretending
to ^to+vcmp+++=to
rest ^vb++++=rest,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
the ^ati++++=the
form ^nn++++=form
that ^tht+rel+++=that
idleness ^nns+nom+++=idleness
commonly ^rb++++=commonly
takes ^vbz++++=takes
on ^rb+phrv+++=on
the ^ati++++=the
Riviera ^np+++??+=Riviera.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
places ^nns++++=places
where ^wrb+who+++=where
a ^at++++=a
man ^nn++++=man
may ^md+pos+++=may
be ^vb+be+vrb++=be
private ^jj+pred+++=private,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
places ^nns++++=places
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
may ^md+pos+++=may
be ^vb+be+vrb++=be
conspicuous ^jj+pred+++=conspicuous;
; ^zz++++=EXTRAWORD
Mentone ^np+++??+=Mentone
permits ^nns++++=permits
him ^pp3o+pp3+++=him
to ^to++++=to
be ^vbi++vrb++=be
both ^abx++++=both
at ^rb++++=at
once ^rb"+tm+++=once.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
may ^md+pos+++=may
sit ^vb++++=sit
under ^in++++=under
an ^at++++=an
orange ^np++++=orange
tree ^nn++++=tree,
, ^zz++++=EXTRAWORD
hidden ^j+++xvbn+=hidden
from ^in++++=from
all ^abn++++=all
mankind ^nn++++=mankind
except ^in++++=except
six ^cd++++=six
English ^jj+atrb+++=English
families ^nns++++=families,
, ^zz++++=EXTRAWORD
three ^cd++++=three
invalid ^jj+atrb+++=invalid
Russians ^nn++++=Russians,
, ^zz++++=EXTRAWORD
a ^at++++=a
German ^jj+atrb+++=German
baron ^npt++++=baron
with ^in++++=with
field ^nn++++=field-glasses,
