All ^abn++++=All
the ^ati++++=the
years ^nns++++=years
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
making ^vbg+++xvbgx+=making
ready ^jj++++=ready
for ^in++++=for
this ^dt+dem+++=this
minute ^nn++++=minute.
. ^zz++++=EXTRAWORD
Whenever ^nn+nom+++=Whenever
I ^pp1a+pp1+++=I
put ^vbd+++xvbnx+=put
on ^rb+phrv+++=on
my ^pp$+pp1+++=my
best ^jjt+atrb+++=best
dress ^nn++++=dress,
, ^zz++++=EXTRAWORD
whenever ^nn+nom+++=whenever
I ^pp1a+pp1+++=I
stood ^vbd+++xvbnx+=stood
before ^cs+sub+++=before
the ^ati++++=the
glass ^nn++++=glass
and ^cc++++=and
fixed ^vpsv++agls+xvbn+=fixed
on ^in++++=on
my ^pp$+pp1+++=my
hat ^nn++++=hat,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
used ^md"++pmd"++=used
to ^to++++=to
think ^vb+vprv+++=think:
: ^zz++++=EXTRAWORD
Maybe ^rb+hdg+++=Maybe
today ^nr+tm+++=to-day
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
meet ^vb++++=meet
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Maybe ^rb+hdg+++=Maybe
on ^in++++=on
Grand ^jj+atrb+++=Grand
Street ^nn++++=Street,
, ^zz++++=EXTRAWORD
maybe ^rb+hdg+++=maybe
in ^in++++=in
the ^ati++++=the
subway ^nn++++=subway,
, ^zz++++=EXTRAWORD
maybe ^rb+hdg+++=maybe
in ^in++++=in
a ^at++++=a
restaurant ^nn+nom+++=restaurant
where ^wrb+who+++=where
Sam ^np++++=Sam
takes ^vbz++++=takes
me ^pp1o+pp1+++=me
once ^rb+tm+++=once
in ^in++++=in
a ^at++++=a
year ^nn++++=year.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
would ^md+prd+++=would
practise ^vb++++=practise
how ^wrb+who+++=how
I ^pp1a+pp1+++=I
would ^md+prd+++=would
look ^vb++++=look
on ^rp++++=on
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
stand ^vb++++=stand
