# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
September ^nr+nom+++=September
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
1813 ^cd+date+++=1813
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
three ^cd++++=three
hundred ^cd++++=hundred
and ^cc++++=and
twenty ^cd++++=twenty-three
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
years ^nns++++=years
of ^in++++=of
age ^nn++++=age,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb++++=yet
the ^ati++++=the
hand ^nn++++=hand
that ^tht+rel+obj++=that
traces ^nns++++=traces
these ^dt+dem+++=these
characters ^nns+nom+++=characters
is ^vbz+bez+vrb++=is
smooth ^jj+pred+++=smooth,
, ^zz++++=EXTRAWORD
vigorous ^jj++++=vigorous,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
unshaken ^vb+++xvbn+=unshaken
as ^ql++++=as
that ^cs+sub+++=that
of ^in++++=of
a ^at++++=a
youth ^nn++++=youth
of ^in++++=of
twenty ^cd++++=twenty.
. ^zz++++=EXTRAWORD
Am ^vb+bem+vrb++=Am
I ^pp1a+pp1+++=I
immortal ^jj++++=immortal?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
the ^ati++++=the
question ^nn+nom+++=question
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
followed ^vprf+++xvbnx+=followed
me ^pp1o+pp1+++=me
through ^in++++=through
the ^ati++++=the
lengthened ^jj+atrb++xvbn+=lengthened
night ^nn++++=night
of ^in++++=of
three ^cd++++=three
centuries ^nns++++=centuries;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
sat ^vprf+++xvbnx+=sat
beside ^in+pl+++=beside
me ^pp1o+pp1+++=me
at ^in++++=at
the ^ati++++=the
hearths ^nns++++=hearths
of ^in++++=of
strangers ^nns+nom+++=strangers,
, ^zz++++=EXTRAWORD
walked ^j+++xvbn+=walked
with ^in++++=with
me ^pp1o+pp1+++=me
over ^in++++=over
battle ^nn++++=battle-fields,
- ^zz++++=EXTRAWORD
fields ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
watched ^j+++xvbn+=watched
from ^in++++=from
the ^ati++++=the
mast ^nn++++=mast
while ^cs+sub+++=while
tempests ^nns++++=tempests
raved ^vbd+++xvbn+=raved
around ^in++++=around
my ^pp$+pp1+++=my
vessel ^nn++++=vessel,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
whispered ^vpsv++agls+xvbn+=whispered
from ^in++++=from
every ^at++++=every
new ^jj++++=new-made
- ^zz++++=EXTRAWORD
made ^vprf+++xvbn+=EXTRAWORD
grave ^jj++++=grave
into ^in++++=into
which ^whp+rel+pied++=which
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
the ^ati++++=the
beloved ^jj++++=beloved
and ^cc++++=and
the ^ati++++=the
familiar ^nn++++=familiar
descend ^vb++++=descend.
. ^zz++++=EXTRAWORD
Am ^vb+bem+vrb++=Am
I ^pp1a+pp1+++=I
immortal ^jj++++=immortal?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
outlived ^vprf+++xvbn+=outlived
dynasties ^nns+++??+=dynasties,
, ^zz++++=EXTRAWORD
friendships ^nns+nom+++=friendships,
, ^zz++++=EXTRAWORD
hatreds ^nns+++??+=hatreds,
, ^zz++++=EXTRAWORD
cities ^nns++++=cities,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
almost ^rb+hdg+++=almost
the ^ati++++=the
memory ^nn++++=memory
of ^in++++=of
my ^pp$+pp1+++=my
native ^jj+atrb+++=native
hills ^nns++++=hills;
; ^zz++++=EXTRAWORD
yet ^rb++++=yet
there ^ex+pex+++=there
may ^md+pos+++=may
be ^vb+be+vrb++=be
a ^at++++=a
limit ^nn++++=limit.
. ^zz++++=EXTRAWORD
The ^ati++++=The
invisible ^jj+atrb+++=invisible
sand ^nn++++=sand
may ^md+pos+++=may
still ^rb++++=still
be ^vb+be+aux++=be
falling ^nvbg+++xvbg+=falling,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
