# ^zz++++=##
# ^zz++++=EXTRAWORD
Indian ^jj+atrb+++=INDIAN
Summer ^nn++++=SUMMER
The ^ati++++=The
October ^nr++++=October
afternoon ^nn++++=afternoon
had ^vbd+hvd+aux++=had
dressed ^vprf+++xvbnx+=dressed
itself ^ppl++++=itself
for ^in++++=for
a ^at++++=a
f ^zz++++=f
te ^nn++++=te
without ^in++++=without
consulting ^xvbg+++xvbg+=consulting
any ^dti++++=any
committee ^nn+nom+++=committee.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
maple ^nn+++??+=maple
along ^in++++=along
the ^ati++++=the
south ^nr+pl+++=south
road ^npl++++=road
wore ^vbd+++xvbn+=wore
a ^at++++=a
cloth ^nn++++=cloth-of-gold
- ^zz++++=EXTRAWORD
of ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
gold ^nn++++=EXTRAWORD
mantle ^nn++++=mantle;
; ^zz++++=EXTRAWORD
the ^ati++++=the
beeches ^nns++++=beeches
stood ^vbd+++xvbn+=stood
pale ^nn++++=pale
and ^cc++++=and
stately ^jj++++=stately
against ^in++++=against
the ^ati++++=the
blue ^nn++++=blue;
; ^zz++++=EXTRAWORD
chestnut ^nn++++=chestnut
burrs ^vbz+++??+=burrs
snapped ^vbd+++xvbn+=snapped
underfoot ^rb+pl+++=underfoot
like ^in++++=like
tiny ^jj+atrb+++=tiny
firecrackers ^nns+nom+++=firecrackers;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
low ^jj+atrb+++=low
sun ^nn++++=sun,
, ^zz++++=EXTRAWORD
slipping ^vbg+++xvbg+=slipping
between ^in++++=between
the ^ati++++=the
branches ^nns++++=branches,
, ^zz++++=EXTRAWORD
laid ^j+++xvbn+=laid
long ^rb++++=long
bars ^nns++++=bars
of ^in++++=of
amber ^nn++++=amber
across ^in+pl+++=across
the ^ati++++=the
greensward ^nn++++=greensward.
. ^zz++++=EXTRAWORD
Beyond ^in++++=Beyond
the ^ati++++=the
hill ^nn++++=hill
rose ^vbd+++xvbn+=rose
the ^ati++++=the
chimneys ^nns++++=chimneys
