My ^pp$+pp1+++=My
Dear ^uh++++=Dear
Violet ^nn++++=Violet,
, ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
asked ^vbd+vsua++xvbn+=asked
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
walked ^vbd+++xvbn+=walked
last ^rb++++=last
Thursday ^nr++++=Thursday
under ^in++++=under
the ^ati++++=the
wet ^jj+atrb+++=wet
elms ^nns++++=elms
at ^in++++=at
Sevenhays ^np+++??+=Sevenhays,
, ^zz++++=EXTRAWORD
why ^wrb+who+++=why
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
spoken ^vprf+++xvbnx+=spoken
of ^in++++=of
Providence ^np+nom++??+=Providence
with ^in++++=with
something ^pn++++=something
approaching ^jj+atrb++xvbg+=approaching
bitterness ^nns+nom+++=bitterness,
, ^zz++++=EXTRAWORD
could ^md+pos+++=could
now ^rn+tm+splt++=now
hear ^vb+vprv+tht0++=hear
the ^ati++++=the
old ^jj+atrb+++=old
words ^nns++++=words
read ^vbd+vprv++xvbn+=read
in ^in++++=in
church ^nn++++=church
without ^in++++=without
either ^dtx++++=either
impatience ^nn+nom+++=impatience
or ^cc++++=or
that ^cs+sub+++=that
inward ^jjb+atrb+++=inward
recoil ^nn++++=recoil
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
worse ^jjr+pred+++=worse
than ^in++++=than
open ^nn++++=open
dissent ^vb++++=dissent.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
answered ^vbd+vpub+tht0+xvbnx+=answered
you ^pp2+pp2+++=you
evasively ^rb++++=evasively.
. ^zz++++=EXTRAWORD
Indeed ^rb+cnj+++=Indeed,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+tht0++=believe
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said
that ^tht+vcmp+++=that
age ^nn++++=age
had ^vbd+hvd+aux++=had
blunted ^vprf+++xvbn+=blunted
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
speculation ^nn+nom+++=speculation
a ^at++++=a
cowardly ^jj+atrb+++=cowardly
phrase ^nn++++=phrase,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
even ^rb++++=even
a ^at++++=a
true ^jj+atrb+++=true
one ^pn++++=one;
; ^zz++++=EXTRAWORD
for ^in++++=for
age ^nn++++=age,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
it ^pp3+it+++=it
may ^md+pos+++=may
dull ^jj+atrb+++=dull
appetite ^nn++++=appetite,
, ^zz++++=EXTRAWORD
commonly ^rb++++=commonly
sharpens ^vbz+++??+=sharpens
whatever ^nn+nom+++=whatever
thorn ^nn++++=thorn
the ^ati++++=the
mind ^nn++++=mind
has ^vbz+hvz+aux++=has
consented ^vprf+++xvbnx+=consented
to ^to++++=to
carry ^vbi++++=carry.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
knew ^vbd+vprv+tht0+xvbn+=knew
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
withholding ^vbg+++xvbgx+=withholding
something ^pn++++=something.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
shall ^md+prd+++=shall
have ^vb+hv+vrb++=have
the ^ati++++=the
whole ^jj+atrb+++=whole
tale ^nn++++=tale.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
ask ^vb++++=ask
only ^rb+down+++=only
that ^dt+dem+++=that
you ^pp2+pp2+++=you
do ^vb+do+vrb++=do
not ^xnot++not++=not
name ^nn++++=name
it ^pp3+it+++=it
to ^in++++=to
others ^aps++++=others.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
no ^at++++=no
desire ^nn++++=desire
to ^to+ncmp+++=to
become ^vbi++++=become
the ^ati++++=the
patron ^nn++++=patron
saint ^nn++++=saint
of ^in++++=of
psychical ^jj+atrb+++=psychical
societies ^nns++++=societies,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
to ^to++++=to
furnish ^vbi++++=furnish
a ^at++++=a
paragraph ^nn++++=paragraph
for ^in++++=for
those ^dt+dem+++=those
ingenious ^jj+atrb+++=ingenious
journalists ^nns+nom+++=journalists
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
explain ^vb+vpub+++=explain
Heaven ^nn++++=Heaven
and ^cc++++=and
influenza ^nn++++=influenza
with ^in++++=with
equal ^jj+atrb+++=equal
confidence ^nn+nom+++=confidence.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
happened ^vbd+++xvbn+=happened
may ^md+pos+++=may
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
dream ^nn++++=dream,
, ^zz++++=EXTRAWORD
a ^at++++=a
seizure ^nn++++=seizure
of ^in++++=of
the ^ati++++=the
brain ^nn++++=brain,
, ^zz++++=EXTRAWORD
an ^at++++=an
