In ^in++++=In
the ^ati++++=the
winter ^nn++++=winter
when ^wrb+who+++=when
the ^ati++++=the
snow ^np++++=snow
lay ^vbd+++xvbn+=lay
upon ^in++++=upon
Tullagh ^np+++??+=Tullagh
from ^in++++=from
the ^ati++++=the
feast ^nn++++=feast
of ^in++++=of
Saint ^nn++++=Saint
Brigid ^np+++??+=Brigid
until ^in++++=until
the ^ati++++=the
first ^rb++++=first
crying ^nvbg+++xvbg+=crying
of ^in++++=of
the ^ati++++=the
curlew ^nn++++=curlew,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
such ^abl++++=such
cold ^jj++++=cold
in ^in++++=in
the ^ati++++=the
valley ^nn++++=valley
that ^tht+rel+obj++=that
the ^ati++++=the
little ^ap++++=little
river ^nn++++=river
ceased ^vbd+++xvbn+=ceased
beneath ^rb++++=beneath
its ^pp$+it+++=its
stones ^nns++++=stones,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
oak ^nn++++=oak
trees ^nns++++=trees
split ^vbd+++xvbn+=split
in ^in++++=in
the ^ati++++=the
night ^nn++++=night,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wolves ^nps++++=wolves
came ^vbd+++xvbn+=came
out ^rb+phrv+++=out
of ^in+ppvb+++=of
the ^ati++++=the
northern ^jj+atrb+++=northern
wood ^nn++++=wood
to ^in++++=to
sniff ^nn+++??+=sniff
about ^in++++=about
the ^ati++++=the
wicker ^nn++++=wicker
cells ^nns++++=cells
of ^in++++=of
the ^ati++++=the
brethren ^nns++++=brethren.
. ^zz++++=EXTRAWORD
The ^ati++++=The
monks ^nns++++=monks
wore ^vbd+++xvbn+=wore
two ^cd++++=two
habits ^nns++++=habits
beneath ^in+pl+++=beneath
their ^pp$+pp3+++=their
white ^jj+atrb+++=white
cloaks ^nns+++??+=cloaks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
slept ^vpsv++agls+xvbn+=slept
with ^in++++=with
their ^pp$+pp3+++=their
sandals ^nns+nom+++=sandals
against ^in++++=against
their ^pp$+pp3+++=their
breasts ^nns++++=breasts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
Brother ^nn++++=Brother
Bald ^jj+atrb+++=Bald
Fox ^nn++++=Fox,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
old ^jj+pred+++=old
and ^cc+phrs+++=and
lean ^jj++++=lean
and ^cc+phrs+++=and
proud ^jj++++=proud
of ^in++++=of
enduring ^xvbg+++xvbg+=enduring
every ^at++++=every
hardship ^nn+nom+++=hardship,
, ^zz++++=EXTRAWORD
confessed ^vb+++xvbn+=confessed
that ^tht+vcmp+++=that
the ^ati++++=the
frost ^np++++=frost
had ^vbd+hvd+aux++=had
bitten ^vprf+++xvbnx+=bitten
three ^cd++++=three
of ^in++++=of
his ^pp$+pp3+++=his
toes ^nns++++=toes.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
within ^in++++=within
the ^ati++++=the
refectory ^nn++++=refectory
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
warmth ^nn++++=warmth
and ^cc++++=and
good ^jj+atrb+++=good
fellowship ^nn+nom+++=fellowship;
; ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
fire ^nn++++=fire
of ^in++++=of
ash ^nn++++=ash
logs ^nns++++=logs
burned ^vbd+++xvbn+=burned
upon ^in++++=upon
the ^ati++++=the
hearth ^nn++++=hearth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one
brother ^npt++++=brother
mended ^vbd+++xvbn+=mended
a ^at++++=a
net ^jjb++++=net,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one
carved ^vbd+++xvbn+=carved
a ^at++++=a
handle ^nn++++=handle
for ^in++++=for
a ^at++++=a
spade ^nn++++=spade,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one
ground ^nn++++=ground
colours ^nns++++=colours
for ^in++++=for
an ^at++++=an
illuminated ^jj+atrb++xvbn+=illuminated
book ^nn++++=book,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Brother ^nn++++=Brother
Bittern ^np+++??+=Bittern
told ^vbd+vpub++xvbn+=told
how ^wrb+who+whcl++=how
the ^ati++++=the
crystalline ^jj+atrb+++=crystalline
spheres ^nns++++=spheres
were ^vbd+bed+aux++=were
turned ^vpsv++by+xvbnx+=turned
by ^in++++=by
angelic ^jj+atrb+++=angelic
orders ^nns++++=orders,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
youngest ^nn++++=youngest
acolytes ^vbz+++??+=acolytes
stared ^vprf+++xvbn+=stared
upward ^jjb++++=upward
through ^in++++=through
the ^ati++++=the
smoke ^nn++++=smoke
hole ^nn++++=hole,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
now ^rn+tm+++=now
and ^cc+phrs+++=and
again ^rb+tm+++=again
a ^at++++=a
star ^nn++++=star
appeared ^vbd+seem++xvbn+=appeared.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
these ^dt+dem+++=these
young ^jj+atrb+++=young
ones ^cd1s++++=ones
sat ^vbd+++xvbn+=sat
Olioll ^np+++??+=Olioll,
, ^zz++++=EXTRAWORD
a ^at++++=a
fair ^jj++++=fair-haired
- ^zz++++=EXTRAWORD
haired ^jj+atrb+++=EXTRAWORD
child ^nn++++=child
with ^in++++=with
grey ^jj+atrb+++=grey
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
whom ^whp+rel+obj++=whom
all ^abn++++=all
loved ^jj+++xvbn+=loved
and ^cc++++=and
none ^rb++++=none
could ^md+pos+++=could
teach ^vb+vsua+++=teach.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
Brother ^nn++++=Brother
Dove ^np+++??+=Dove
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Olioll,
olioll ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
many ^ap++++=many
persons ^nns++++=persons
are ^vb+ber+vrb++=are
there ^rn+pl+++=there
in ^in++++=in
the ^ati++++=the
Holy ^jj+atrb+++=Holy
Trinity ^np+nom+++=Trinity?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
boy ^nn++++=boy
heard ^vbd+vprv++xvbn+=heard
the ^ati++++=the
mouse ^nn++++=mouse
scratching ^vwbg+++xvbg+=scratching
beneath ^in+pl+++=beneath
the ^ati++++=the
rushes ^nn++++=rushes.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
Brother ^nn++++=Brother
Bittern ^np+++??+=Bittern
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Olioll,
olioll ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
decline ^vb++++=decline
unto ^in++++=unto
me ^pp1o+pp1+++=me
the ^ati++++=the
word ^nn++++=word
for ^in++++=for
heaven ^nn++++=heaven,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
boy ^nn++++=boy
watched ^vbd+++xvbn+=watched
a ^at++++=a
spark ^nn++++=spark
ascend ^nn+++??+=ascend
into ^in++++=into
the ^ati++++=the
darkness ^nns+nom+++=darkness.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
if ^cs+cnd+++=if
the ^ati++++=the
abbot ^npt++++=abbot
himself ^ppl+pp3+++=himself
asked ^vbd+vsua++xvbn+=asked,
, ^zz++++=EXTRAWORD
" ^zz++++="Olioll,
olioll ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
