In ^in++++=In
the ^ati++++=the
first ^rb++++=first
five ^cd++++=five
years ^nns++++=years
of ^in++++=of
her ^pp$+pp3+++=her
existence ^nn+nom+++=existence
my ^pp$+pp1+++=my
daughter ^nn+nom+++=daughter
Mini ^np+++??+=Mini
had ^vbd+hvd+aux++=had
acquired ^vprf+++xvbnx+=acquired
many ^ap++++=many
accomplishments ^nns+nom+++=accomplishments,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
none ^pn++++=none
so ^ql+emph+++=so
remarkable ^jj++++=remarkable
as ^cs+sub+++=as
her ^pp3o+pp3+++=her
command ^nn++++=command
of ^in++++=of
conversation ^nn+nom+++=conversation.
. ^zz++++=EXTRAWORD
Other ^ap++++=Other
children ^nns++++=children
must ^md+nec+++=must
pause ^vb++++=pause
to ^to++++=to
breathe ^vbi++++=breathe,
, ^zz++++=EXTRAWORD
to ^to++++=to
eat ^vbi++++=eat,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
at ^rb++++=at
least ^rb"++++=least
to ^to++++=to
consider ^nn+nom+++=consider
whether ^cs+who+++=whether
they ^pp3a+pp3+++=they
possess ^nns+nom+++=possess
anything ^pn++++=anything
further ^jjb++++=further
to ^to++++=to
say ^vbi+vpub+++=say;
; ^zz++++=EXTRAWORD
Mini ^np+++??+=Mini
regarded ^vwbn+++xvbn+=regarded
all ^abn++++=all
such ^abl++++=such
pauses ^nns+++??+=pauses
as ^ql++++=as
reprehensible ^jj+atrb+++=reprehensible
concessions ^nns++++=concessions
to ^in++++=to
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
hour ^nn++++=hour
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
awoke ^vbd+++xvbnx+=awoke
until ^cs+sub+++=until
sleep ^nn++++=sleep
overtook ^vbd+++xvbn+=overtook
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
pursued ^vbd+++xvbnx+=pursued
speech ^nn++++=speech
as ^in++++=as
a ^at++++=a
bird ^nn++++=bird
pursues ^vbz++++=pursues
the ^ati++++=the
open ^jj+atrb+++=open
sky ^nn++++=sky.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
endeavouring ^vbg+++xvbgx+=endeavouring
to ^to++++=to
carry ^vbi++++=carry
the ^ati++++=the
hero ^nn++++=hero
of ^in++++=of
my ^pp$+pp1+++=my
seventeenth ^od++++=seventeenth
chapter ^nn++++=chapter
across ^in+pl+++=across
a ^at++++=a
moonlit ^nn+++??+=moonlit
river ^nn++++=river,
, ^zz++++=EXTRAWORD
Mini ^np+++??+=Mini
entered ^vbd+++xvbn+=entered
my ^pp$+pp1+++=my
study ^nn++++=study.
. ^zz++++=EXTRAWORD
" ^zz++++="Father,
father ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
why ^wrb+who+whq++=why
does ^vbz+doz+aux++=does
the ^ati++++=the
gatekeeper ^nn++++=gatekeeper
call ^vb++++=call
a ^at++++=a
crow ^nn++++=crow
a ^at++++=a
cow ^nn++++=cow?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
explained ^vbd+vpub++xvbnx+=explained
that ^tht+vcmp+++=that
the ^ati++++=the
gatekeeper ^nn++++=gatekeeper
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
another ^ppls++++=another
province ^np++++=province
and ^cc++++=and
had ^vb+hv+vrb++=had
his ^pp$+pp3+++=his
own ^ap++++=own
opinions ^nns++++=opinions
concerning ^in++++=concerning
our ^pp$+pp1+++=our
language ^nn+nom+++=language.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
concluded ^vprf+++xvbnx+=concluded,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
