In ^in++++=In
the ^ati++++=the
city ^nn++++=city
of ^in++++=of
Surat ^np+++??+=Surat
there ^ex+pex+++=there
stood ^vprf+++xvbn+=stood,
, ^zz++++=EXTRAWORD
near ^in+pl+++=near
the ^ati++++=the
quay ^nn++++=quay
where ^wrb+who+++=where
merchants ^nns+nom+++=merchants
landed ^vbd+++xvbn+=landed
from ^in++++=from
every ^at++++=every
quarter ^nn++++=quarter
of ^in++++=of
the ^ati++++=the
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
a ^at++++=a
coffee ^nn++++=coffee-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
much ^ap++++=much
frequented ^vpsv++by+xvbn+=frequented
by ^in++++=by
travellers ^nns+nom+++=travellers.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There,
, ^zz++++=EXTRAWORD
beneath ^in+pl+++=beneath
a ^at++++=a
roof ^nn++++=roof
darkened ^vwbn+++xvbn+=darkened
by ^in++++=by
smoke ^nn++++=smoke,
, ^zz++++=EXTRAWORD
men ^nns++++=men
of ^in++++=of
many ^ap++++=many
nations ^nns+nom+++=nations
rested ^vbd+++xvbn+=rested
upon ^in++++=upon
divans ^nn++++=divans,
, ^zz++++=EXTRAWORD
drank ^jj+atrb++xvbn+=drank
coffee ^nn++++=coffee
from ^in++++=from
little ^jj+atrb+++=little
cups ^nns++++=cups,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
discoursed ^vpsv++agls+xvbn+=discoursed
concerning ^in++++=concerning
trade ^nn++++=trade,
, ^zz++++=EXTRAWORD
government ^nn+nom+++=government,
, ^zz++++=EXTRAWORD
war ^nn++++=war,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
nature ^nn++++=nature
of ^in++++=of
the ^ati++++=the
Deity ^nn++++=Deity.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
heat ^nn++++=heat
of ^in++++=of
the ^ati++++=the
day ^nn++++=day
had ^vbd+hvd+aux++=had
abated ^vprf+++xvbnx+=abated,
, ^zz++++=EXTRAWORD
a ^at++++=a
Persian ^jj+atrb+++=Persian
theologian ^nn++++=theologian
entered ^vbd+++xvbn+=entered
the ^ati++++=the
coffee ^nn++++=coffee-house,
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
an ^at++++=an
African ^jj+atrb+++=African
