Ivan ^np++++=Ivan
Dmitrich ^np+++??+=Dmitrich
Aksionov ^np+++??+=Aksionov
was ^vbd+bedz+vrb++=was
a ^at++++=a
young ^jj+atrb+++=young
merchant ^nn+nom+++=merchant
in ^in++++=in
the ^ati++++=the
town ^nn++++=town
of ^in++++=of
Vladimir ^np+++??+=Vladimir.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
owned ^vbd+++xvbnx+=owned
two ^cd++++=two
shops ^nns++++=shops
and ^cc++++=and
a ^at++++=a
house ^nn++++=house,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
known ^vpsv++agls+xvbnx+=known
as ^ql++++=as
a ^at++++=a
cheerful ^jj+atrb+++=cheerful
man ^nn++++=man
who ^whp+rel+subj++=who
liked ^xvbn+++xvbn+=liked
songs ^nns++++=songs,
, ^zz++++=EXTRAWORD
laughter ^nn+nom+++=laughter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
glass ^nn++++=glass
of ^in++++=of
vodka ^nn++++=vodka.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
his ^pp$+pp3+++=his
marriage ^nn+nom+++=marriage
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
sometimes ^rb++splt++=sometimes
drunk ^vprf+++xvbnx+=drunk
too ^ql++++=too
much ^ap++++=much
and ^cc++++=and
become ^vb++++=become
noisy ^jj++++=noisy,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
after ^cs+sub+++=after
marrying ^xvbg+++xvbg+=marrying
he ^pp3a+pp3+++=he
gave ^vbd+++xvbnx+=gave
up ^rb+phrv+++=up
such ^abl++++=such
habits ^nns++++=habits,
, ^zz++++=EXTRAWORD
except ^in++++=except
on ^in++++=on
rare ^jj+atrb+++=rare
occasions ^nns++++=occasions.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
summer ^nn++++=summer
he ^pp3a+pp3+++=he
prepared ^jj+++xvbnx+=prepared
to ^to+jcmp+++=to
go ^vbi++++=go
to ^in++++=to
the ^ati++++=the
fair ^jj++++=fair
at ^rb++++=at
Nizhny ^np+++??+=Nizhny
Novgorod ^np+++??+=Novgorod.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
carts ^nns+++??+=carts
were ^vbd+bed+aux++=were
loaded ^vpsv++agls+xvbnx+=loaded
with ^in++++=with
goods ^nns++++=goods,
, ^zz++++=EXTRAWORD
the ^ati++++=the
horses ^nns++++=horses
stood ^vbd+++xvbn+=stood
ready ^jj++++=ready
in ^in++++=in
the ^ati++++=the
yard ^nn++++=yard,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
drivers ^nns+nom+++=drivers
waited ^vbd+++xvbn+=waited
for ^in++++=for
daylight ^nn++++=daylight.
. ^zz++++=EXTRAWORD
As ^ql++++=As
Aksionov ^np+++??+=Aksionov
took ^vbd+++xvbn+=took
leave ^nn++++=leave
of ^in++++=of
his ^pp$+pp3+++=his
family ^nn++++=family,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
wife ^nn++++=wife
said ^vbd+vpub++xvbn+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="Ivan
ivan ^np++++=EXTRAWORD
Dmitrich ^np+++??+=Dmitrich,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
not ^xnot++not++=not
go ^vb++++=go
today ^nr+tm+++=today.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
a ^at++++=a
bad ^jj+atrb+++=bad
dream ^nn++++=dream
about ^in++++=about
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
laughed ^vbd+++xvbnx+=laughed
and ^cc+phrs+++=and
asked ^vbd+vsua++xvbn+=asked,
, ^zz++++=EXTRAWORD
" ^zz++++="Are
are ^vb+ber+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
afraid ^jj++++=afraid
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
go ^vb++++=go
to ^in++++=to
the ^ati++++=the
fair ^jj++++=fair
and ^cc++++=and
enjoy ^vb++++=enjoy
myself ^ppl+pp1+++=myself
too ^ql++++=too
much ^ap++++=much?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
I ^pp1a+pp1+++=I
fear ^vb++++=fear,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
dreamed ^vbd+vprv+tht0+xvbnx+=dreamed
you ^pp2+pp2+++=you
came ^vbd+++xvbn+=came
home ^nr++++=home
and ^cc++++=and
took ^vpsv++agls+xvbn+=took
off ^rb+phrv+++=off
your ^pp$+pp2+++=your
cap ^nn++++=cap,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
your ^pp$+pp2+++=your
hair ^nn++++=hair
was ^vbd+bedz+vrb++=was
all ^abn++++=all
grey ^np++++=grey."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Aksionov ^np+++??+=Aksionov
had ^vb+hv+vrb++=had
thick ^jj+atrb+++=thick,
, ^zz++++=EXTRAWORD
curly ^jj+atrb+++=curly
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
dark ^jj++++=dark
as ^ql++++=as
a ^at++++=a
raven ^jj+atrb++xvbn+=raven's
's ^vbz+bez+vrb++0=EXTRAWORD
