By ^in++++=By
five ^cd++++=five
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning
Boori ^np+++??+=Boori
Ma ^npt++++=Ma
had ^vb+hv+aux++=had
already ^rb++splt++=already
declared ^vprf+++xvbnx+=declared
war ^nn++++=war
on ^in++++=on
the ^ati++++=the
mites ^nns++++=mites.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
dragged ^vbd+++xvbnx+=dragged
her ^pp$+pp3+++=her
bedding ^nn++++=bedding
from ^in++++=from
beneath ^in+pl+++=beneath
the ^ati++++=the
letterboxes ^nns+++??+=letterboxes,
, ^zz++++=EXTRAWORD
shook ^j+++xvbn+=shook
it ^pp3+it+++=it
once ^rb+tm+++=once
beneath ^in+pl+++=beneath
the ^ati++++=the
yellow ^jj+atrb+++=yellow
bulb ^nn++++=bulb,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
carried ^vbd+++xvbn+=carried
it ^pp3+it+++=it
upstairs ^jjb++++=upstairs
under ^in++++=under
one ^cd1++++=one
arm ^nn++++=arm.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bedding ^nn++++=bedding
consisted ^vbd+++xvbn+=consisted
of ^in++++=of
three ^cd++++=three
newspapers ^nns+nom+++=newspapers,
, ^zz++++=EXTRAWORD
a ^at++++=a
cotton ^np++++=cotton
sack ^nn++++=sack
split ^vbd+++xvbn+=split
along ^in++++=along
one ^cd1++++=one
seam ^nn++++=seam,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
square ^nn++++=square
of ^in++++=of
quilt ^nn++++=quilt
whose ^whp+rel+obj++=whose
stuffing ^nn++++=stuffing
had ^vbd+hvd+aux++=had
migrated ^vprf+++xvbnx+=migrated
into ^in++++=into
hard ^jj+atrb+++=hard
islands ^nns++++=islands.
. ^zz++++=EXTRAWORD
Mites ^np+++??+=Mites
had ^vbd+hvd+aux++=had
settled ^vprf+++xvbnx+=settled
in ^in++++=in
the ^ati++++=the
remaining ^jj+atrb++xvbg+=remaining
territory ^nn++++=territory.
. ^zz++++=EXTRAWORD
All ^abn++++=All
night ^nn++++=night
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
traveled ^vprf+++xvbnx+=traveled
over ^rp++++=over
her ^pp3o+pp3+++=her
ribs ^nns++++=ribs
and ^cc++++=and
bitten ^vb+++xvbn+=bitten
the ^ati++++=the
soft ^jj+atrb+++=soft
parts ^nns++++=parts
behind ^rp+pl+++=behind
her ^pp3o+pp3+++=her
knees ^nns++++=knees.
. ^zz++++=EXTRAWORD
" ^zz++++="Once,"
once ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
announced ^vbd+vpub++xvbnx+=announced
to ^in++++=to
the ^ati++++=the
sleeping ^jj+atrb++xvbg+=sleeping
building ^nvbg+++xvbg+=building,
, ^zz++++=EXTRAWORD
" ^zz++++="my
my ^pp$+pp1+++=EXTRAWORD
mattresses ^nns+nom+++=mattresses
were ^vbd+bed+aux++=were
stuffed ^vpsv++agls+xvbnx+=stuffed
with ^in++++=with
carded ^jj+atrb++xvbn+=carded
silk ^nn++++=silk.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
winter ^nn++++=winter
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
opened ^vpsv++agls+xvbnx+=opened,
, ^zz++++=EXTRAWORD
cleaned ^xvbn+++xvbn+=cleaned,
, ^zz++++=EXTRAWORD
scented ^j+++xvbn+=scented
with ^in++++=with
sandalwood ^nn+++??+=sandalwood,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stitched ^xvbn+++xvbn+=stitched
again ^rb+tm+++=again
by ^in++++=by
six ^cd++++=six
women ^nns++++=women.
. ^zz++++=EXTRAWORD
Six ^cd++++=Six.
. ^zz++++=EXTRAWORD
Believe ^vb+vprv+++=Believe
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
believe ^vb+vprv+++=believe
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
answered ^vbd+vpub++xvbn+=answered.
. ^zz++++=EXTRAWORD
Behind ^in+pl+++=Behind
the ^ati++++=the
doors ^nns++++=doors
of ^in++++=of
the ^ati++++=the
second ^od++++=second
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
families ^nns++++=families
lay ^vbd+++xvbn+=lay
under ^in++++=under
ceiling ^nn+nom+++=ceiling
fans ^nns++++=fans
and ^cc++++=and
dreamed ^vpsv++agls+xvbn+=dreamed
of ^in++++=of
school ^nn++++=school
fees ^nns++++=fees,
, ^zz++++=EXTRAWORD
tram ^nn+++??+=tram
delays ^nns++++=delays,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fish ^nn++++=fish
prices ^nns++++=prices.
. ^zz++++=EXTRAWORD
The ^ati++++=The
building ^nn++++=building
stood ^vbd+++xvbn+=stood
in ^in++++=in
a ^at++++=a
narrow ^jj+atrb+++=narrow
north ^nr+pl+++=north
Calcutta ^np++++=Calcutta
lane ^nn++++=lane
where ^wrb+who+++=where
drains ^nns++++=drains
remained ^vbd+++xvbn+=remained
wet ^jj++++=wet
even ^rb++++=even
in ^in++++=in
April ^nr++++=April.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
plaster ^nn+nom+++=plaster
had ^vbd+hvd+aux++=had
fallen ^vprf+++xvbn+=fallen
away ^rp+pl+++=away
in ^in++++=in
shapes ^nns++++=shapes
resembling ^vwbg+++xvbg+=resembling
continents ^nns++++=continents.
. ^zz++++=EXTRAWORD
Several ^ap++++=Several
windows ^nns++++=windows
lacked ^vbd+++xvbn+=lacked
glass ^nn++++=glass.
. ^zz++++=EXTRAWORD
The ^ati++++=The
collapsible ^jj+atrb+++=collapsible
gate ^nn++++=gate
leaned ^vbd+++xvbn+=leaned
to ^to++++=to
one ^cd1++++=one
side ^nn++++=side,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
stairs ^nns++++=stairs
turned ^vbd+++xvbn+=turned
sharply ^rb++++=sharply
around ^in++++=around
a ^at++++=a
central ^jj+atrb+++=central
shaft ^nn++++=shaft
through ^in++++=through
which ^whp+rel+pied++=which
quarrels ^nns++++=quarrels,
, ^zz++++=EXTRAWORD
cooking ^nvbg+++xvbg+=cooking
smells ^nns++++=smells,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
babies ^nns++++=babies'
' ^zz++++=EXTRAWORD
cries ^nns++++=cries
rose ^vbd+++xvbn+=rose
and ^cc+phrs+++=and
sank ^vbd+++xvbn+=sank
all ^abn++++=all
day ^nn++++=day.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
roof ^nn++++=roof,
, ^zz++++=EXTRAWORD
rainwater ^nn+nom+++=rainwater
collected ^vwbn+++xvbn+=collected
in ^in++++=in
blackened ^jj+atrb+++=blackened
tubs ^nns+++??+=tubs.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
ground ^nn++++=ground
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
beneath ^in+pl+++=beneath
four ^cd++++=four
dented ^vbd+++xvbn+=dented
letterboxes ^nns+++??+=letterboxes,
, ^zz++++=EXTRAWORD
Boori ^np+++??+=Boori
Ma ^npt++++=Ma
slept ^vbd+++xvbn+=slept.
. ^zz++++=EXTRAWORD
Officially ^rb+cnj+++=Officially,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
belonged ^vbd+++xvbnx+=belonged
to ^in++++=to
no ^ati++neg++=no
flat ^nn++++=flat.
. ^zz++++=EXTRAWORD
Unofficially ^np+++??+=Unofficially,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
belonged ^vbd+++xvbnx+=belonged
to ^in++++=to
the ^ati++++=the
stairs ^nns++++=stairs.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
swept ^vbd+++xvbnx+=swept
them ^pp3o+pp3+++=them
twice ^rb++++=twice
a ^at++++=a
day ^nn++++=day
with ^in++++=with
a ^at++++=a
long ^rb++++=long
reed ^nn++++=reed
broom ^nn++++=broom,
, ^zz++++=EXTRAWORD
beating ^nvbg+++xvbg+=beating
dust ^nn++++=dust
from ^in++++=from
each ^dt++++=each
landing ^jj+++xvbg+=landing
and ^cc+phrs+++=and
pushing ^jj+++xvbg+=pushing
down ^rp++++=down
bottle ^nn++++=bottle
caps ^nns++++=caps,
, ^zz++++=EXTRAWORD
fish ^nns++++=fish
scales ^nns++++=scales,
, ^zz++++=EXTRAWORD
peanut ^nn+++??+=peanut
skins ^nns++++=skins,
, ^zz++++=EXTRAWORD
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
dead ^jj+atrb+++=dead
ants ^nns++++=ants,
, ^zz++++=EXTRAWORD
flakes ^nns++++=flakes
of ^in++++=of
plaster ^nn+nom+++=plaster,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
silver ^nn++++=silver
paper ^nn++++=paper
from ^in++++=from
sweets ^nns++++=sweets.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
knew ^vbd+vprv++xvbnx+=knew
which ^wdt+who+whcl++=which
milkman ^nn++++=milkman
watered ^vbd+++xvbn+=watered
his ^pp$+pp3+++=his
cans ^nn++++=cans
and ^cc++++=and
which ^whp+rel+obj++=which
boy ^nn++++=boy
stole ^vbd+++xvbn+=stole
coal ^nn++++=coal
from ^in++++=from
the ^ati++++=the
courtyard ^nn++++=courtyard.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
intercepted ^vbd+++xvbnx+=intercepted
salesmen ^nns++++=salesmen,
, ^zz++++=EXTRAWORD
beggars ^nns++++=beggars,
, ^zz++++=EXTRAWORD
census ^nn++++=census
clerks ^nns++++=clerks,
, ^zz++++=EXTRAWORD
wandering ^vbg+++xvbg+=wandering
sadhus ^nns+++??+=sadhus,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cousins ^nns++++=cousins
who ^whp+rel+subj++=who
could ^md+pos+++=could
not ^xnot++not++=not
remember ^nn+nom+++=remember
the ^ati++++=the
surnames ^nns++++=surnames
of ^in++++=of
the ^ati++++=the
people ^nns++++=people
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
to ^to++++=to
visit ^vbi++++=visit.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
deliveries ^nns+nom+++=deliveries
arrived ^vbd+++xvbn+=arrived
she ^pp3a+pp3+++=she
shouted ^vbd+vpub++xvbnx+=shouted
upward ^jjb++++=upward.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
children ^nns++++=children
returned ^vbd+++xvbn+=returned
from ^in++++=from
school ^nn++++=school,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
inspected ^vbd+++xvbnx+=inspected
their ^pp$+pp3+++=their
faces ^nns++++=faces
for ^in++++=for
mischief ^nn++++=mischief.
. ^zz++++=EXTRAWORD
" ^zz++++="Wipe
wipe ^vb++++=EXTRAWORD
your ^pp$+pp2+++=your
feet ^nns++++=feet."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
not ^xnot++not++=not
swing ^vb++++=swing
from ^in++++=from
that ^dt+dem+++=that
railing ^nn+nom+++=railing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+++=EXTRAWORD
gave ^vbd+++xvbn+=gave
you ^pp2+pp2+++=you
permission ^nn++++=permission
to ^to+ncmp+++=to
climb ^vbi++++=climb
with ^in++++=with
guavas ^nns+++??+=guavas
in ^in++++=in
your ^pp$+pp2+++=your
pockets ^nns++++=pockets?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
voice ^nn++++=voice
was ^vbd+bedz+vrb++=was
tart ^nn++++=tart
as ^ql++++=as
tamarind ^vb+++??+=tamarind
and ^cc+phrs+++=and
carried ^vbd+++xvbn+=carried
cleanly ^rb++++=cleanly
to ^in++++=to
the ^ati++++=the
roof ^nn++++=roof.
. ^zz++++=EXTRAWORD
Around ^rp++++=Around
her ^pp3o+pp3+++=her
waist ^nn++++=waist
she ^pp3a+pp3+++=she
tied ^vbd+++xvbnx+=tied
the ^ati++++=the
loose ^jj+atrb+++=loose
end ^nn++++=end
of ^in++++=of
her ^pp$+pp3+++=her
sari ^nn++++=sari,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
inside ^jjb++++=inside
its ^pp$+it+++=its
knot ^nn++++=knot
she ^pp3a+pp3+++=she
kept ^vbd+++xvbnx+=kept
a ^at++++=a
ring ^nn++++=ring
of ^in++++=of
skeleton ^nn++++=skeleton
keys ^nns++++=keys.
. ^zz++++=EXTRAWORD
The ^ati++++=The
keys ^nns++++=keys
opened ^vbd+++xvbn+=opened
nothing ^pn++++=nothing
in ^in++++=in
the ^ati++++=the
building ^nvbg+++xvbg+=building.
. ^zz++++=EXTRAWORD
Most ^ql+emph+++=Most
were ^vbd+bed+vrb++=were
long ^rb++++=long
and ^cc++++=and
black ^nn++++=black,
, ^zz++++=EXTRAWORD
with ^in++++=with
ornate ^jj+atrb+++=ornate
teeth ^nns++++=teeth
and ^cc++++=and
oval ^jj+atrb+++=oval
bows ^nns++++=bows,
, ^zz++++=EXTRAWORD
keys ^nns++++=keys
made ^vbd+++xvbn+=made
for ^in+ppvb+++=for
cupboards ^nns++++=cupboards
wider ^jjr++++=wider
than ^in++++=than
the ^ati++++=the
alcove ^nn++++=alcove
where ^wrb+who+++=where
she ^pp3a+pp3+++=she
slept ^vbd+++xvbnx+=slept.
. ^zz++++=EXTRAWORD
Whenever ^nn+nom+++=Whenever
anyone ^pn++++=anyone
questioned ^vbd+vpub++xvbn+=questioned
her ^pp$+pp3+++=her
authority ^nn+nom+++=authority,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
shook ^vbd+++xvbnx+=shook
her ^pp$+pp3+++=her
hip ^nn++++=hip
so ^ql++++=so
that ^cs+sub+++=that
they ^pp3a+pp3+++=they
clattered ^vbd+++xvbnx+=clattered.
. ^zz++++=EXTRAWORD
" ^zz++++="These
these ^dt+dem+++=EXTRAWORD
opened ^jj+++xvbn+=opened
my ^pp$+pp1+++=my
almari ^nn+++??+=almari,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
would ^md+prd+++=would
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
" ^zz++++="Teak,
teak ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
sal ^jj+atrb+++=sal
wood ^nn++++=wood.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
