# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
**allegro ^nn+++??+=**Allegro
con ^np++++=con
brio** ^nn+++??+=brio**
All ^abn++++=All
day ^nn++++=day
the ^ati++++=the
City ^nn++++=City
had ^vbd+hvd+aux++=had
beaten ^vprf+++xvbnx+=beaten
upon ^in++++=upon
the ^ati++++=the
Music-lover ^np+nom+++=Music-Lover's
's ^$++++=EXTRAWORD
senses ^nns++++=senses
as ^in++++=as
an ^at++++=an
iron ^nn++++=iron
rain ^nn++++=rain
beats ^nns++++=beats
upon ^in++++=upon
a ^at++++=a
roof ^nn++++=roof.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vbd+hvd+aux++=had
roared ^vprf+++xvbnx+=roared
beneath ^rb++++=beneath
his ^pp$+pp3+++=his
window ^nn++++=window
in ^in++++=in
vans ^nns++++=vans
and ^cc++++=and
omnibuses ^nns+++??+=omnibuses;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
clanged ^vprf+++xvbnx+=clanged
in ^in++++=in
the ^ati++++=the
hammers ^nns+nom+++=hammers
of ^in++++=of
workmen ^nns++++=workmen,
, ^zz++++=EXTRAWORD
shrieked ^j+++xvbn+=shrieked
in ^in++++=in
the ^ati++++=the
brakes ^nns++++=brakes
of ^in++++=of
motor ^nn++++=motor-cars,
- ^zz++++=EXTRAWORD
cars ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
rattled ^xvbn+++xvbn+=rattled
in ^in++++=in
the ^ati++++=the
shutters ^nns+nom+++=shutters
of ^in++++=of
shops ^nns++++=shops,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sputtered ^vpsv++agls+xvbn+=sputtered
from ^in++++=from
a ^at++++=a
thousand ^cd++++=thousand
engines ^nns++++=engines
whose ^whp+rel+obj++=whose
feverish ^jj+atrb+++=feverish
haste ^nn++++=haste
seemed ^vbd+seem++xvbn+=seemed
without ^in++++=without
purpose ^nn++++=purpose
or ^cc++++=or
destination ^nn+nom+++=destination.
. ^zz++++=EXTRAWORD
Newsboys ^np+++??+=Newsboys
cried ^vbd+++xvbn+=cried
calamities ^nns+nom+++=calamities
which ^whp+rel+obj++=which
no ^at++++=no
one ^cd1++++=one
paused ^vbd+++xvbn+=paused
to ^to++++=to
understand ^vbi+vprv+++=understand.
. ^zz++++=EXTRAWORD
Telephones ^nns++++=Telephones
rang ^vbd+++xvbn+=rang
in ^in++++=in
rooms ^nns++++=rooms
already ^rb++++=already
loud ^jj++++=loud
with ^in++++=with
talk ^nn++++=talk.
. ^zz++++=EXTRAWORD
Men ^nns++++=Men
shouted ^vbd+vpub++xvbn+=shouted
through ^in++++=through
the ^ati++++=the
streets ^nns++++=streets
as ^cs+sub+++=as
though ^cs+sub+++=though
each ^dt++++=each
were ^vbd+bed+aux++=were
separated ^vpsv++agls+xvbnx+=separated
from ^in++++=from
his ^pp$+pp3+++=his
neighbour ^nn++++=neighbour
by ^in++++=by
a ^at++++=a
desert ^nn++++=desert,
, ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead
of ^in++++=of
by ^in++++=by
the ^ati++++=the
breadth ^nn++++=breadth
of ^in++++=of
a ^at++++=a
pavement ^nn+nom+++=pavement.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
the ^ati++++=the
pigeons ^nns++++=pigeons,
, ^zz++++=EXTRAWORD
disputing ^vbg+++xvbg+=disputing
among ^in++++=among
the ^ati++++=the
cornices ^nns+++??+=cornices,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
added ^vprf+++xvbnx+=added
their ^pp$+pp3+++=their
dry ^jj+atrb+++=dry
and ^cc+phrs+++=and
petulant ^jj++++=petulant
squawking ^jj+++xvbg+=squawking
to ^in++++=to
the ^ati++++=the
universal ^jj+atrb+++=universal
discord ^nn++++=discord.
. ^zz++++=EXTRAWORD
Toward ^in++++=Toward
evening ^nn++++=evening
he ^pp3a+pp3+++=he
fled ^vbd+++xvbnx+=fled.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
not ^xnot++not++=not
tell ^vb++++=tell
himself ^ppl+pp3+++=himself
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
weary ^jj+pred+++=weary
of ^in++++=of
men ^nns++++=men;
; ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
too ^ql++++=too
honest ^jj++++=honest
to ^to++++=to
lay ^vbi++++=lay
upon ^in++++=upon
humanity ^nn+nom+++=humanity
a ^at++++=a
burden ^nn++++=burden
which ^whp+rel+subj++=which
belonged ^vbd+++xvbn+=belonged
perhaps ^rb++++=perhaps
to ^in++++=to
his ^pp$+pp3+++=his
own ^ap++++=own
tired ^jj+atrb++xvbn+=tired
nerves ^nns++++=nerves.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
he ^pp3a+pp3+++=he
desired ^vbd+vsua++xvbnx+=desired
no ^at++++=no
face ^nn++++=face,
, ^zz++++=EXTRAWORD
no ^at++++=no
greeting ^nvbg+++xvbg+=greeting,
, ^zz++++=EXTRAWORD
no ^at++++=no
argument ^nn+nom+++=argument.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wanted ^vbd+++xvbnx+=wanted
that ^dt+dem+++=that
peculiar ^jj+atrb+++=peculiar
solitude ^nn++++=solitude
which ^whp+rel+subj++=which
can ^md+pos+++=can
be ^vb+be+aux++=be
found ^vpsv++agls+xvbnx+=found
only ^rb+down+++=only
among ^in++++=among
many ^ap++++=many
silent ^jj+atrb+++=silent
people ^nns++++=people,
, ^zz++++=EXTRAWORD
all ^abn++++=all
waiting ^jj+++xvbg+=waiting
upon ^in++++=upon
the ^ati++++=the
same ^ap++++=same
revelation ^nn+nom+++=revelation.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
to ^in++++=to
the ^ati++++=the
concert ^nn++++=concert-hall
- ^zz++++=EXTRAWORD
hall ^npl++++=EXTRAWORD
as ^ql++++=as
a ^at++++=a
traveller ^nn+nom+++=traveller
comes ^vbz++++=comes
upon ^in+ppvb+++=upon
water ^nn++++=water,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
climbed ^vpsv++agls+xvbn+=climbed
to ^in++++=to
his ^pp$+pp3+++=his
accustomed ^xvbn+++xvbn+=accustomed
coign ^nn+++??+=coign
of ^in++++=of
vantage ^nn+nom+++=vantage
in ^in++++=in
the ^ati++++=the
balcony ^nn++++=balcony.
. ^zz++++=EXTRAWORD
Below ^rb++++=Below
him ^pp3o+pp3+++=him
the ^ati++++=the
stage ^nn++++=stage
shone ^vbd+++xvbn+=shone
like ^in++++=like
an ^at++++=an
island ^nn++++=island
under ^in++++=under
a ^at++++=a
tranquil ^jj+atrb+++=tranquil
moon ^nn++++=moon.
. ^zz++++=EXTRAWORD
The ^ati++++=The
chairs ^nns++++=chairs
stood ^vbd+++xvbn+=stood
in ^in++++=in
ordered ^vbd+vsua++xvbn+=ordered
curves ^nns++++=curves;
; ^zz++++=EXTRAWORD
the ^ati++++=the
desks ^nns++++=desks,
, ^zz++++=EXTRAWORD
each ^dt++++=each
with ^in++++=with
its ^pp$+it+++=its
little ^jj+atrb+++=little
lamp ^nn++++=lamp,
, ^zz++++=EXTRAWORD
waited ^j+++xvbn+=waited
like ^in++++=like
low ^jj+atrb+++=low
altars ^nns++++=altars;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
polished ^jj+atrb+++=polished
instruments ^nns+nom+++=instruments
gave ^vbd+++xvbn+=gave
back ^rb+phrv+++=back
points ^nns++++=points
of ^in++++=of
gold ^nn++++=gold,
, ^zz++++=EXTRAWORD
silver ^nn++++=silver,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
deep ^jj++++=deep-brown
- ^zz++++=EXTRAWORD
brown ^jj+atrb+++=EXTRAWORD
fire ^nn++++=fire.
. ^zz++++=EXTRAWORD
Musicians ^nns++++=Musicians
entered ^vwbn+++xvbn+=entered
by ^in++++=by
twos ^cds++++=twos
and ^cc++++=and
threes ^cds++++=threes,
, ^zz++++=EXTRAWORD
carrying ^vbg+++xvbg+=carrying
beneath ^rb++++=beneath
their ^pp$+pp3+++=their
arms ^nns++++=arms
the ^ati++++=the
tools ^nns++++=tools
of ^in++++=of
their ^pp$+pp3+++=their
mysterious ^jj+atrb+++=mysterious
labour ^nn++++=labour.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
sat ^vbd+++xvbnx+=sat,
, ^zz++++=EXTRAWORD
adjusted ^xvbn+++xvbn+=adjusted,
, ^zz++++=EXTRAWORD
tested ^xvbn+++xvbn+=tested,
, ^zz++++=EXTRAWORD
murmured ^j+++xvbn+=murmured.
. ^zz++++=EXTRAWORD
A ^at++++=A
violin ^nn++++=violin
sent ^vbd+++xvbn+=sent
up ^rb+phrv+++=up
a ^at++++=a
thin ^jj+atrb+++=thin
inquiry ^nn++++=inquiry;
; ^zz++++=EXTRAWORD
a ^at++++=a
horn ^np++++=horn
answered ^vbd+vpub++xvbn+=answered
from ^in++++=from
a ^at++++=a
distance ^nn+nom+++=distance;
; ^zz++++=EXTRAWORD
the ^ati++++=the
kettledrum ^nn+++??+=kettledrum
muttered ^vbd+++xvbn+=muttered
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
thunder ^nn++++=thunder
had ^vbd+hvd+aux++=had
turned ^vprf+++xvbnx+=turned
in ^rb+phrv+++=in
sleep ^nn++++=sleep.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
Conductor ^nn++++=Conductor
appeared ^vbd+seem++xvbn+=appeared.
. ^zz++++=EXTRAWORD
Applause ^nn++++=Applause
swept ^vwbn+++xvbn+=swept
across ^in+pl+++=across
the ^ati++++=the
hall ^nn++++=hall,
, ^zz++++=EXTRAWORD
subsided ^vprf+++xvbn+=subsided,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
left ^vpsv++agls+xvbn+=left
behind ^rb+phrv+++=behind
it ^pp3+it+++=it
an ^at++++=an
expectant ^nn++++=expectant
hush ^vb++++=hush.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
lifted ^vbd+++xvbnx+=lifted
his ^pp$+pp3+++=his
baton ^nn++++=baton.
. ^zz++++=EXTRAWORD
At ^rb++++=At
that ^dt+dem+++=that
instant ^nn+nom+++=instant
the ^ati++++=the
Music ^nn++++=Music-Lover
- ^zz++++=EXTRAWORD
lover ^nn++++=EXTRAWORD
saw ^vbd+vprv++xvbn+=saw
the ^ati++++=the
orchestra ^nn++++=orchestra
as ^in++++=as
a ^at++++=a
wonderful ^jj+atrb+++=wonderful
machine ^nn++++=machine,
, ^zz++++=EXTRAWORD
infinitely ^rb++++=infinitely
delicate ^jj++++=delicate
yet ^cc++++=yet
perfectly ^rb+amp+++=perfectly
obedient ^jj++++=obedient:
: ^zz++++=EXTRAWORD
a ^at++++=a
many ^ap++++=many-membered
- ^zz++++=EXTRAWORD
membered ^jj+atrb++xvbn+=EXTRAWORD
engine ^nn++++=engine
of ^in++++=of
sound ^nn++++=sound,
, ^zz++++=EXTRAWORD
governed ^xvbn+++xvbn+=governed
by ^in++++=by
one ^cd1++++=one
will ^md+prd+++=will.
. ^zz++++=EXTRAWORD
A ^at++++=A
movement ^nn+nom+++=movement
of ^in++++=of
the ^ati++++=the
baton ^nn++++=baton,
, ^zz++++=EXTRAWORD
scarcely ^rb+down+++=scarcely
more ^rbr++++=more
than ^in++++=than
the ^ati++++=the
fall ^nn++++=fall
of ^in++++=of
a ^at++++=a
white ^jj+atrb+++=white
reed ^nn++++=reed,
, ^zz++++=EXTRAWORD
released ^xvbn+++xvbn+=released
the ^ati++++=the
four ^cd++++=four
notes ^nns++++=notes
which ^whp+rel+obj++=which
Fate ^nn++++=Fate
had ^vbd+hvd+aux++=had
knocked ^vprf+++xvbnx+=knocked
upon ^in++++=upon
mankind ^nn++++=mankind's
's ^$++++=EXTRAWORD
door ^nn++++=door.
. ^zz++++=EXTRAWORD
The ^ati++++=The
strings ^nns++++=strings
sprang ^vbd+++xvbn+=sprang
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
Bows ^nns++++=Bows
rose ^vbd+++xvbn+=rose
and ^cc+phrs+++=and
descended ^vbd+++xvbn+=descended
with ^in++++=with
the ^ati++++=the
precision ^nn++++=precision
of ^in++++=of
pistons ^nns++++=pistons;
; ^zz++++=EXTRAWORD
trumpet ^nn++++=trumpet-valves
- ^zz++++=EXTRAWORD
valves ^nns++++=EXTRAWORD
flashed ^vbd+++xvbn+=flashed
under ^in++++=under
practised ^xvbn+++xvbn+=practised
fingers ^nns+nom+++=fingers;
; ^zz++++=EXTRAWORD
the ^ati++++=the
slides ^nns++++=slides
of ^in++++=of
the ^ati++++=the
trombones ^nns++++=trombones
went ^vbd+++xvbn+=went
forth ^rp++++=forth
and ^cc++++=and
returned ^vbd+++xvbn+=returned
as ^cs+sub+++=as
if ^cs+cnd+++=if
controlled ^vpsv++by+xvbn+=controlled
by ^in++++=by
hidden ^xvbn+++xvbn+=hidden
rods ^nns++++=rods.
. ^zz++++=EXTRAWORD
No ^at++++=No
gesture ^nn++++=gesture
appeared ^vbd+seem++xvbn+=appeared
accidental ^jj++++=accidental.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
violence ^nn+nom+++=violence
had ^vbd+hvd+aux++=had
measure ^vb++++=measure,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
passion ^nn++++=passion
entered ^vbd+++xvbn+=entered
