Among ^in++++=Among
the ^ati++++=the
kingdoms ^nns+nom+++=kingdoms
of ^in++++=of
Christendom ^nn+nom+++=Christendom
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
few ^ap++++=few
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
visible ^jj+atrb+++=visible
instruments ^nns+nom+++=instruments
of ^in++++=of
sovereignty ^nn++++=sovereignty
possessed ^vbd+++xvbn+=possessed
so ^pn+emph+++=so
awful ^jj++++=awful
an ^at++++=an
authority ^nn+nom+++=authority
as ^in++++=as
in ^in"++++=in
Hungary ^np+nom+++=Hungary;
; ^zz++++=EXTRAWORD
for ^in++++=for
there ^rn+pl+++=there
the ^ati++++=the
crown ^nn++++=crown
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
merely ^rb+down+++=merely
an ^at++++=an
ornament ^nn+nom+++=ornament
placed ^vwbn+++xvbn+=placed
upon ^in++++=upon
the ^ati++++=the
head ^nn++++=head
of ^in++++=of
a ^at++++=a
fortunate ^jj+atrb+++=fortunate
prince ^nn++++=prince,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
imagination ^nn+nom+++=imagination
of ^in++++=of
the ^ati++++=the
people ^nn++++=people
and ^cc++++=and
almost ^rb+hdg+++=almost
in ^in++++=in
the ^ati++++=the
language ^nn+nom+++=language
of ^in++++=of
the ^ati++++=the
law ^nn++++=law,
, ^zz++++=EXTRAWORD
a ^at++++=a
sacred ^jj+atrb+++=sacred
personage ^nn+nom+++=personage
in ^in++++=in
itself ^ppl++++=itself.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vbd+hvd+aux++=had
belonged ^vprf+++xvbnx+=belonged,
, ^zz++++=EXTRAWORD
according ^in++++=according
to ^in++++=to
ancient ^jj+atrb+++=ancient
belief ^nn++++=belief,
, ^zz++++=EXTRAWORD
to ^in++++=to
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Stephen ^np++++=Stephen,
, ^zz++++=EXTRAWORD
the ^ati++++=the
first ^rb++++=first
Christian ^jj+atrb+++=Christian
king ^npt++++=king
of ^in++++=of
the ^ati++++=the
Magyars ^np+++??+=Magyars;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
blessed ^vpsv++by+xvbnx+=blessed
by ^in++++=by
Rome ^np++++=Rome,
, ^zz++++=EXTRAWORD
guarded ^xvbn+++xvbn+=guarded
by ^in++++=by
prelates ^nns+nom+++=prelates
and ^cc++++=and
magnates ^nns+nom+++=magnates,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
carried ^vpsv++agls+xvbn+=carried
before ^in++++=before
armies ^nns++++=armies
as ^in++++=as
the ^ati++++=the
sign ^nn++++=sign
of ^in++++=of
the ^ati++++=the
nation ^nn++++=nation's
's ^$++++=EXTRAWORD
unity ^nn++++=unity.
. ^zz++++=EXTRAWORD
A ^at++++=A
claimant ^nn+nom+++=claimant
might ^md+pos+++=might
have ^vb+hv+vrb++=have
royal ^jj+atrb+++=royal
blood ^nn++++=blood,
, ^zz++++=EXTRAWORD
the ^ati++++=the
consent ^nn++++=consent
of ^in++++=of
powerful ^jj+atrb+++=powerful
nobles ^nns++++=nobles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
sword ^nn++++=sword
sufficient ^jj++++=sufficient
to ^to+jcmp+++=to
enforce ^vbi++++=enforce
both ^abx++++=both;
; ^zz++++=EXTRAWORD
yet ^rb++++=yet
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+aux+xvbn+=been
crowned ^vpsv++agls+xvbnx+=crowned
with ^in++++=with
that ^dt+dem+++=that
particular ^jj+atrb+++=particular
diadem ^nn+++??+=diadem,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
ancient ^jj+atrb+++=ancient
city ^nn++++=city
of ^in++++=of
Weissenburg ^np+++??+=Weissenburg,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
Sz ^np+++??+=Sz
kesfeh ^nn+++??+=kesfeh
rv ^nn+++??+=rv
r ^zz++++=r,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
title ^nn++++=title
remained ^vbd+++xvbn+=remained
defective ^jj++++=defective.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Crown ^nn++++=Crown
of ^in++++=of
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Stephen ^np++++=Stephen
was ^vbd+bedz+aux++=was
therefore ^rb+cnj+splt++=therefore
enclosed ^vpsv++agls+xvbnx+=enclosed
within ^in++++=within
strong ^jj+atrb+++=strong
chests ^nns++++=chests,
, ^zz++++=EXTRAWORD
behind ^rp+pl+++=behind
locks ^npl++++=locks,
, ^zz++++=EXTRAWORD
chains ^nns++++=chains,
, ^zz++++=EXTRAWORD
seals ^nns++++=seals,
, ^zz++++=EXTRAWORD
gates ^nns++++=gates,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
armed ^xvbn+++xvbn+=armed
men ^nns++++=men,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
castle ^nn++++=castle
of ^in++++=of
Vissegrad ^np+++??+=Vissegrad,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
rose ^vbd+++xvbn+=rose
above ^in+ppvb+++=above
the ^ati++++=the
Danube ^np++++=Danube.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
bent ^xvbn+++xvbn+=bent
cross ^np++++=cross,
