There ^ex+pex+++=There
are ^vb+ber+vrb++=are
moments ^nns+nom+++=moments
in ^in++++=in
life ^nn++++=life
which ^whp+rel+subj++=which
announce ^vb+vpub+++=announce
themselves ^ppls+pp3+++=themselves
with ^in++++=with
trumpets ^nns++++=trumpets,
, ^zz++++=EXTRAWORD
telegrams ^nns++++=telegrams,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
agitated ^jj+atrb++xvbn+=agitated
entrance ^nn+nom+++=entrance
of ^in++++=of
relatives ^nns++++=relatives;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
others ^aps++++=others,
, ^zz++++=EXTRAWORD
no ^at++++=no
less ^rbr++++=less
decisive ^jj++++=decisive,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
pass ^vb++++=pass
with ^in++++=with
the ^ati++++=the
faint ^jj+atrb+++=faint
click ^nn++++=click
of ^in++++=of
an ^at++++=an
insect ^nn++++=insect's
's ^$++++=EXTRAWORD
wing ^nn++++=wing.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
our ^pp$+pp1+++=our
habit ^nn++++=habit
to ^to++++=to
remember ^nn+nom+++=remember
the ^ati++++=the
trumpets ^nns++++=trumpets.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="At
at ^rb++++=EXTRAWORD
this ^dt+dem+++=this
instant ^nn+nom+++=instant
my ^pp$+pp1+++=my
destiny ^nn++++=destiny
changed ^vbd+++xvbn+=changed,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
because ^cs+cos+++=because
a ^at++++=a
door ^nn++++=door
slammed ^vbd+++xvbn+=slammed,
, ^zz++++=EXTRAWORD
a ^at++++=a
physician ^nn++++=physician
frowned ^vbd+++xvbn+=frowned,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
a ^at++++=a
railway ^nn++++=railway
train ^vb++++=train
departed ^vbd+++xvbn+=departed
without ^in++++=without
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
destiny ^nn++++=destiny,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
older ^jjr++++=older
and ^cc++++=and
more ^ql++++=more
experienced ^jj+++xvbn+=experienced
than ^in++++=than
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are,
, ^zz++++=EXTRAWORD
seldom ^rb++++=seldom
conducts ^vbz++++=conducts
its ^pp$+it+++=its
business ^nns+nom+++=business
so ^rb++++=so
theatrically ^rb++++=theatrically.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
prefers ^nns+nom+++=prefers
to ^to+vcmp+++=to
turn ^vbi++++=turn
the ^ati++++=the
switch ^nn++++=switch
while ^cs+sub+++=while
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
looking ^vbg+++xvbgx+=looking
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
often ^rb++splt++=often
reflected ^vprf+++xvbnx+=reflected
upon ^in++++=upon
this ^dt+dem+++=this
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
missed ^vprf+++xvbnx+=missed
a ^at++++=a
train ^nn++++=train,
, ^zz++++=EXTRAWORD
a ^at++++=a
fish ^nn++++=fish,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
an ^at++++=an
opportunity ^nn+nom+++=opportunity
to ^to+ncmp+++=to
remain ^vbi++++=remain
silent ^jj++++=silent.
. ^zz++++=EXTRAWORD
Opportunities ^nns+nom+++=Opportunities,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
swarm ^nn++++=swarm
around ^in++++=around
a ^at++++=a
man ^nn++++=man
like ^in++++=like
gnats ^nns+++??+=gnats
in ^in++++=in
June ^nr++++=June;
; ^zz++++=EXTRAWORD
yet ^rb++++=yet
he ^pp3a+pp3+++=he
commonly ^rb++++=commonly
spends ^vbz++++=spends
his ^pp$+pp3+++=his
time ^nn++++=time
slapping ^vwbg+++xvbg+=slapping
at ^rb++++=at
those ^dt+pdem+++=those
which ^whp+rel+obj++=which
merely ^rb+down+++=merely
annoy ^nn+++??+=annoy
him ^pp3o+pp3+++=him
and ^cc++++=and
allowing ^vbg+++xvbg+=allowing
the ^ati++++=the
important ^jj+atrb+++=important
one ^cd1++++=one
to ^to++++=to
settle ^vbi++++=settle
unnoticed ^jj++++=unnoticed
upon ^in++++=upon
his ^pp$+pp3+++=his
nose ^nn++++=nose.
. ^zz++++=EXTRAWORD
The ^ati++++=The
particular ^jj+atrb+++=particular
crisis ^nn++++=crisis
of ^in++++=of
which ^whp+rel+pied++=which
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
about ^md"++pmd"++=about
to ^md+prd+++=to
speak ^vb++++=speak
occurred ^vprf+++xvbn+=occurred
on ^in++++=on
the ^ati++++=the
last ^rb++++=last
day ^nn++++=day
of ^in++++=of
the ^ati++++=the
ouananiche ^nn+++??+=ouananiche
season ^nn++++=season,
, ^zz++++=EXTRAWORD
beside ^in+pl+++=beside
a ^at++++=a
flooded ^jj+atrb+++=flooded
river ^nn++++=river
in ^in++++=in
Quebec ^np++++=Quebec,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
embodied ^vpsv++agls+xvbnx+=embodied
in ^in++++=in
a ^at++++=a
grasshopper ^nn+nom+++=grasshopper.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
down ^rp++++=down
that ^dt+dem+++=that
morning ^nn++++=morning
Ferdinand ^np++++=Ferdinand,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
guide ^nn++++=guide;
; ^zz++++=EXTRAWORD
Blackwood ^np+++??+=Blackwood,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
companion ^nn++++=companion
in ^in++++=in
many ^ap++++=many
innocent ^jj+atrb+++=innocent
disasters ^nns+nom+++=disasters;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
to ^to++++=to
make ^vbi++++=make
a ^at++++=a
final ^jj+atrb+++=final
assault ^nn++++=assault
upon ^in++++=upon
the ^ati++++=the
Grande ^&fw++++=Grande
Chute ^np+++??+=Chute
pool ^nn++++=pool.
. ^zz++++=EXTRAWORD
The ^ati++++=The
phrase ^nn++++=phrase
" ^zz++++="final
final ^jj+atrb+++=EXTRAWORD
assault ^nn++++=assault"
" ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
Blackwood ^np+++??+=Blackwood's.
's. ^nn+++??+=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
served ^vprf+++xvbnx+=served
for ^in++++=for
three ^cd++++=three
months ^nns++++=months
in ^in++++=in
the ^ati++++=the
militia ^nn+++??+=militia
and ^cc++++=and
considered ^vbd+vprv++xvbn+=considered
military ^jj+atrb+++=military
language ^nn+nom+++=language
applicable ^jj++++=applicable
to ^in++++=to
everything ^pn++++=everything,
, ^zz++++=EXTRAWORD
including ^in++++=including
breakfast ^nn++++=breakfast.
. ^zz++++=EXTRAWORD
The ^ati++++=The
night ^nn++++=night
