When ^wrb+who+++=When
Muirenn ^np+++??+=Muirenn
the ^ati++++=the
High ^jj++++=High-Queen
- ^zz++++=EXTRAWORD
queen ^npt++++=EXTRAWORD
came ^vbd+++xvbn+=came
to ^in++++=to
the ^ati++++=the
hour ^nn++++=hour
of ^in++++=of
her ^pp$+pp3+++=her
travail ^nn+++??+=travail,
, ^zz++++=EXTRAWORD
thunder ^nn++++=thunder
walked ^vbd+++xvbn+=walked
upon ^in++++=upon
the ^ati++++=the
western ^jj+atrb+++=western
hills ^nns++++=hills,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
season ^nn++++=season
of ^in++++=of
clear ^jj+atrb+++=clear
skies ^nns++++=skies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
cattle ^nns++++=cattle
turned ^vbd+++xvbn+=turned
their ^pp$+pp3+++=their
heads ^nns++++=heads
from ^in++++=from
the ^ati++++=the
wind ^nn++++=wind.
. ^zz++++=EXTRAWORD
All ^abn++++=All
night ^nn++++=night
the ^ati++++=the
women ^nns++++=women
of ^in++++=of
the ^ati++++=the
dun ^nn++++=dun
went ^vbd+++xvbn+=went
softly ^rb++++=softly
between ^in++++=between
chamber ^nn++++=chamber
and ^cc++++=and
hearth ^nn++++=hearth,
, ^zz++++=EXTRAWORD
bearing ^vbg+++xvbg+=bearing
water ^nn++++=water,
, ^zz++++=EXTRAWORD
linen ^nn++++=linen,
, ^zz++++=EXTRAWORD
honey ^nn++++=honey,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
those ^dt+dem+++=those
herbs ^nns++++=herbs
which ^whp+rel+subj++=which
ease ^vb++++=ease
the ^ati++++=the
doors ^nns++++=doors
of ^in++++=of
birth ^nn++++=birth;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
before ^cs+sub+++=before
dawn ^nn++++=dawn
Muirenn ^np+++??+=Muirenn
gave ^vbd+++xvbn+=gave
one ^cd1++++=one
cry ^nn++++=cry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
cry ^nn++++=cry
passed ^vbd+++xvbn+=passed
out ^rp+pl+++=out
over ^in++++=over
the ^ati++++=the
roofs ^nns++++=roofs
like ^in++++=like
a ^at++++=a
white ^jj+atrb+++=white
bird ^nn++++=bird
fleeing ^vwbg+++xvbg+=fleeing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thereafter ^nn+nom+++=thereafter
she ^pp3a+pp3+++=she
spoke ^vbd+++xvbnx+=spoke
no ^at++++=no
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
The ^ati++++=The
child ^nn++++=child
lived ^vbd+++xvbn+=lived.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
lay ^vbd+++xvbnx+=lay
in ^in++++=in
a ^at++++=a
cradle ^nn++++=cradle
of ^in++++=of
ashwood ^nn+++??+=ashwood
beside ^in+pl+++=beside
the ^ati++++=the
dead ^jj+atrb+++=dead
queen ^nn++++=queen,
, ^zz++++=EXTRAWORD
red ^jj++++=red
as ^ql++++=as
a ^at++++=a
coal ^nn++++=coal
and ^cc++++=and
silent ^jj++++=silent,
, ^zz++++=EXTRAWORD
with ^in++++=with
his ^pp$+pp3+++=his
small ^jj+atrb+++=small
fists ^nns++++=fists
closed ^vbd+++xvbn+=closed
upon ^in++++=upon
the ^ati++++=the
secret ^nn++++=secret
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
brought ^vprf+++xvbnx+=brought
into ^in++++=into
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
The ^ati++++=The
nurse ^nn++++=nurse
covered ^vbd+++xvbn+=covered
Muirenn ^np++++=Muirenn's
's ^$++++=EXTRAWORD
face ^nn++++=face
and ^cc++++=and
wept ^vbd+++xvbn+=wept,
, ^zz++++=EXTRAWORD
for ^in++++=for
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
served ^vprf+++xvbnx+=served
her ^pp$+pp3+++=her
from ^in++++=from
girlhood ^nn+nom+++=girlhood;
; ^zz++++=EXTRAWORD
yet ^rb++++=yet
the ^ati++++=the
fire ^nn++++=fire
danced ^vbd+++xvbn+=danced
upon ^in++++=upon
the ^ati++++=the
hearth ^nn++++=hearth,
, ^zz++++=EXTRAWORD
careless ^jj++++=careless
and ^cc+phrs+++=and
golden ^jj++++=golden,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
child ^nn++++=child
slept ^vbd+++xvbn+=slept
while ^cs+sub+++=while
hail ^nn++++=hail
rattled ^vwbn+++xvbn+=rattled
against ^in++++=against
the ^ati++++=the
shutters ^nns+nom+++=shutters.
. ^zz++++=EXTRAWORD
At ^in++++=At
midnight ^nn++++=midnight
the ^ati++++=the
door ^nn++++=door
opened ^vbd+++xvbn+=opened,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
bar ^nn++++=bar
was ^vbd+bedz+vrb++=was
down ^rp++++=down.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
entered ^vprf+++xvbn+=entered
an ^at++++=an
old ^jj+atrb+++=old
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
tall ^jj++++=tall
and ^cc+phrs+++=and
lean ^jj++++=lean,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
cloak ^nn++++=cloak
was ^vbd+bedz+aux++=was
sewn ^vprf+++xvbn+=sewn
with ^in++++=with
grey ^np++++=grey
feathers ^nns+nom+++=feathers.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
feet ^nns++++=feet
were ^vbd+bed+vrb++=were
bare ^jj+pred+++=bare,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
hair ^nn++++=hair
was ^vbd+bedz+vrb++=was
white ^jj+pred+++=white,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
had ^vb+hv+vrb++=had
the ^ati++++=the
yellow ^jj+atrb+++=yellow
brightness ^nns+nom+++=brightness
of ^in++++=of
a ^at++++=a
hawk ^nn+++??+=hawk's
's ^$++++=EXTRAWORD
eyes ^nns++++=eyes
when ^wrb+who+++=when
it ^pp3+it+++=it
hangs ^vbz++++=hangs
above ^jjb++++=above
the ^ati++++=the
moor ^npl++++=moor.
. ^zz++++=EXTRAWORD
" ^zz++++="Whose
whose ^whp+who+++=EXTRAWORD
son ^nn++++=son
is ^vbz+bez+vrb++=is
this ^dt+pdem+++=this?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
son ^nn++++=son
of ^in++++=of
Muirenn ^np+++??+=Muirenn,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
nurse ^nn++++=nurse,
, ^zz++++=EXTRAWORD
trembling ^jj+++xvbg+=trembling.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
his ^pp$+pp3+++=his
sorrow ^nn++++=sorrow,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
old ^jj+atrb+++=old
woman ^nn++++=woman.
. ^zz++++=EXTRAWORD
" ^zz++++="Whose
whose ^whp+who+++=EXTRAWORD
son ^nn++++=son
is ^vbz+bez+vrb++=is
this ^dt+pdem+++=this?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
son ^nn++++=son
of ^in++++=of
Eochaid ^np+++??+=Eochaid,
, ^zz++++=EXTRAWORD
High ^jj++++=High-King
- ^zz++++=EXTRAWORD
king ^npt++++=EXTRAWORD
of ^in++++=of
Eri ^np+++??+=Eri."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
his ^pp$+pp3+++=his
burden ^nn++++=burden.
. ^zz++++=EXTRAWORD
Whose ^whp+who+++=Whose
son ^nn++++=son
is ^vbz+bez+vrb++=is
this ^dt+pdem+++=this?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+++=know
no ^at++++=no
other ^ap++++=other
answer ^nn++++=answer."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
crone ^nn++++=crone
bent ^vbd+++xvbn+=bent
over ^in++++=over
the ^ati++++=the
cradle ^nn++++=cradle
and ^cc++++=and
laid ^vbd+++xvbn+=laid
one ^cd1++++=one
nail ^nn++++=nail
upon ^in++++=upon
the ^ati++++=the
child ^nn++++=child's
's ^$++++=EXTRAWORD
breast ^nn++++=breast.
. ^zz++++=EXTRAWORD
" ^zz++++="His
his ^pp$+pp3+++=EXTRAWORD
heart ^nn++++=heart
is ^vbz+bez+vrb++=is
red ^jj+pred+++=red
with ^in++++=with
mortal ^jj+atrb+++=mortal
blood ^nn++++=blood,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc+cls+++=EXTRAWORD
therefore ^rb+cnj+++=therefore
he ^pp3a+pp3+++=he
shall ^md+prd+++=shall
know ^vb+vprv+++=know
pity ^nn++++=pity;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
pity ^nn++++=pity
without ^in++++=without
sight ^nn++++=sight
is ^vbz+bez+vrb++=is
a ^at++++=a
blind ^jj+atrb+++=blind
hound ^nn++++=hound.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
give ^vb++++=give
him ^pp3o+pp3+++=him
sight ^nn++++=sight."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
scratched ^vbd+++xvbnx+=scratched
her ^pp$+pp3+++=her
wrist ^nn++++=wrist,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
from ^in++++=from
it ^pp3+it+++=it
fell ^vbd+++xvbn+=fell
one ^cd1++++=one
drop ^nn++++=drop
of ^in++++=of
blood ^nn++++=blood,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
red ^jj++++=red
but ^cc++++=but
grey ^np++++=grey
as ^ql++++=as
mist ^nn++++=mist
above ^in+pl+++=above
a ^at++++=a
winter ^nn++++=winter
pool ^nn++++=pool.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
sank ^vbd+++xvbn+=sank
into ^in++++=into
the ^ati++++=the
child ^nn++++=child's
's ^$++++=EXTRAWORD
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
departed ^vbd+++xvbnx+=departed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
door ^nn++++=door
closed ^vbd+++xvbn+=closed
behind ^in+pl+++=behind
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
The ^ati++++=The
nurse ^vb++++=nurse
had ^vb+hv+aux++=had
scarcely ^rb+down+splt++=scarcely
made ^vprf+++xvbnx+=made
the ^ati++++=the
sign ^nn++++=sign
against ^in++++=against
enchantment ^nn+nom+++=enchantment
when ^wrb+who+++=when
the ^ati++++=the
door ^nn++++=door
opened ^vbd+++xvbn+=opened
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
another ^dt++++=another
old ^jj+atrb+++=old
woman ^nn++++=woman
entered ^vbd+++xvbn+=entered.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
shorter ^jjr+pred+++=shorter
than ^in++++=than
the ^ati++++=the
first ^od++++=first
and ^cc++++=and
crooked ^jj++++=crooked
like ^in++++=like
a ^at++++=a
thorn ^nn++++=thorn
tree ^nn++++=tree;
; ^zz++++=EXTRAWORD
upon ^in++++=upon
her ^pp$+pp3+++=her
shoulders ^nns+nom+++=shoulders
were ^vbd+bed+vrb++=were
the ^ati++++=the
wings ^nns++++=wings
of ^in++++=of
some ^dti++++=some
great ^jj+atrb+++=great
bird ^nn++++=bird,
, ^zz++++=EXTRAWORD
folded ^j+++xvbn+=folded
and ^cc+phrs+++=and
ragged ^jj++++=ragged
with ^in++++=with
age ^nn++++=age.
. ^zz++++=EXTRAWORD
" ^zz++++="Whose
whose ^whp+who+++=EXTRAWORD
son ^nn++++=son
is ^vbz+bez+vrb++=is
this ^dt+pdem+++=this?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
son ^nn++++=son
of ^in++++=of
sorrow ^nn++++=sorrow
and ^cc++++=and
burden ^nn++++=burden,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
whispered ^vbd+vpub++xvbn+=whispered
the ^ati++++=the
nurse ^nn++++=nurse,
, ^zz++++=EXTRAWORD
" ^zz++++="and
