Among ^in++++=Among
the ^ati++++=the
many ^ap++++=many
proofs ^nns++++=proofs
which ^whp+rel+obj++=which
history ^nn++++=history
affords ^vbz++++=affords
of ^in++++=of
that ^dt+dem+++=that
constancy ^nn++++=constancy
wherewith ^nn+++??+=wherewith
a ^at++++=a
faithful ^jj+atrb+++=faithful
wife ^nn++++=wife
may ^md+pos+++=may
cleave ^vb+++??+=cleave
unto ^in++++=unto
her ^pp$+pp3+++=her
husband ^nn++++=husband
in ^in++++=in
calamity ^nn+nom+++=calamity,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
some ^dti++++=some
which ^whp+rel+obj++=which
the ^ati++++=the
heart ^nn++++=heart
can ^md+pos+++=can
never ^rb++splt++=never
contemplate ^nn+nom+++=contemplate
without ^in++++=without
mingled ^jj+atrb++xvbn+=mingled
admiration ^nn+nom+++=admiration
and ^cc++++=and
sorrow ^nn++++=sorrow.
. ^zz++++=EXTRAWORD
Arria ^np+++??+=Arria,
, ^zz++++=EXTRAWORD
a ^at++++=a
Roman ^jj+atrb+++=Roman
matron ^npt++++=matron,
, ^zz++++=EXTRAWORD
beheld ^nn+++??+=beheld
her ^pp3o+pp3+++=her
husband ^nn++++=husband
Paetus ^np+++??+=Paetus
condemned ^vbd+++xvbn+=condemned
to ^to++++=to
die ^vbi++++=die.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
shrank ^vbd+++xvbnx+=shrank,
, ^zz++++=EXTRAWORD
as ^ql++++=as
even ^cs+sub+++=even
brave ^jj+atrb+++=brave
men ^nns++++=men
may ^md+pos+++=may
shrink ^vb++++=shrink,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
fatal ^jj+atrb+++=fatal
hour ^nn++++=hour
drew ^vbd+++xvbn+=drew
near ^in+strn+++=near;
; ^zz++++=EXTRAWORD
whereupon ^cs+sub+++=whereupon
she ^pp3a+pp3+++=she
took ^vbd+++xvbnx+=took
the ^ati++++=the
weapon ^nn++++=weapon
appointed ^vwbn+++xvbn+=appointed
for ^in++++=for
his ^pp$+pp3+++=his
death ^nn++++=death,
, ^zz++++=EXTRAWORD
plunged ^xvbn+++xvbn+=plunged
it ^pp3+it+++=it
into ^in++++=into
her ^pp$+pp3+++=her
own ^ap++++=own
breast ^nn++++=breast,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
presenting ^vbg+++xvbg+=presenting
it ^pp3+it+++=it
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
said ^j+++xvbn+=said
with ^in++++=with
a ^at++++=a
countenance ^nn+nom+++=countenance
undisturbed ^jj++++=undisturbed,
, ^zz++++=EXTRAWORD
" ^zz++++="Paetus,
paetus ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
painful ^jj++++=painful."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
undoubtedly ^rb++++=undoubtedly
greatness ^nns+nom+++=greatness
in ^in++++=in
the ^ati++++=the
action ^nn++++=action,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pagan ^jj+atrb+++=pagan
Rome ^np++++=Rome
has ^vbz+hvz+aux++=has
preserved ^vprf+++xvbnx+=preserved
her ^pp3o+pp3+++=her
name ^nn++++=name
with ^in++++=with
honour ^nn++++=honour;
; ^zz++++=EXTRAWORD
yet ^rb++++=yet
we ^pp1a+pp1+++=we
must ^md+nec+++=must
not ^xnot++not++=not
confound ^vb++++=confound
courage ^nn+nom+++=courage
with ^in++++=with
duty ^nn++++=duty,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
suppose ^vb+vprv+++=suppose
that ^tht+vcmp+++=that
self ^nn++++=self-destruction
- ^zz++++=EXTRAWORD
destruction ^nn+nom+++=EXTRAWORD
is ^vbz+bez+aux++=is
rendered ^vpsv++agls+xvbnx+=rendered
lawful ^jj++++=lawful
by ^in++++=by
affection ^nn+nom+++=affection.
. ^zz++++=EXTRAWORD
Arria ^np+++??+=Arria
could ^md+pos+++=could
show ^vb++++=show
her ^pp3o+pp3+++=her
husband ^nn++++=husband
how ^wrb+who+++=how
to ^to++++=to
die ^vbi++++=die,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
could ^md+pos+++=could
not ^xnot++not++=not
teach ^vb+vsua+++=teach
him ^pp3o+pp3+++=him
how ^wrb+who+++=how
patiently ^rb++++=patiently
to ^to++++=to
endure ^vbi++++=endure.
. ^zz++++=EXTRAWORD
More ^rbr++++=More
blessed ^jj+++xvbn+=blessed
was ^vbd+bedz+vrb++=was
Natalia ^np+++??+=Natalia,
, ^zz++++=EXTRAWORD
the ^ati++++=the
wife ^nn++++=wife
of ^in++++=of
Adrian ^np++++=Adrian.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
husband ^nn++++=husband,
, ^zz++++=EXTRAWORD
newly ^rb++++=newly
converted ^vbd+++xvbn+=converted
to ^in++++=to
the ^ati++++=the
Christian ^jj+atrb+++=Christian
faith ^nn++++=faith,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
cast ^vpsv++agls+xvbnx+=cast
into ^in++++=into
prison ^nn++++=prison,
, ^zz++++=EXTRAWORD
scourged ^j+++xvbn+=scourged,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
subjected ^vbd+++xvbn+=subjected
to ^in++++=to
fearful ^jj+atrb+++=fearful
torments ^nns+nom+++=torments.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
word ^nn++++=word
was ^vbd+bedz+aux++=was
brought ^vpsv++agls+xvbnx+=brought
to ^in+phrv+++=to
Natalia ^np+++??+=Natalia
that ^tht+rel+obj++=that
Adrian ^np++++=Adrian
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
released ^vpsv++agls+xvbnx+=released,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
trembled ^vbd+++xvbnx+=trembled,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
with ^in++++=with
joy ^nn++++=joy,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
