**editor ^nn++++=**EDITOR'S
's ^$++++=EXTRAWORD
Note ^nn++++=NOTE.
. ^zz++++=EXTRAWORD
The ^ati++++=The
following ^jj+atrb++xvbg+=following
incident ^nn++++=incident
occurred ^vbd+++xvbn+=occurred
many ^ap++++=many
years ^nns++++=years
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
still ^rb++++=still
took ^vbd+++xvbn+=took
pleasure ^nn++++=pleasure
in ^in++++=in
hunting ^xvbg+++xvbg+=hunting.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
since ^cs+sub+++=since
come ^vprf+++xvbn+=come
to ^to++++=to
regard ^vbi++++=regard
the ^ati++++=the
killing ^jj+++xvbg+=killing
of ^in++++=of
animals ^nns+nom+++=animals
for ^in++++=for
amusement ^nn+nom+++=amusement
as ^ql++++=as
wrong ^jj++++=wrong;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
give ^vb++++=give
the ^ati++++=the
account ^nn++++=account
as ^ql++++=as
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
without ^in++++=without
altering ^xvbg+++xvbg+=altering
either ^dtx++++=either
my ^pp$+pp1+++=my
actions ^nns+nom+++=actions
or ^cc++++=or
my ^pp$+pp1+++=my
thoughts ^nns++++=thoughts
at ^in++++=at
the ^ati++++=the
time.** ^nn+++??+=time.**
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
near ^in+pl+++=near
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
December ^nr+nom+++=December.
. ^zz++++=EXTRAWORD
Snow ^nn++++=Snow
had ^vbd+hvd+aux++=had
fallen ^vprf+++xvbn+=fallen
for ^in+ppvb+++=for
three ^cd++++=three
days ^nns++++=days,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
the ^ati++++=the
fourth ^od++++=fourth
morning ^nn++++=morning
we ^pp1a+pp1+++=we
went ^vbd+++xvbn+=went
out ^rp+pl+++=out
after ^cs+sub+++=after
a ^at++++=a
large ^jj+atrb+++=large
bear ^nn++++=bear
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
seen ^vpsv++agls+xvbnx+=seen
in ^in++++=in
the ^ati++++=the
forest ^nn++++=forest
beyond ^in++++=beyond
the ^ati++++=the
river ^nn++++=river.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
six ^cd++++=six
of ^in++++=of
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
besides ^rb+cnj+++=besides
two ^cd++++=two
village ^nn+nom+++=village
hunters ^nns+nom+++=hunters.
. ^zz++++=EXTRAWORD
