By ^in++++=By
seven ^cd++++=seven-thirty
- ^zz++++=EXTRAWORD
thirty ^cd++++=EXTRAWORD
the ^ati++++=the
cardboard ^nn++++=cardboard
jail ^nn++++=jail
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
to ^to++++=to
sag ^vbi++++=sag.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
unfortunate ^jj+pred+++=unfortunate
because ^cs+cos+++=because
the ^ati++++=the
cardboard ^nn++++=cardboard
jail ^nn++++=jail
was ^vbd+bedz+vrb++=was
the ^ati++++=the
visual ^jj+atrb+++=visual
centerpiece ^nn+++??+=centerpiece
of ^in++++=of
Unlocking ^np+++??+=Unlocking
Hope ^nn++++=Hope!,
! ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
Rotary ^jj+atrb+++=Rotary
Auxiliary ^np+nom+++=Auxiliary's
's ^$++++=EXTRAWORD
annual ^jj+atrb+++=annual
charity ^nn+nom+++=charity
gala ^np++++=gala
benefiting ^vwbg+++xvbg+=benefiting
Youth ^nn++++=Youth
Choices ^nns++++=Choices,
, ^zz++++=EXTRAWORD
pediatric ^jj+atrb+++=pediatric
mobility ^nn+nom+++=mobility
services ^nns++++=services,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
for ^in++++=for
reasons ^nns++++=reasons
never ^rb++++=never
clearly ^rb++++=clearly
explained ^vbd+vpub++xvbn+=explained,
, ^zz++++=EXTRAWORD
the ^ati++++=the
replacement ^nn+nom+++=replacement
of ^in++++=of
the ^ati++++=the
library ^npl+nom+++=library's
's ^$++++=EXTRAWORD
west ^np+pl+++=west
gutters ^nns+nom+++=gutters.
. ^zz++++=EXTRAWORD
The ^ati++++=The
jail ^nn++++=jail
had ^vb+hv+aux++=had
bars ^nns++++=bars
made ^vbd+++xvbn+=made
from ^in++++=from
paper ^nn++++=paper-towel
- ^zz++++=EXTRAWORD
towel ^nn++++=EXTRAWORD
tubes ^nns++++=tubes
painted ^vbd+++xvbn+=painted
silver ^nn++++=silver
and ^cc++++=and
a ^at++++=a
sign ^nn++++=sign
reading ^vwbg+++xvbg+=reading
Bad ^jj+atrb+++=BAD
Decisons ^np+++??+=DECISONS
Can ^md+pos+++=CAN
Imprison ^vb++++=IMPRISON
U ^zz++++=U.
. ^zz++++=EXTRAWORD
Local ^jj+atrb+++=Local
Celebrities ^nns+nom+++=Celebrities
would ^md+prd+++=would
parade ^vb++++=parade
past ^jjb++++=past
it ^pp3+it+++=it
in ^in++++=in
themed ^jj+atrb++xvbn+=themed
outfits ^nns++++=outfits,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
be ^vb+be+aux++=be
auctioned ^vpsv++agls+xvbnx+=auctioned
for ^in++++=for
" ^zz++++="service
service ^nn++++=EXTRAWORD
experiences ^nns+nom+++=experiences."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Dinner ^nn++++=Dinner
with ^in++++=with
a ^at++++=a
dentist ^nn+nom+++=dentist.
. ^zz++++=EXTRAWORD
Golf ^nn++++=Golf
with ^in++++=with
a ^at++++=a
realtor ^np++++=realtor.
. ^zz++++=EXTRAWORD
A ^at++++=A
ride ^nn++++=ride-along
- ^zz++++=EXTRAWORD
along ^in++++=EXTRAWORD
with ^in"++++=with
a ^at++++=a
pharmacist ^nn+nom+++=pharmacist
who ^whp+rel+subj++=who
owned ^vbd+++xvbn+=owned
a ^at++++=a
restored ^jj+atrb++xvbn+=restored
military ^jj+atrb+++=military
Jeep ^nn++++=Jeep.
. ^zz++++=EXTRAWORD
Al ^&fw++++=Al
Roosten ^np+++??+=Roosten,
, ^zz++++=EXTRAWORD
proprietor ^nn++++=proprietor
of ^in++++=of
Roosten ^np++++=Roosten's
's ^$++++=EXTRAWORD
Antiques ^np+++??+=Antiques
& ^zz++++=&
Distinctive ^jj++++=Distinctive
Finds ^vbz+vprv+++=Finds,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
offering ^vbg+++xvbgx+=offering
a ^at++++=a
Personal ^jj+atrb+++=Personal
Heritage ^nn+nom+++=Heritage
Consultation ^nn+nom+++=Consultation
and ^cc++++=and
Lunch ^nn++++=Lunch.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
outfit ^nn++++=outfit
was ^vbd+bedz+vrb++=was
Robin ^np++++=Robin
Hood ^nn++++=Hood.
