# ^zz++++=#
Passing ^vwbg+++xvbg+=Passing
the ^ati++++=the
Love ^nn++++=Love
of ^in++++=of
Woman ^nn++++=Woman
I ^pp1a+pp1+++=I
make ^vb++++=make
no ^at++++=no
apology ^nn++++=apology
for ^in++++=for
this ^dt+dem+++=this
story ^nn++++=story
being ^vwbg+beg++xvbg+=being
a ^at++++=a
trifle ^nn++++=trifle
blood ^nn++++=blood-and-thundery.
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
thundery ^nn+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
Blood ^nn++++=Blood
was ^vbd+bedz+vrb++=was
common ^jj+pred+++=common
enough ^qlp++++=enough
in ^in++++=in
Arizona ^np++++=Arizona
in ^in++++=in
those ^dt+dem+++=those
days ^nns++++=days,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thunder ^nn++++=thunder,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
less ^rbr++++=less
dependable ^jj++++=dependable,
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
up ^rp++++=up
for ^in++++=for
its ^pp$+it+++=its
infrequency ^nn+++??+=infrequency
by ^in++++=by
being ^xvbg+++xvbg+=being
generally ^rb+down+++=generally
accompanied ^vpsv++by+xvbn+=accompanied
by ^in++++=by
enough ^dt++++=enough
rain ^nn++++=rain
to ^to++++=to
drown ^vbi++++=drown
a ^at++++=a
government ^nn+nom+++=government
mule ^nn++++=mule.
. ^zz++++=EXTRAWORD
Besides ^rb++++=Besides,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
a ^at++++=a
man ^nn++++=man
objects ^nns++++=objects
to ^in++++=to
shootings ^nns+++??+=shootings,
, ^zz++++=EXTRAWORD
horseflesh ^nn+++??+=horseflesh,
, ^zz++++=EXTRAWORD
dry ^jj+atrb+++=dry
arroyas ^nns+++??+=arroyas
and ^cc++++=and
moral ^jj+atrb+++=moral
sentiments ^nns+nom+++=sentiments
scratched ^vwbn+++xvbn+=scratched
upon ^in++++=upon
clay ^nn++++=clay,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
may ^md+pos+++=may
stop ^vb++++=stop
here ^rn+pl+++=here
and ^cc++++=and
read ^vb+vprv++xvbn+=read
the ^ati++++=the
market ^nn++++=market
reports ^nns++++=reports.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
Tom ^np++++=Tom
Ransome ^np+++??+=Ransome.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
warrant ^nn+nom+++=warrant
for ^in++++=for
telling ^xvbg+++xvbg+=telling
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
an ^at++++=an
ordinary ^jj+atrb+++=ordinary
cow ^nn++++=cow-puncher
- ^zz++++=EXTRAWORD
puncher ^jjr++++=EXTRAWORD
which ^whp+who+++=which
means ^nn++++=means,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in"++++=to
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
have ^vb+hv+aux++=have
never ^rb++splt++=never
known ^vprf+++xvbnx+=known
one ^pn++++=one,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
could ^md+pos+++=could
sit ^vb++++=sit
a ^at++++=a
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
swear ^j+++xvbn+=swear
at ^rb++++=at
cattle ^nns++++=cattle
and ^cc++++=and
entertain ^vb++++=entertain
no ^at++++=no
feeling ^jj+++xvbg+=feeling
higher ^jjr++++=higher
than ^in++++=than
hunger ^nn++++=hunger.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
long ^rb++++=long
in ^in++++=in
the ^ati++++=the
leg ^nn++++=leg,
, ^zz++++=EXTRAWORD
narrow ^jj++++=narrow
in ^in++++=in
the ^ati++++=the
hip ^nn++++=hip,
, ^zz++++=EXTRAWORD
slow ^jj++++=slow
in ^in++++=in
speech ^nn++++=speech
and ^cc++++=and
had ^vb+hv+vrb++=had
a ^at++++=a
face ^nn++++=face
browned ^vwbn+++xvbn+=browned
by ^in++++=by
weather ^nn++++=weather
until ^cs+sub+++=until
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
looked ^vbd+++xvbn+=looked
surprisingly ^rb++++=surprisingly
pale ^jj++++=pale
in ^in++++=in
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
loved ^vprf+++xvbnx+=loved
a ^at++++=a
girl ^nn++++=girl
in ^in++++=in
Kansas ^np++++=Kansas.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
married ^vbd+++xvbnx+=married
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
owned ^vbd+++xvbn+=owned
a ^at++++=a
hardware ^nn++++=hardware
store ^nn++++=store,
, ^zz++++=EXTRAWORD
three ^cd++++=three
Sunday ^nr++++=Sunday
suits ^nns++++=suits
and ^cc++++=and,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+++=believe,
, ^zz++++=EXTRAWORD
a ^at++++=a
bath ^nn++++=bath
with ^in++++=with
nickel ^nn++++=nickel
taps ^vbz++++=taps.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
thereafter ^nn+nom+++=thereafter
affected ^jj+atrb++xvbn+=affected
contempt ^nn++++=contempt
for ^in++++=for
settled ^xvbn+++xvbn+=settled
occupations ^nns+nom+++=occupations,
, ^zz++++=EXTRAWORD
furniture ^nn++++=furniture
and ^cc++++=and
women ^nns++++=women
with ^in++++=with
light ^nn++++=light-colored
- ^zz++++=EXTRAWORD
colored ^jj+atrb++xvbn+=EXTRAWORD
hair ^nn++++=hair.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
one ^cd1++++=one
phrase ^nn++++=phrase
troubled ^vbd+++xvbn+=troubled
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
heard ^vprf++tht0+xvbnx+=heard
it ^pp3+it+++=it
from ^in++++=from
a ^at++++=a
preacher ^nn+nom+++=preacher
in ^in++++=in
Abilene ^np+++??+=Abilene,
, ^zz++++=EXTRAWORD
on ^in++++=on
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
unfortunate ^jj+atrb+++=unfortunate
Sundays ^nrs++++=Sundays
when ^wrb+who+++=when
rain ^nn++++=rain
closes ^vbz++++=closes
the ^ati++++=the
saloons ^nns+++??+=saloons
and ^cc++++=and
drives ^nns++++=drives
homeless ^jj+atrb+++=homeless
cowboys ^nns++++=cowboys
into ^in++++=into
church ^nn++++=church.
. ^zz++++=EXTRAWORD
" ^zz++++="Greater
greater ^jjr+atrb+++=EXTRAWORD
love ^nn++++=love
hath ^vbz+hvz+vrb++=hath
no ^at++++=no
man ^nn++++=man,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
preacher ^nn+nom+++=preacher
had ^vbd+hvd+aux++=had
said ^vprf+++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="than
