The ^ati++++=The
summer ^nn++++=summer
twilight ^nn++++=twilight
had ^vbd+hvd+aux++=had
settled ^vprf+++xvbnx+=settled
softly ^rb++++=softly
upon ^in++++=upon
the ^ati++++=the
old ^jj+atrb+++=old
farmhouse ^nn++++=farmhouse.
. ^zz++++=EXTRAWORD
Beyond ^in++++=Beyond
the ^ati++++=the
porch ^nn++++=porch,
, ^zz++++=EXTRAWORD
the ^ati++++=the
fields ^nns++++=fields
were ^vbd+bed+aux++=were
losing ^vbg+++xvbgx+=losing
their ^pp$+pp3+++=their
green ^nn++++=green
in ^in++++=in
the ^ati++++=the
dusk ^nn++++=dusk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
first ^rb++++=first
stars ^nns++++=stars
showed ^vbd+vprv++xvbn+=showed
above ^jjb++++=above
the ^ati++++=the
black ^jj+atrb+++=black
line ^nn++++=line
of ^in++++=of
the ^ati++++=the
pines ^nns++++=pines.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
sat ^vbd+++xvbn+=sat
in ^in++++=in
the ^ati++++=the
cooling ^jj+atrb++xvbg+=cooling
air ^nn++++=air
while ^cs+sub+++=while
Aunt ^nn++++=Aunt
Rachel ^np++++=Rachel
moved ^vbd+++xvbn+=moved
between ^in++++=between
the ^ati++++=the
kitchen ^nn++++=kitchen
and ^cc++++=and
the ^ati++++=the
steps ^nns++++=steps,
, ^zz++++=EXTRAWORD
laughing ^vbg+++xvbg+=laughing
whenever ^nn+nom+++=whenever
she ^pp3a+pp3+++=she
spoke ^vbd+++xvbnx+=spoke,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
often ^rb++++=often
when ^wrb+who+++=when
nobody ^pn++++=nobody
had ^vbd+hvd+aux++=had
spoken ^vprf+++xvbnx+=spoken
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
sixty ^cd++++=sixty
years ^nns++++=years
old ^jj++++=old,
, ^zz++++=EXTRAWORD
tall ^jj++++=tall,
, ^zz++++=EXTRAWORD
broad ^jj++++=broad-shouldered,
- ^zz++++=EXTRAWORD
shouldered ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
strong ^jj++++=strong
yet ^rb++++=yet.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
face ^nn++++=face
seemed ^vbd+seem++xvbn+=seemed
made ^vbd+++xvbn+=made
for ^in+ppvb+++=for
cheerfulness ^nns+nom+++=cheerfulness.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
scolded ^vbd+++xvbnx+=scolded
the ^ati++++=the
dog ^nn++++=dog
from ^in++++=from
the ^ati++++=the
doorway ^nn++++=doorway,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
did ^vbd+dod+vrb++=did
it ^pp3+it+++=it
with ^in++++=with
such ^abl++++=such
grandeur ^nn++++=grandeur
that ^tht+rel+obj++=that
the ^ati++++=the
dog ^nn++++=dog
wagged ^vbd+++xvbn+=wagged
his ^pp$+pp3+++=his
tail ^nn++++=tail,
, ^zz++++=EXTRAWORD
believing ^vbg+vprv+tht0+xvbg+=believing
himself ^ppl+pp3+++=himself
praised ^vbd+++xvbn+=praised.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
careless ^jj+atrb+++=careless
manner ^nn++++=manner
of ^in++++=of
one ^cd1++++=one
who ^whp+rel+subj++=who
has ^vbz+hvz+aux++=has
never ^rb++splt++=never
earned ^vprf+++xvbnx+=earned
the ^ati++++=the
right ^nn++++=right
to ^to+ncmp+++=to
ask ^vbi++++=ask
such ^abl++++=such
a ^at++++=a
question ^nn+nom+++=question,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="Aunt
aunt ^nn++++=EXTRAWORD
Rachel ^np++++=Rachel,
, ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it
that ^cs+sub+++=that
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
lived ^vprf+++xvbnx+=lived
sixty ^cd++++=sixty
years ^nns++++=years
and ^cc++++=and
never ^rb++++=never
had ^vb+hv+vrb++=had
any ^dti++++=any
trouble ^nn++++=trouble?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
laugh ^nn++++=laugh
stopped ^vbd+++xvbn+=stopped.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
stood ^vbd+++xvbnx+=stood
in ^in++++=in
the ^ati++++=the
doorway ^nn++++=doorway,
, ^zz++++=EXTRAWORD
black ^jj++++=black
against ^in++++=against
the ^ati++++=the
stars ^nns++++=stars,
, ^zz++++=EXTRAWORD
with ^in++++=with
one ^cd1++++=one
hand ^nn++++=hand
upon ^in++++=upon
the ^ati++++=the
frame ^nn++++=frame.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
came ^vbd+++xvbnx+=came
slowly ^rb++++=slowly
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
folded ^j+++xvbn+=folded
her ^pp3o+pp3+++=her
arms ^nns++++=arms,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
looked ^vbd+++xvbn+=looked
down ^rp++++=down
at ^rb++++=at
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
" ^zz++++="Misto
misto ^nn+++??+=EXTRAWORD
C ^zz++++=C
, ^zz++++=,"
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="is
is ^vbz+bez+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
in ^in++++=in
earnest ^nn++++=earnest?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
confessed ^vbd+vpub++xvbnx+=confessed
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
sah ^nn+++??+=sah,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
answered ^vbd+vpub++xvbnx+=answered,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
voice ^nn++++=voice
was ^vbd+bedz+vrb++=was
low ^jj+pred+++=low
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
" ^zz++++="I's
i ^pp1a+pp1+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
'd ^md+prd+vrb++=had
no ^at++++=no
trouble ^nn++++=trouble.
. ^zz++++=EXTRAWORD
No ^at++++=No
trouble ^nn++++=trouble
' ^zz++++='t
t ^zz++++=EXTRAWORD
all ^abn++++=all."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
sat ^vbd+++xvbnx+=sat
upon ^in++++=upon
the ^ati++++=the
step ^nn++++=step.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^rb++++=a
little ^rb"++++=little
while ^cs+sub+++=while
she ^pp3a+pp3+++=she
said ^vbd+vpub+tht0+xvbnx+=said
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
leaned ^vbd+++xvbnx+=leaned
forward ^rb+cnj+++=forward,
, ^zz++++=EXTRAWORD
clasped ^j+++xvbn+=clasped
her ^pp$+pp3+++=her
knees ^nns++++=knees,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
began ^vbd+++xvbn+=began.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+aux++=was
born ^vpsv++agls+xvbnx+=born
in ^in++++=in
ole ^np++++=ole
Virginia ^np++++=Virginia,
, ^zz++++=EXTRAWORD
sah ^nn+++??+=sah,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
born ^vpsv++agls+xvbnx+=born
a ^at++++=a
slave ^nn++++=slave.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
mammy ^nn+++??+=mammy
was ^vbd+bedz+vrb++=was
a ^at++++=a
mighty ^jj+atrb+++=mighty
proud ^jj+atrb+++=proud
