# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
The ^ati++++=The
Open ^jj+atrb+++=Open
Floor ^nn++++=Floor
Cobham ^np++++=Cobham
Stilling ^np+nom++??+=Stilling
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
by ^in++++=by
every ^at++++=every
computation ^nn+nom+++=computation
acceptable ^jj++++=acceptable
to ^in++++=to
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
the ^ati++++=the
largest ^jjt+atrb+++=largest
man ^nn++++=man
in ^in++++=in
Westmere ^np+++??+=Westmere.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
house ^npl++++=house
had ^vb+hv+vrb++=had
thirty ^cd++++=thirty-seven
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
rooms ^nns++++=rooms
( ^zz++++=(excluding
excluding ^vbg+++xvbg+=EXTRAWORD
offices ^nns++++=offices,
, ^zz++++=EXTRAWORD
passages ^nns+nom+++=passages,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
glazed ^jj+atrb++xvbn+=glazed
corridor ^nn++++=corridor
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called
the ^ati++++=the
orangery ^nn+nom+++=orangery
whenever ^nn+nom+++=whenever
strangers ^nns+nom+++=strangers
were ^vbd+bed+vrb++=were
present ^jj+pred+++=present);
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
stable ^jj++++=stable
held ^vbn+vprv++xvbn+=held
six ^cd++++=six
horses ^nns++++=horses,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though
only ^rb+down+++=only
two ^cd++++=two
could ^md+pos+++=could
safely ^rb++++=safely
be ^vb+be+aux++=be
ridden ^vpsv++agls+xvbnx+=ridden;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
garages ^nns+nom+++=garages
contained ^vbd+++xvbn+=contained
three ^cd++++=three
motor ^nn++++=motor-cars
- ^zz++++=EXTRAWORD
cars ^nns++++=EXTRAWORD
in ^in++++=in
successive ^jj+atrb+++=successive
stages ^nns++++=stages
of ^in++++=of
obsolescence ^nn+nom+++=obsolescence;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
lawns ^nns++++=lawns,
, ^zz++++=EXTRAWORD
terraces ^nns++++=terraces,
, ^zz++++=EXTRAWORD
forcing ^vbg+++xvbg+=forcing-houses,
- ^zz++++=EXTRAWORD
houses ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
tennis ^nn++++=tennis-courts,
- ^zz++++=EXTRAWORD
courts ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
kennels ^nns++++=kennels,
, ^zz++++=EXTRAWORD
peach ^nn++++=peach-walls,
- ^zz++++=EXTRAWORD
walls ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
poultry ^nn++++=poultry-runs
- ^zz++++=EXTRAWORD
runs ^vbz++++=EXTRAWORD
and ^cc++++=and
ornamental ^jj+atrb+++=ornamental
water ^nn++++=water
required ^vbd+++xvbn+=required,
, ^zz++++=EXTRAWORD
on ^in++++=on
a ^at++++=a
conservative ^jj+atrb+++=conservative
estimate ^nn+nom+++=estimate,
, ^zz++++=EXTRAWORD
the ^ati++++=the
divided ^jj+atrb++xvbn+=divided
energies ^nns++++=energies
of ^in++++=of
fourteen ^cd++++=fourteen
men ^nns++++=men
and ^cc++++=and
three ^cd++++=three
boys ^nns++++=boys.
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
these ^dt+dem+++=these
accessories ^nns++++=accessories
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
paid ^vpsv++agls+xvbnx+=paid
for ^in++++=for
chiefly ^rb++++=chiefly
out ^rp+pl+++=out
of ^in++++=of
his ^pp$+pp3+++=his
wife ^nn++++=wife's
's ^$++++=EXTRAWORD
fortune ^nn++++=fortune
did ^vbd+dod+aux++=did
not ^xnot++not++=not
affect ^vb++++=affect
his ^pp$+pp3+++=his
sense ^nn++++=sense
of ^in++++=of
proprietorship ^nn+nom+++=proprietorship.
. ^zz++++=EXTRAWORD
Isabel ^np++++=Isabel's
's ^$++++=EXTRAWORD
money ^nn++++=money,
, ^zz++++=EXTRAWORD
like ^in++++=like
Isabel ^np++++=Isabel's
's ^$++++=EXTRAWORD
beauty ^nn++++=beauty,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
composure ^nn++++=composure,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
old ^jj+atrb+++=old
French ^jj+atrb+++=French
furniture ^nn++++=furniture
inherited ^vbd+++xvbn+=inherited
from ^in++++=from
her ^pp3o+pp3+++=her
aunt ^npt++++=aunt,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
by ^in++++=by
marriage ^nn+nom+++=marriage
evidence ^nn+nom+++=evidence
of ^in++++=of
his ^pp$+pp3+++=his
discrimination ^nn+nom+++=discrimination.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
dear ^jj++++=dear
fellow ^jjb++++=fellow,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
explained ^vbd+vpub++xvbnx+=explained
to ^in++++=to
Austin ^np++++=Austin
Wrayford ^np+++??+=Wrayford
one ^cd1++++=one
evening ^nn++++=evening
after ^in++++=after
dinner ^nn++++=dinner,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
believe ^vb+vprv+++=believe
in ^in++++=in
doing ^xvbg+++xvbg+=doing
things ^nns++++=things
by ^in++++=by
halves ^nns++++=halves.
. ^zz++++=EXTRAWORD
Never ^rb++++=Never
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
a ^at++++=a
man ^nn++++=man's
's ^$++++=EXTRAWORD
got ^vbd+++xvbn+=got
a ^at++++=a
place ^nn++++=place,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
it ^pp3+it+++=it
be ^vb+be+vrb++=be
a ^at++++=a
place ^nn++++=place.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
he ^pp3a+pp3+++=he
keeps ^vbz++++=keeps
a ^at++++=a
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
it ^pp3+it+++=it
be ^vb+be+vrb++=be
a ^at++++=a
horse ^nn++++=horse.
. ^zz++++=EXTRAWORD
Gad ^np+++??+=Gad,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
crawling ^nn++++=crawling
through ^in++++=through
life ^nn++++=life
apologizing ^vwbg+++xvbg+=apologizing
for ^in++++=for
your ^pp$+pp2+++=your
existence ^nn+nom+++=existence?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=were
standing ^vbg+++xvbgx+=standing
at ^rb++++=at
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
long ^jj+atrb+++=long
windows ^nns++++=windows
of ^in++++=of
the ^ati++++=the
drawing ^jj+++xvbg+=drawing-room,
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
across ^in+pl+++=across
the ^ati++++=the
twilight ^nn++++=twilight
gardens ^nns++++=gardens
toward ^in++++=toward
the ^ati++++=the
river ^nn++++=river.
. ^zz++++=EXTRAWORD
The ^ati++++=The
room ^nn++++=room
behind ^in+pl+++=behind
them ^pp3o+pp3+++=them
was ^vbd+bedz+vrb++=was
full ^jj+pred+++=full
of ^in++++=of
flowers ^nns+nom+++=flowers,
, ^zz++++=EXTRAWORD
lamps ^nns++++=lamps,
, ^zz++++=EXTRAWORD
cigarette ^nn+nom+++=cigarette
smoke ^nn++++=smoke,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
subdued ^jj+atrb+++=subdued
expectancy ^nn++++=expectancy
which ^whp+rel+subj++=which
descended ^vbd+++xvbn+=descended
upon ^in++++=upon
Cobham ^np++++=Cobham's
's ^$++++=EXTRAWORD
guests ^nns++++=guests
whenever ^nn+nom+++=whenever
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
to ^to++++=to
expound ^vbi++++=expound
his ^pp$+pp3+++=his
philosophy ^nn++++=philosophy.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
expounding ^vbg+++xvbgx+=expounding
it ^pp3+it+++=it
for ^in++++=for
some ^dti++++=some
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Beyond ^in++++=Beyond
the ^ati++++=the
lower ^jjr+atrb+++=lower
lawn ^nn++++=lawn,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
last ^rb++++=last
borders ^nns+nom+++=borders
melted ^vbd+++xvbn+=melted
into ^in++++=into
dusk ^nn++++=dusk,
, ^zz++++=EXTRAWORD
a ^at++++=a
new ^jj+atrb+++=new
motor ^nn++++=motor-launch
- ^zz++++=EXTRAWORD
launch ^vb++++=EXTRAWORD
lay ^jjb+++xvbn+=lay
moored ^jj+++xvbn+=moored
at ^rb++++=at
the ^ati++++=the
landing ^nvbg+++xvbg+=landing.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
white ^jj+atrb+++=white
hull ^np++++=hull
retained ^vbd+++xvbn+=retained,
, ^zz++++=EXTRAWORD
even ^rb++++=even
at ^rb++++=at
that ^dt+dem+++=that
distance ^nn+nom+++=distance,
, ^zz++++=EXTRAWORD
an ^at++++=an
air ^nn++++=air
of ^in++++=of
aggressive ^jj+atrb+++=aggressive
expense ^nn++++=expense.
. ^zz++++=EXTRAWORD
Cobham ^np++++=Cobham
had ^vbd+hvd+aux++=had
brought ^vprf+++xvbnx+=brought
it ^pp3+it+++=it
up ^rp++++=up
from ^in++++=from
town ^nn++++=town
that ^tht+rel+++=that
afternoon ^nn++++=afternoon
and ^cc++++=and
had ^vbd+hvd+aux++=had
spent ^vprf+++xvbnx+=spent
the ^ati++++=the
first ^od++++=first
part ^nn++++=part
of ^in++++=of
dinner ^nn++++=dinner
describing ^vwbg+++xvbg+=describing
its ^pp$+it+++=its
speed ^nn++++=speed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
second ^od++++=second
its ^pp$+it+++=its
fittings ^nns++++=fittings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
third ^nn++++=third
the ^ati++++=the
stupidity ^nn+nom+++=stupidity
of ^in++++=of
the ^ati++++=the
man ^nn++++=man
from ^in++++=from
whom ^whp+rel+pied++=whom
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
bought ^vprf+++xvbnx+=bought
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="Fellow
fellow ^jjb++++=EXTRAWORD
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
continued ^vbd+++xvbnx+=continued.
. ^zz++++=EXTRAWORD
" ^zz++++="No
no ^at++++=EXTRAWORD
eye ^nn++++=eye.
. ^zz++++=EXTRAWORD
No ^at++++=No
sporting ^nn++++=sporting
instinct ^nn++++=instinct.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
moneyed ^jj+atrb++xvbn+=moneyed
men ^nns++++=men
are ^vb+ber+vrb++=are
all ^abn++++=all
alike ^rb++++=alike
pile ^nn++++=pile
up ^rp++++=up
fortunes ^nns++++=fortunes
and ^cc++++=and
have ^vb+hv+vrb++=haven't
n't ^xnot++not++0=EXTRAWORD
the ^ati++++=the
faintest ^jjt+atrb+++=faintest
notion ^nn++++=notion
how ^wrb+who+++=how
to ^to++++=to
spend ^vbi++++=spend
' ^zz++++='em.
em ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
I ^pp1a+pp1+++=I
may ^md+pos+++=may
have ^vb+hv+vrb++=have
my ^pp$+pp1+++=my
faults ^nns++++=faults
" ^zz++++="
His ^pp$+pp3+++=His
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
bending ^nvbg+++xvbg+=bending
over ^in++++=over
an ^at++++=an
embroidery ^nn+nom+++=embroidery-frame
- ^zz++++=EXTRAWORD
frame ^nn++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
far ^rb+pl+++=far
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
lift ^nn++++=lift
her ^pp3o+pp3+++=her
head ^jjb++++=head.
. ^zz++++=EXTRAWORD
" ^zz++++="
but ^cc++++=but
no ^at++++=no
one ^cd1++++=one
can ^md+pos+++=can
say ^vb+vpub+tht0++=say
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=haven't
n't ^xnot++not++0=EXTRAWORD
taste ^nn++++=taste.
. ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
courage ^nn+nom+++=courage.
. ^zz++++=EXTRAWORD
Taste ^nn++++=Taste
without ^in++++=without
courage ^nn+nom+++=courage
is ^vbz+bez+vrb++=is
no ^at++++=no
earthly ^jj+atrb+++=earthly
use ^nn++++=use.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
see ^vb+vprv+++=see
a ^at++++=a
thing ^nn++++=thing's
's ^$++++=EXTRAWORD
right ^nn++++=right,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
go ^vb++++=go
in ^in++++=in
and ^cc++++=and
get ^vb++++=get
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
my ^pp$+pp1+++=my
principle ^nn++++=principle."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Wrayford ^np+++??+=Wrayford
watched ^vbd+++xvbn+=watched
the ^ati++++=the
river ^npl++++=river
darken ^vbd+++xvbn+=darken
between ^in++++=between
the ^ati++++=the
clipped ^jj+atrb++xvbn+=clipped
yews ^nns+++??+=yews.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
heard ^vprf+++xvbnx+=heard
Cobham ^np++++=Cobham's
's ^$++++=EXTRAWORD
principles ^nns++++=principles
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
usually ^rb+down+++=usually
in ^in++++=in
connection ^nn+nom+++=connection
with ^in++++=with
an ^at++++=an
unpaid ^jj+atrb+++=unpaid
account ^nn++++=account.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Swordsley ^np++++=Swordsley,
, ^zz++++=EXTRAWORD
the ^ati++++=the
rector ^nn++++=rector's
's ^$++++=EXTRAWORD
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
moved ^vprf+++xvbnx+=moved
nearer ^rbr++++=nearer
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
possessed ^vbd+++xvbnx+=possessed
the ^ati++++=the
long ^jj+atrb+++=long,
, ^zz++++=EXTRAWORD
solicitous ^jj+atrb+++=solicitous
features ^nns++++=features
of ^in++++=of
her ^pp$+pp3+++=her
husband ^nn++++=husband,
, ^zz++++=EXTRAWORD
softened ^xvbn+++xvbn+=softened
by ^in++++=by
the ^ati++++=the
expression ^nn++++=expression
of ^in++++=of
one ^cd1++++=one
who ^whp+rel+subj++=who
knew ^vbd+vprv++xvbn+=knew
that ^tht+vcmp+++=that
Providence ^np+nom++??+=Providence,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
well ^rb++++=well-intentioned,
- ^zz++++=EXTRAWORD
intentioned ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
perpetually ^rb++splt++=perpetually
mislaying ^vbg+++xvbgx+=mislaying
parish ^nn++++=parish
subscriptions ^nns+nom+++=subscriptions.
. ^zz++++=EXTRAWORD
" ^zz++++="Will
will ^md+prd+++=EXTRAWORD
you ^pp2+pp2+++=you
take ^vb++++=take
people ^nns++++=people
out ^rp+pl+++=out
in ^in++++=in
it ^pp3+it+++=it
tomorrow ^nr+tm+++=tomorrow?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
asked ^vbd+vsua++xvbnx+=asked,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
the ^ati++++=the
launch ^nn++++=launch
with ^in++++=with
a ^at++++=a
reverential ^jj+atrb+++=reverential
motion ^nn++++=motion.
. ^zz++++=EXTRAWORD
" ^zz++++="Take
take ^vb++++=EXTRAWORD
you ^pp2+pp2+++=you
all ^rb++++=all
out ^rp+pl+++=out?
? ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course!
! ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
