# ^zz++++=#
Silverhorns ^np+++??+=Silverhorns
The ^ati++++=The
railway ^nn++++=railway
has ^vbz+hvz+aux++=has
never ^rb++splt++=never
yet ^rb++++=yet
been ^vprf+ben+aux+xvbn+=been
accused ^vpsv++agls+xvbnx+=accused,
, ^zz++++=EXTRAWORD
by ^in++++=by
any ^dti++++=any
candid ^jj+atrb+++=candid
man ^nn++++=man,
, ^zz++++=EXTRAWORD
of ^in++++=of
permitting ^xvbg+++xvbg+=permitting
punctuality ^nn+nom+++=punctuality
to ^to++++=to
interfere ^vbi++++=interfere
with ^in++++=with
its ^pp$+it+++=its
arrangements ^nns+nom+++=arrangements;
; ^zz++++=EXTRAWORD
nevertheless ^rb+cnj+++=nevertheless,
, ^zz++++=EXTRAWORD
Dudley ^np++++=Dudley
Hemenway ^np+++??+=Hemenway
considered ^vwbn+vprv++xvbn+=considered
a ^at++++=a
delay ^nn++++=delay
of ^in++++=of
three ^cd++++=three
hours ^nns++++=hours
unreasonable ^jj++++=unreasonable
even ^rb++++=even
for ^in++++=for
the ^ati++++=the
North ^np+pl+++=North
Country ^nn++++=Country.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
half ^abn++++=half
past ^jjb++++=past
eleven ^cd++++=eleven
on ^in++++=on
a ^at++++=a
wet ^jj+atrb+++=wet
October ^nr++++=October
night ^nn++++=night.
. ^zz++++=EXTRAWORD
A ^at++++=A
chilly ^jj+atrb+++=chilly
haze ^nn++++=haze
lay ^vbd+++xvbn+=lay
over ^in++++=over
the ^ati++++=the
little ^ap++++=little
station ^nn+nom+++=station
at ^rb++++=at
Lac ^np+++??+=Lac
des ^&fw++++=des
Pins ^nns++++=Pins,
, ^zz++++=EXTRAWORD
turning ^nvbg+++xvbg+=turning
the ^ati++++=the
lamps ^nns++++=lamps
to ^in++++=to
smoky ^jj+atrb+++=smoky
orange ^np++++=orange
blurs ^nns+++??+=blurs
and ^cc++++=and
