# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
The ^ati++++=The
Adventure ^nn++++=Adventure
of ^in++++=of
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Wedderburn ^np++++=Wedderburn
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
a ^at++++=a
singular ^nn++++=singular
promise ^nn++++=promise
in ^in++++=in
the ^ati++++=the
dry ^jj+atrb+++=dry
and ^cc+phrs+++=and
unconsidered ^jj+atrb++xvbn+=unconsidered
body ^nn++++=body
of ^in++++=of
an ^at++++=an
orchid ^nn++++=orchid.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
tulip ^nn++++=tulip
declares ^vbz+vpub+++=declares
itself ^ppl++++=itself
in ^in++++=in
the ^ati++++=the
bulb ^nn++++=bulb,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
rose ^nn+++xvbn+=rose
in ^in++++=in
the ^ati++++=the
cutting ^nvbg+++xvbg+=cutting;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
this ^dt+dem+++=this
brown ^jj+atrb+++=brown
fragment ^nn+nom+++=fragment,
, ^zz++++=EXTRAWORD
warped ^j+++xvbn+=warped
like ^in++++=like
a ^at++++=a
diseased ^jj+atrb+++=diseased
knuckle ^nn+++??+=knuckle
and ^cc++++=and
wrapped ^vwbn+++xvbn+=wrapped
perhaps ^rb++++=perhaps
in ^in++++=in
a ^rb++++=a
little ^rb"++++=little
foreign ^jj+atrb+++=foreign
moss ^np++++=moss,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
produce ^vb++++=produce
anything ^pn++++=anything
from ^in++++=from
a ^at++++=a
flower ^nn++++=flower
of ^in++++=of
no ^at++++=no
merit ^vb++++=merit
whatever ^nn+nom+++=whatever
to ^in++++=to
a ^at++++=a
marvel ^vb++++=marvel
capable ^jj++++=capable
of ^in++++=of
disturbing ^xvbg+++xvbg+=disturbing
the ^ati++++=the
taxonomy ^nn+++??+=taxonomy
of ^in++++=of
Europe ^np++++=Europe.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
may ^md+pos+++=may
ruin ^vb++++=ruin
its ^pp$+it+++=its
purchaser ^nn+nom+++=purchaser,
, ^zz++++=EXTRAWORD
poison ^nn++++=poison
his ^pp$+pp3+++=his
gardener ^nn+nom+++=gardener,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
by ^in++++=by
the ^ati++++=the
fortunate ^jj+atrb+++=fortunate
conjunction ^nn+nom+++=conjunction
of ^in++++=of
novelty ^nn++++=novelty
and ^cc++++=and
a ^at++++=a
sufficiently ^rb++++=sufficiently
pronounceable ^jj+atrb+++=pronounceable
name ^nn++++=name
confer ^vb++++=confer
upon ^in++++=upon
him ^pp3o+pp3+++=him
a ^at++++=a
modest ^jj+atrb+++=modest
immortality ^nn+nom+++=immortality.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Winter ^np++++=Winter
Wedderburn ^np+++??+=Wedderburn
understood ^vwbn+vprv++xvbn+=understood
this ^dt+dem+++=this
promise ^nn++++=promise
better ^jjr++++=better
than ^in++++=than
most ^ql+emph+++=most
men ^nns++++=men.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
shy ^jj++++=shy,
, ^zz++++=EXTRAWORD
lonely ^jj++++=lonely,
, ^zz++++=EXTRAWORD
rather ^rb++++=rather
ineffectual ^jj+atrb+++=ineffectual
gentleman ^nn+nom+++=gentleman
of ^in++++=of
forty ^cd++++=forty-six,
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
possessed ^j+++xvbn+=possessed
of ^in++++=of
a ^at++++=a
small ^jj+atrb+++=small
private ^jj+atrb+++=private
income ^nn++++=income,
, ^zz++++=EXTRAWORD
a ^at++++=a
red ^jj++++=red-brick
- ^zz++++=EXTRAWORD
brick ^nn++++=EXTRAWORD
house ^npl++++=house
near ^in+pl+++=near
Haslemere ^np+++??+=Haslemere,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^cs+sub+++=that
constitutional ^jj+atrb+++=constitutional
good ^jj+atrb+++=good
health ^nn++++=health
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
absence ^nn+nom+++=absence
of ^in++++=of
enterprise ^nn++++=enterprise,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
itself ^ppl++++=itself
become ^vb++++=become
a ^at++++=a
grievance ^nn+nom+++=grievance.
. ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
happened ^vprf+++xvbnx+=happened
to ^to+vcmp+++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
never ^rb++splt++=never
been ^vprf+ben+aux+xvbnx+=been
wrecked ^vpsv++agls+xvbnx+=wrecked,
, ^zz++++=EXTRAWORD
robbed ^j+++xvbn+=robbed,
, ^zz++++=EXTRAWORD
shot ^j+++xvbn+=shot
at ^rb+cnj+++=at,
, ^zz++++=EXTRAWORD
married ^j+++xvbn+=married,
, ^zz++++=EXTRAWORD
divorced ^j+++xvbn+=divorced,
, ^zz++++=EXTRAWORD
prosecuted ^xvbn+++xvbn+=prosecuted,
, ^zz++++=EXTRAWORD
lost ^j+++xvbn+=lost
in ^in++++=in
a ^at++++=a
fog ^nn++++=fog,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
bitten ^vpsv++by+xvbn+=bitten
by ^in++++=by
anything ^pn++++=anything
more ^rbr++++=more
considerable ^jj++++=considerable
than ^in++++=than
a ^at++++=a
gnat ^nn+++??+=gnat.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
his ^pp$+pp3+++=his
illnesses ^nns+nom+++=illnesses
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
decorous ^jj++++=decorous
and ^cc++++=and
without ^in++++=without
sequel ^nn++++=sequel.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
existence ^nn+nom+++=existence
moved ^vbd+++xvbn+=moved
between ^in++++=between
breakfast ^nn++++=breakfast,
, ^zz++++=EXTRAWORD
the ^ati++++=the
London ^np++++=London
train ^nn++++=train,
, ^zz++++=EXTRAWORD
certain ^jj+atrb+++=certain
botanical ^jj+atrb+++=botanical
acquaintances ^nns+nom+++=acquaintances,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
orchids ^nns+++??+=orchids,
, ^zz++++=EXTRAWORD
tea ^nn++++=tea,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
cousin ^nn++++=cousin
and ^cc++++=and
housekeeper ^nn+nom+++=housekeeper,
, ^zz++++=EXTRAWORD
Miss ^npt++++=Miss
Emily ^np++++=Emily
Wedderburn ^np+++??+=Wedderburn,
, ^zz++++=EXTRAWORD
considered ^vpbn+vprv++xvbn+=considered
this ^dt+dem+++=this
tranquillity ^nn+nom+++=tranquillity
a ^at++++=a
blessing ^nn++++=blessing
for ^in++++=for
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
showed ^vbd+vprv++xvbnx+=showed
an ^at++++=an
almost ^rb+hdg+++=almost
impious ^jj+atrb+++=impious
want ^nn++++=want
of ^in++++=of
gratitude ^nn++++=gratitude.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
talk ^vb++++=talk
as ^cs+sub+++=as
though ^cs+sub+++=though
misfortune ^nn++++=misfortune
were ^vbd+bed+vrb++=were
a ^at++++=a
distinction ^nn+nom+++=distinction,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
one ^cd1++++=one
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
at ^in++++=at
breakfast ^nn++++=breakfast.
. ^zz++++=EXTRAWORD
Wedderburn ^np+++??+=Wedderburn
had ^vbd+hvd+aux++=had
neglected ^vprf+++xvbnx+=neglected
his ^pp$+pp3+++=his
toast ^nn++++=toast
and ^cc++++=and
was ^vbd+bedz+aux++=was
reading ^vbg+++xvbgx+=reading
a ^at++++=a
catalogue ^nn++++=catalogue
from ^in++++=from
Stevens ^np++++=Stevens's
's ^$++++=EXTRAWORD
auction ^nn+nom+++=auction
rooms ^nns++++=rooms,
, ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=making
small ^jj+atrb+++=small
marks ^nns++++=marks
beside ^in+pl+++=beside
the ^ati++++=the
more ^rbr++++=more
obscure ^jj+atrb+++=obscure
lots ^nns++++=lots.
. ^zz++++=EXTRAWORD
Miss ^npt++++=Miss
Wedderburn ^np++++=Wedderburn,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
already ^rb++splt++=already
finished ^vprf+++xvbnx+=finished
her ^pp3o+pp3+++=her
coffee ^nn++++=coffee
and ^cc++++=and
was ^vbd+bedz+aux++=was
calculating ^vbg+++xvbgx+=calculating
the ^ati++++=the
sugar ^nn++++=sugar
required ^vbd+++xvbn+=required
for ^in++++=for
six ^cd++++=six
pounds ^nns++++=pounds
of ^in++++=of
damsons ^nns+++??+=damsons,
, ^zz++++=EXTRAWORD
watched ^j+++xvbn+=watched
him ^pp3o+pp3+++=him
over ^in++++=over
the ^ati++++=the
silver ^nn++++=silver
pot ^vb++++=pot.
. ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
misfortune ^nn++++=misfortune
precisely ^rb+cnj+++=precisely,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Experience."
experience ^nn+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Experience
experience ^nn+nom+++=EXTRAWORD
is ^vbz+bez+vrb++=is
generally ^rb+down+++=generally
another ^dt++++=another
name ^nn++++=name
for ^in++++=for
something ^pn++++=something
one ^cd1++++=one
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
have ^vbi+vbi+aux++=have
avoided ^vbd+++xvbn+=avoided."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Take
take ^vb++++=EXTRAWORD
Batten ^np+++??+=Batten,
, ^zz++++=EXTRAWORD
for ^in++++=for
instance ^nn+nom+++=instance."
