Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we're
're ^vb+ber+vrb++0=EXTRAWORD
' ^zz++++='Piscopals
piscopals ^nns+nom+++=EXTRAWORD
now ^rn+tm+++=now
all ^abn++++=all
exceptin ^nn+++??+=exceptin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
brindle ^nn+++??+=brindle
cow ^nn++++=cow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
I ^pp1a+pp1+++=I
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
prepared ^jj++agls+xvbn+=prepared
to ^to+jcmp+++=to
say ^vbi+vpub+++=say
what ^wdt+who+whcl++=what
she ^pp3a+pp3+++=she
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
she ^pp3a+pp3+++=she
has ^vbz+hvz+aux++=has
had ^vb+hv+vrb++=had
advantages ^nns+nom+++=advantages
enough ^qlp++++=enough
to ^to++++=to
make ^vbi++++=make
her ^pp$+pp3+++=her
anything ^pn++++=anything
she ^pp3a+pp3+++=she's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
mind ^nn++++=mind
to ^to++++=to
be ^vbi++vrb++=be.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
me ^pp1o+pp1+++=me
and ^cc++++0=an'
Marthy ^np+++??+=Marthy
both ^abx++++=both.
. ^zz++++=EXTRAWORD
Joined ^j+++xvbn+=Joined
the ^ati++++=the
church ^nn++++=church
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
the ^ati++++=the
same ^ap++++=same
day ^nn++++=day,
, ^zz++++=EXTRAWORD
under ^in++++=under
circumstances ^nns+nom+++=circumstances
thet ^nn+++??+=thet
I ^pp1a+pp1+++=I
reckon ^vb+vprv+++=reckon
the ^ati++++=the
bishop ^nn++++=bishop
himself ^ppl+pp3+++=himself
would ^md+prd+++=would
allow ^vb++++=allow
was ^vbd+bedz+vrb++=was
uncommon ^jj+pred+++=uncommon,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
lawful ^jj++++=lawful
in ^rb++++=in
the ^rb"++++=the
main ^rb"++++=main.
. ^zz++++=EXTRAWORD
Sonny ^nn++++=Sonny
joined ^vbd+++xvbn+=joined
too ^ql++++=too,
, ^zz++++=EXTRAWORD
of ^in++++=of
co ^nn++++=co'se.
'se. ^nn+++??+=EXTRAWORD
Fact ^nn++++=Fact
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
