Romance ^nn+nom+++=Romance
is ^vbz+bez+vrb++=is
an ^at++++=an
excellent ^jj+atrb+++=excellent
occupation ^nn+nom+++=occupation
for ^in++++=for
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
have ^vb+hv+vrb++=have
no ^at++++=no
need ^nn++++=need
of ^in++++=of
an ^at++++=an
income ^nn++++=income;
; ^zz++++=EXTRAWORD
for ^in++++=for
everybody ^pn++++=everybody
else ^rb+cnj+++=else
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
an ^at++++=an
expensive ^jj+atrb+++=expensive
recreation ^nn+nom+++=recreation.
. ^zz++++=EXTRAWORD
A ^at++++=A
young ^jj+atrb+++=young
man ^nn++++=man
who ^whp+rel+subj++=who
wishes ^vbz++++=wishes
to ^to+vcmp+++=to
marry ^vbi++++=marry
should ^md+nec+++=should
possess ^nns+nom+++=possess
either ^dtx++++=either
a ^at++++=a
fortune ^nn++++=fortune
or ^cc++++=or
the ^ati++++=the
obstinacy ^nn+nom+++=obstinacy
to ^to++++=to
acquire ^vbi++++=acquire
one ^pn++++=one.
. ^zz++++=EXTRAWORD
Hughie ^np+++??+=Hughie
Erskine ^np+++??+=Erskine
possessed ^vbd+++xvbn+=possessed
neither ^dt++neg++=neither.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
only ^rb+down+++=only
a ^at++++=a
beautiful ^jj+atrb+++=beautiful
face ^nn++++=face,
, ^zz++++=EXTRAWORD
an ^at++++=an
admirable ^jj+atrb+++=admirable
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
six ^cd++++=six
hundred ^cd++++=hundred
pounds ^nns++++=pounds
a ^at++++=a
year ^nn++++=year
allowed ^vwbn+++xvbn+=allowed
him ^pp3o+pp3+++=him
by ^in++++=by
an ^at++++=an
aunt ^nn++++=aunt
who ^whp+rel+subj++=who
disapproved ^vbd+++xvbn+=disapproved
of ^in++++=of
idleness ^nns+nom+++=idleness
but ^cc++++=but
disliked ^vbd+++xvbn+=disliked
employment ^nn+nom+++=employment
even ^rb++++=even
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
To ^to++++=To
look ^vbi++++=look
at ^in++++=at
Hughie ^np+++??+=Hughie
was ^vbd+bedz+aux++=was
to ^to++++=to
forgive ^vbi++++=forgive
him ^pp3o+pp3+++=him
everything ^pn++++=everything,
, ^zz++++=EXTRAWORD
including ^in++++=including
his ^pp$+pp3+++=his
prospects ^nns++++=prospects.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
hair ^nn++++=hair
had ^vb+hv+vrb++=had
the ^ati++++=the
agreeable ^jj+atrb+++=agreeable
disorder ^nn+nom+++=disorder
which ^whp+rel+subj++=which
costs ^vbz++++=costs
a ^at++++=a
careful ^jj+atrb+++=careful
man ^nn++++=man
ten ^cd++++=ten
minutes ^nns++++=minutes
before ^in++++=before
breakfast ^nn++++=breakfast,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
were ^vbd+bed+vrb++=were
grey ^np++++=grey,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
smile ^nn++++=smile
had ^vbd+hvd+aux++=had
opened ^vprf+++xvbnx+=opened
more ^ql++++=more
doors ^nns++++=doors
than ^in++++=than
his ^pp$+pp3+++=his
talents ^nns++++=talents
could ^md+pos+++=could
keep ^vb++++=keep
open ^jj++++=open.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
played ^vbd+++xvbnx+=played
the ^ati++++=the
piano ^nn++++=piano
sufficiently ^rb++++=sufficiently
well ^rb++++=well
to ^to++++=to
be ^vbi+vbi+aux++=be
asked ^vpsv++agls+xvbnx+=asked
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sufficiently ^rb++++=sufficiently
badly ^rb++++=badly
never ^rb++++=never
to ^to++++=to
be ^vbi+vbi+aux++=be
asked ^vpsv++agls+xvbnx+=asked
twice ^rb++++=twice.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
danced ^vbd+++xvbnx+=danced,
, ^zz++++=EXTRAWORD
rode ^j+++xvbn+=rode,
, ^zz++++=EXTRAWORD
dressed ^j+++xvbn+=dressed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
talked ^vpsv++agls+xvbn+=talked
with ^in++++=with
distinction ^nn+nom+++=distinction.
. ^zz++++=EXTRAWORD
In ^rb++++=In
short ^rb"++++=short,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
every ^at++++=every
accomplishment ^nn+nom+++=accomplishment
except ^cs+sub+++=except
that ^cs"++++=that
of ^in++++=of
making ^xvbg+++xvbg+=making
money ^nn++++=money.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
tried ^vprf+++xvbnx+=tried
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course.
. ^zz++++=EXTRAWORD
For ^in++++=For
six ^cd++++=six
months ^nns++++=months
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
on ^in++++=on
the ^ati++++=the
Stock ^nn++++=Stock
Exchange ^nn++++=Exchange,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
discovered ^vbd+vprv++xvbnx+=discovered
that ^tht+vcmp+++=that
bulls ^nns++++=bulls
were ^vbd+bed+vrb++=were
brutal ^jj+pred+++=brutal,
, ^zz++++=EXTRAWORD
bears ^nns++++=bears
were ^vbd+bed+vrb++=were
hungry ^jj+pred+++=hungry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
both ^abx++++=both
demanded ^jj+atrb++xvbn+=demanded
capital ^nn++++=capital.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
next ^ap++++=next
entered ^jj+++xvbn+=entered
the ^ati++++=the
tea ^nn++++=tea
trade ^nn++++=trade,
