By ^in++++=By
the ^ati++++=the
time ^nn++++=time
Hanrahan ^np+nom++??+=Hanrahan
came ^vbd+++xvbn+=came
again ^rb+tm+++=again
into ^in++++=into
the ^ati++++=the
villages ^nns+nom+++=villages
lying ^vwbg+++xvbg+=lying
under ^in++++=under
Slieve ^np+++??+=Slieve
Echtge ^np+++??+=Echtge,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
more ^rbr++++=more
white ^jj+pred+++=white
than ^in++++=than
brown ^nn++++=brown
in ^in++++=in
his ^pp$+pp3+++=his
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
red ^jj+atrb+++=red
cloak ^nn++++=cloak
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
worn ^vprf+++xvbnx+=worn
in ^in++++=in
his ^pp$+pp3+++=his
proud ^jj+atrb+++=proud
days ^nns++++=days
was ^vbd+bedz+aux++=was
faded ^vpsv++agls+xvbnx+=faded
to ^in++++=to
the ^ati++++=the
colour ^nn++++=colour
of ^in++++=of
withered ^nn++++=withered
fern ^vbd+++xvbn+=fern.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
through ^in++++=through
many ^ap++++=many
counties ^nns++++=counties
since ^cs+sub+++=since
the ^ati++++=the
spring ^nn++++=spring
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
last ^rb++++=last
saw ^vbd+vprv++xvbn+=saw
the ^ati++++=the
mountain ^nn++++=mountain,
, ^zz++++=EXTRAWORD
singing ^vbg+++xvbg+=singing
at ^rb++++=at
weddings ^nns++++=weddings,
, ^zz++++=EXTRAWORD
disputing ^vbg+++xvbg+=disputing
with ^in++++=with
priests ^nns++++=priests,
, ^zz++++=EXTRAWORD
sleeping ^nvbg+++xvbg+=sleeping
in ^in++++=in
barns ^nns+++??+=barns
and ^cc++++=and
under ^in++++=under
hedges ^nns++++=hedges,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
giving ^vbg+++xvbg+=giving
away ^rb+phrv+++=away
what ^wdt+who+++=what
little ^ap++++=little
silver ^nn++++=silver
came ^vbd+++xvbn+=came
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
poet ^nn++++=poet's
's ^$++++=EXTRAWORD
hand ^nn++++=hand
is ^vbz+bez+vrb++=is
quick ^jj+pred+++=quick
to ^to+jcmp+++=to
open ^vbi++++=open
and ^cc++++=and
slow ^jj++++=slow
to ^to+jcmp+++=to
close ^vbi++++=close.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
now ^rn+tm+++=now
his ^pp$+pp3+++=his
songs ^nns++++=songs
were ^vbd+bed+vrb++=were
fewer ^ap++++=fewer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
people ^nns++++=people
asked ^vbd+vsua++xvbn+=asked
for ^in+ppvb+++=for
the ^ati++++=the
verses ^nns++++=verses
that ^tht+rel+subj++=that
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
stirred ^vprf+++xvbnx+=stirred
young ^jj+atrb+++=young
men ^nns++++=men
to ^to++++=to
fighting ^vbg+++xvbg+=fighting
and ^cc++++=and
young ^jj+atrb+++=young
women ^nns++++=women
to ^in++++=to
tears ^nns++++=tears,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
look ^vb++++=look
towards ^in++++=towards
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
another ^ppls++++=another
singer ^np++++=singer
were ^vbd+bed+aux++=were
calling ^nvbg+++xvbg+=calling
him ^pp3o+pp3+++=him
from ^in++++=from
beyond ^in++++=beyond
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
went ^vbd+++xvbnx+=went
from ^in++++=from
Feakle ^np+++??+=Feakle
to ^in++++=to
Caher ^np+++??+=Caher,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
from ^in++++=from
Caher ^np+++??+=Caher
by ^in++++=by
the ^ati++++=the
roads ^nns++++=roads
above ^jjb++++=above
Lough ^np+++??+=Lough
Graney ^np+++??+=Graney,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
water ^nn++++=water
at ^in++++=at
evening ^nn++++=evening
is ^vbz+bez+vrb++=is
like ^in++++=like
a ^at++++=a
shield ^nn++++=shield
dimmed ^vbd+++xvbn+=dimmed
with ^in++++=with
breath ^nn++++=breath,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wherever ^nn+nom+++=wherever
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
he ^pp3a+pp3+++=he
heard ^vbd+vprv++xvbnx+=heard
some ^dti++++=some
whisper ^nn++++=whisper
of ^in++++=of
the ^ati++++=the
hidden ^jj+atrb++xvbn+=hidden
people ^nns++++=people.
. ^zz++++=EXTRAWORD
A ^at++++=A
child ^nn++++=child
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
white ^jj+atrb+++=white
feet ^nns++++=feet
among ^in++++=among
the ^ati++++=the
rushes ^vbz++++=rushes;
; ^zz++++=EXTRAWORD
a ^at++++=a
herdsman ^nn+nom+++=herdsman
had ^vbd+hvd+aux++=had
heard ^vprf+++xvbnx+=heard
hunting ^np+++xvbg+=hunting
horns ^nns++++=horns
under ^in++++=under
the ^ati++++=the
ground ^nn++++=ground;
; ^zz++++=EXTRAWORD
an ^at++++=an
old ^jj+atrb+++=old
woman ^nn++++=woman
at ^in++++=at
Ballinakill ^np+++??+=Ballinakill
said ^vbd+vpub+tht0+xvbn+=said
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
lights ^nns++++=lights
travelling ^vwbg+++xvbg+=travelling
every ^at++++=every
night ^nn++++=night
from ^in++++=from
the ^ati++++=the
lake ^nn++++=lake
to ^in++++=to
the ^ati++++=the
mountain ^nn++++=mountain,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
no ^at++++=no
hand ^nn++++=hand
carried ^vbd+++xvbn+=carried
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Hanrahan ^np+nom++??+=Hanrahan
listened ^vbd+++xvbn+=listened,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
would ^md+prd+++=would
sit ^vb++++=sit
long ^rb++++=long
after ^cs+sub+++=after
the ^ati++++=the
tale ^nn++++=tale
was ^vbd+bedz+aux++=was
done ^vpsv++agls+xvbnx+=done,
, ^zz++++=EXTRAWORD
turning ^nvbg+++xvbg+=turning
his ^pp$+pp3+++=his
blackthorn ^jj+++xvbn+=blackthorn
stick ^vb++++=stick
between ^in++++=between
his ^pp$+pp3+++=his
knees ^nns++++=knees.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
the ^ati++++=the
dead ^jj++++=dead
that ^dt+pdem+++=that
are ^vb+ber+aux++=are
calling ^nvbg+++xvbg+=calling
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
a ^at++++=a
smith ^np++++=smith
said ^vbd+vpub++xvbn+=said
to ^to+vcmp+++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
dead ^jj++++=dead
have ^vb+hv+vrb++=have
patience ^nn+nom+++=patience."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Maybe
maybe ^rb+hdg+++=EXTRAWORD
they ^pp3a+pp3+++=they
have ^vb+hv+vrb++=have,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Hanrahan ^np+nom++??+=Hanrahan,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
maybe ^rb+hdg+++=maybe
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
patience ^nn+nom+++=patience
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
hearing ^vbg+vprv++xvbgx+=hearing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
thought ^vprf+++xvbnx+=thought
the ^ati++++=the
world ^nn++++=world
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made
for ^in+ppvb+++=for
desire ^nn++++=desire
and ^cc++++=and
song ^nn++++=song,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+dem+++=that
all ^abn++++=all
sorrow ^nn++++=sorrow
