# ^zz++++=##
# ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
A ^at++++=A
week ^nn++++=week
before ^cs+sub+++=before
Christmas ^np++++=Christmas
Gerasim ^np+++??+=Gerasim
returned ^vbd+++xvbn+=returned
to ^in++++=to
Moscow ^np++++=Moscow.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
tall ^jj++++=tall,
, ^zz++++=EXTRAWORD
broad ^jj++++=broad-shouldered
- ^zz++++=EXTRAWORD
shouldered ^vbd+++xvbn+=EXTRAWORD
peasant ^nn+nom+++=peasant
of ^in++++=of
twenty ^cd++++=twenty-five,
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
strong ^jj+atrb+++=strong
hands ^nns++++=hands
and ^cc++++=and
a ^at++++=a
quiet ^jj++++=quiet,
, ^zz++++=EXTRAWORD
good ^jj++++=good-natured
- ^zz++++=EXTRAWORD
natured ^jj+atrb+++=EXTRAWORD
face ^nn++++=face.
. ^zz++++=EXTRAWORD
During ^in++++=During
the ^ati++++=the
summer ^nn++++=summer
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
worked ^vprf+++xvbnx+=worked
at ^rb++++=at
a ^at++++=a
brickyard ^nn+++??+=brickyard
outside ^jjb++++=outside
the ^ati++++=the
city ^nn++++=city;
; ^zz++++=EXTRAWORD
in ^in++++=in
autumn ^nn++++=autumn
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
helped ^vprf+++xvbnx+=helped
a ^at++++=a
merchant ^nn+nom+++=merchant
carry ^vb++++=carry
goods ^nns++++=goods
from ^in++++=from
the ^ati++++=the
river ^nn++++=river.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
that ^dt+dem+++=that
work ^nn++++=work
ended ^vbd+++xvbn+=ended,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
home ^nr++++=home
to ^in++++=to
his ^pp$+pp3+++=his
village ^nn+nom+++=village.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
little ^ap++++=little
for ^in++++=for
him ^pp3o+pp3+++=him
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
father ^nn++++=father
was ^vbd+bedz+vrb++=was
dead ^jj+pred+++=dead,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
mother ^npt++++=mother
lived ^vbd+++xvbn+=lived
with ^in+ppvb+++=with
his ^pp$+pp3+++=his
married ^xvbn+++xvbn+=married
brother ^npt++++=brother,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
strip ^nn++++=strip
of ^in++++=of
land ^nn++++=land
belonging ^vwbg+++xvbg+=belonging
to ^in++++=to
the ^ati++++=the
family ^nn++++=family
scarcely ^rb+down+++=scarcely
supplied ^vwbn+++xvbn+=supplied
