# ^zz++++=#
Two ^cd++++=TWO
Altars ^nns++++=ALTARS
# ^zz++++=##
# ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
The ^ati++++=THE
Offering ^jj+++xvbg+=OFFERING
Of ^in++++=OF
1776 ^cd+date+++=1776
The ^ati++++=The
sun ^nn++++=sun
was ^vbd+bedz+aux++=was
going ^vbg+++xvbgx+=going
down ^rp++++=down
over ^in++++=over
a ^at++++=a
New ^jj+atrb+++=New
England ^np++++=England
winter ^nn++++=winter
landscape ^nn++++=landscape,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
done ^vprf+++xvbn+=done
but ^cc++++=but
a ^at++++=a
scant ^jj+atrb+++=scant
day ^nn++++=day's
's ^$++++=EXTRAWORD
work ^nn++++=work
in ^in++++=in
the ^ati++++=the
way ^nn++++=way
of ^in++++=of
warming ^xvbg+++xvbg+=warming
the ^ati++++=the
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
seemed ^j+++xvbn+=seemed
resolved ^vb+++xvbn+=resolved
to ^in+vcmp+++=to
make ^vbi++++=make
amends ^nns++++=amends
by ^in++++=by
painting ^xvbg+++xvbg+=painting
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Across ^in+pl+++=Across
the ^ati++++=the
western ^jj+atrb+++=western
sky ^nn++++=sky
lay ^vbd+++xvbn+=lay
long ^jj+atrb+++=long
bars ^nns++++=bars
of ^in++++=of
crimson ^nn+++??+=crimson
and ^cc++++=and
amber ^nn++++=amber;
; ^zz++++=EXTRAWORD
the ^ati++++=the
snow ^nn++++=snow
upon ^in++++=upon
the ^ati++++=the
hills ^npl++++=hills
caught ^vbd+++xvbn+=caught
the ^ati++++=the
glow ^nn++++=glow
and ^cc++++=and
gave ^vbd+++xvbn+=gave
it ^pp3+it+++=it
back ^jjb++++=back
in ^in++++=in
purple ^jj+atrb+++=purple
shadows ^nps++++=shadows,
, ^zz++++=EXTRAWORD
lilac ^jj+atrb+++=lilac
hollows ^nns++++=hollows,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rose ^vbd+++xvbn+=rose-colored
- ^zz++++=EXTRAWORD
colored ^jj+atrb++xvbn+=EXTRAWORD
ridges ^nns++++=ridges.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
fence ^nn++++=fence
rail ^nn++++=rail
wore ^vbd+++xvbn+=wore
a ^at++++=a
white ^jj+atrb+++=white
cap ^nn++++=cap;
; ^zz++++=EXTRAWORD
every ^at++++=every
stone ^nn++++=stone
wall ^nn++++=wall
had ^vbd+hvd+aux++=had
drawn ^vprf+++xvbnx+=drawn
a ^at++++=a
soft ^jj+atrb+++=soft
coverlet ^nn+nom+++=coverlet
over ^in++++=over
its ^pp$+it+++=its
rough ^jj+atrb+++=rough
gray ^np++++=gray
shoulders ^nns+nom+++=shoulders;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
naked ^jj+atrb+++=naked
elms ^nns++++=elms
stood ^vbd+++xvbn+=stood
black ^jj++++=black
and ^cc+phrs+++=and
delicate ^jj++++=delicate
against ^in++++=against
that ^dt+dem+++=that
brisk ^jj++++=brisk,
, ^zz++++=EXTRAWORD
clear ^jj+atrb+++=clear,
, ^zz++++=EXTRAWORD
metallic ^jj+atrb+++=metallic
heaven ^nn++++=heaven
which ^whp+rel+subj++=which
belongs ^vbz++++=belongs
to ^in++++=to
winter ^nn++++=winter
alone ^rb++++=alone.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wind ^nn++++=wind,
, ^zz++++=EXTRAWORD
meanwhile ^rb+cnj+++=meanwhile,
, ^zz++++=EXTRAWORD
cared ^j+++xvbn+=cared
nothing ^pn++++=nothing
for ^in++++=for
the ^ati++++=the
sunset ^nn++++=sunset.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
roguish ^jj++++=roguish
fellow ^jjb++++=fellow,
, ^zz++++=EXTRAWORD
with ^in++++=with
cold ^jj+atrb+++=cold
fingers ^nns+nom+++=fingers
and ^cc++++=and
a ^at++++=a
most ^ql+emph+++=most
impertinent ^jj+atrb+++=impertinent
curiosity ^nn+nom+++=curiosity.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
peeped ^vbd+++xvbnx+=peeped
beneath ^in+pl+++=beneath
the ^ati++++=the
eaves ^nns++++=eaves,
, ^zz++++=EXTRAWORD
shook ^j+++xvbn+=shook
the ^ati++++=the
latch ^nn++++=latch
of ^in++++=of
the ^ati++++=the
Ward ^nn++++=Ward
farmhouse ^nn++++=farmhouse,
, ^zz++++=EXTRAWORD
slapped ^j+++xvbn+=slapped
the ^ati++++=the
loose ^jj+atrb+++=loose
shutter ^nn++++=shutter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
ran ^vbd+++xvbn+=ran
whistling ^jj++++=whistling
down ^in++++=down
the ^ati++++=the
chimney ^nn++++=chimney,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
met ^vpsv++by+xvbnx+=met
by ^in++++=by
such ^abl++++=such
a ^at++++=a
cloud ^nn++++=cloud
of ^in++++=of
smoke ^nn++++=smoke,
, ^zz++++=EXTRAWORD
sparks ^np++++=sparks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
indignant ^jj+atrb+++=indignant
warmth ^nn++++=warmth
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
retreated ^vbd+++xvbnx+=retreated
with ^in++++=with
a ^at++++=a
howl ^nn++++=howl.
. ^zz++++=EXTRAWORD
Within ^in+strn+++=Within,
, ^zz++++=EXTRAWORD
all ^abn++++=all
was ^vbd+bedz+vrb++=was
life ^nn++++=life.
. ^zz++++=EXTRAWORD
The ^ati++++=The
great ^jj+atrb+++=great
kitchen ^nn++++=kitchen
fireplace ^nn++++=fireplace
was ^vbd+bedz+vrb++=was
wide ^jj+pred+++=wide
enough ^qlp++++=enough
to ^to++++=to
roast ^vbi++++=roast
an ^at++++=an
ox ^nn++++=ox
or ^cc++++=or
so ^ql++++=so
Dick ^np++++=Dick
Ward ^nn++++=Ward
had ^vb+hv+aux++=had
always ^rb++splt++=always
declared ^vprf+++xvbnx+=declared,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
Aunt ^nn++++=Aunt
Hitty ^np+++??+=Hitty
insisted ^vbd+vpub++xvbn+=insisted
that ^tht+vcmp+++=that
if ^cs+cnd+++=if
an ^at++++=an
ox ^nn++++=ox
ever ^rb++++=ever
came ^vbd+++xvbn+=came
into ^in+ppvb+++=into
her ^pp$+pp3+++=her
kitchen ^nn++++=kitchen
she ^pp3a+pp3+++=she
would ^md+prd+++=would
like ^vb++++=like
to ^to+vcmp+++=to
know ^vbi+vprv+++=know
who ^whp+who+++=who
was ^vbd+bedz+vrb++=was
to ^in++++=to
scrub ^nn++++=scrub
afterward ^rb++++=afterward.
. ^zz++++=EXTRAWORD
A ^at++++=A
pine ^nn++++=pine
knot ^nn++++=knot
blazed ^vbd+++xvbn+=blazed
upon ^in++++=upon
the ^ati++++=the
hearth ^nn++++=hearth.
. ^zz++++=EXTRAWORD
A ^at++++=A
black ^jj+atrb+++=black
kettle ^nn++++=kettle
sang ^vbd+++xvbn+=sang
over ^rp++++=over
the ^ati++++=the
flames ^nns++++=flames;
; ^zz++++=EXTRAWORD
a ^at++++=a
smaller ^jjr+atrb+++=smaller
one ^pn++++=one,
, ^zz++++=EXTRAWORD
less ^rbr++++=less
musical ^jj++++=musical
but ^cc++++=but
more ^rbr++++=more
useful ^jj++++=useful,
, ^zz++++=EXTRAWORD
bubbled ^j+++xvbn+=bubbled
with ^in++++=with
apple ^nn++++=apple
sauce ^nn++++=sauce;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
three ^cd++++=three
flatirons ^vbz+++??+=flatirons
stood ^vprf+++xvbn+=stood
warming ^vbg+++xvbg+=warming
like ^in++++=like
grave ^jj+atrb+++=grave,
, ^zz++++=EXTRAWORD
triangular ^jj+atrb+++=triangular
officials ^nns+nom+++=officials
awaiting ^vwbg+++xvbg+=awaiting
their ^pp$+pp3+++=their
turn ^nn++++=turn
at ^rb++++=at
duty ^nn++++=duty.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Ward ^np++++=Ward
sat ^vbd+++xvbn+=sat
near ^in+pl+++=near
the ^ati++++=the
table ^nn++++=table,
, ^zz++++=EXTRAWORD
mending ^vbg+++xvbg+=mending
a ^at++++=a
soldier ^nn++++=soldier's
's ^$++++=EXTRAWORD
shirt ^nn++++=shirt
by ^in++++=by
candlelight ^nn++++=candlelight.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
face ^nn++++=face
was ^vbd+bedz+vrb++=was
pale ^nn++++=pale
and ^cc++++=and
composed ^jj+++xvbn+=composed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
smooth ^jj+atrb+++=smooth
bands ^nns++++=bands
of ^in++++=of
brown ^jj+atrb+++=brown
hair ^nn++++=hair
beneath ^rb++++=beneath
her ^pp$+pp3+++=her
white ^jj+atrb+++=white
cap ^nn++++=cap
had ^vb+hv+aux++=had
already ^rb++splt++=already
begun ^vprf+++xvbnx+=begun
to ^to++++=to
show ^vbi+vprv+++=show
threads ^nns++++=threads
of ^in++++=of
silver ^nn++++=silver.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
might ^md+pos+++=might
have ^vb+hv+aux++=have
supposed ^vprf+++xvbnx+=supposed
her ^pp3o+pp3+++=her
occupied ^vbd+++xvbn+=occupied
with ^in++++=with
no ^at++++=no
weightier ^jjr+atrb+++=weightier
matter ^nn++++=matter
than ^in++++=than
the ^ati++++=the
turning ^jj+++xvbg+=turning
of ^in++++=of
a ^at++++=a
cuff ^nn++++=cuff;
; ^zz++++=EXTRAWORD
yet ^rb++++=yet
every ^at++++=every
stitch ^nn++++=stitch
she ^pp3a+pp3+++=she
set ^vbd+++xvbnx+=set
was ^vbd+bedz+vrb++=was
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
war ^nn++++=war.
. ^zz++++=EXTRAWORD
Aunt ^nn++++=Aunt
Hitty ^np+++??+=Hitty,
, ^zz++++=EXTRAWORD
short ^jj++++=short,
, ^zz++++=EXTRAWORD
energetic ^jj++++=energetic,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
built ^vpsv++agls+xvbn+=built
upon ^in++++=upon
a ^at++++=a
plan ^nn++++=plan
which ^whp+rel+subj++=which
seemed ^vbd+seem++xvbn+=seemed
expressly ^rb++++=expressly
contrived ^vbd+++xvbn+=contrived
for ^in++++=for
resisting ^xvbg+++xvbg+=resisting
wind ^nn++++=wind,
, ^zz++++=EXTRAWORD
weather ^nn++++=weather,
, ^zz++++=EXTRAWORD
taxation ^nn+nom+++=taxation,
