In ^in++++=In
the ^ati++++=the
autumn ^nn++++=autumn
of ^in++++=of
1887 ^cd+date+++=1887
Morrison ^np++++=Morrison
and ^cc++++=and
Daly ^np+++??+=Daly
bought ^vbd+++xvbn+=bought
the ^ati++++=the
stumpage ^nn+nom+++=stumpage
on ^in++++=on
twelve ^cd++++=twelve
thousand ^cd++++=thousand
acres ^nns++++=acres
of ^in++++=of
pine ^nn++++=pine
lying ^vwbg+++xvbg+=lying
north ^np+pl+++=north
of ^in++++=of
the ^ati++++=the
Menominee ^np+nom++??+=Menominee
branch ^nn++++=branch,
, ^zz++++=EXTRAWORD
forty ^cd++++=forty-three
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
miles ^nns++++=miles
from ^in++++=from
a ^at++++=a
railroad ^nn++++=railroad
and ^cc++++=and
eleven ^cd++++=eleven
from ^in++++=from
the ^ati++++=the
nearest ^jjt+atrb+++=nearest
tote ^nn+++??+=tote-road.
- ^zz++++=EXTRAWORD
road ^npl++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
tract ^nn++++=tract
was ^vbd+bedz+aux++=was
called ^vpsv++agls+xvbnx+=called
remote ^jj++++=remote
even ^rb++++=even
by ^in++++=by
men ^nns++++=men
who ^whp+rel+subj++=who
measured ^vbd+++xvbn+=measured
distance ^nn+nom+++=distance
in ^in++++=in
frozen ^xvbn+++xvbn+=frozen
rivers ^nns++++=rivers
and ^cc++++=and
provisions ^nns++++=provisions
hauled ^vbd+++xvbn+=hauled
behind ^in+pl+++=behind
bells ^nns++++=bells.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
held ^vbd+vprv++xvbn+=held,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
cruiser ^nn++++=cruiser,
, ^zz++++=EXTRAWORD
somewhat ^rb+down+++=somewhat
more ^rbr++++=more
than ^in++++=than
thirty ^cd++++=thirty
million ^cd++++=million
feet ^nns++++=feet
of ^in++++=of
merchantable ^jj+atrb+++=merchantable
white ^nn++++=white
and ^cc++++=and
Norway ^np++++=Norway
pine ^nn++++=pine,
, ^zz++++=EXTRAWORD
besides ^rb+cnj+++=besides
hemlock ^nn++++=hemlock
which ^whp+rel+obj++=which
nobody ^pn++++=nobody
then ^rn+tm+++=then
considered ^vbd+vprv++xvbn+=considered
worth ^in++++=worth
handling ^xvbg+++xvbg+=handling.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
paid ^vbd+++xvbnx+=paid
four ^cd++++=four
dollars ^nns++++=dollars
and ^cc++++=and
seventy ^cd++++=seventy-five
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
cents ^nns++++=cents
a ^at++++=a
thousand ^cd++++=thousand
on ^in++++=on
the ^ati++++=the
estimate ^nn+nom+++=estimate,
, ^zz++++=EXTRAWORD
secured ^j+++xvbn+=secured
an ^at++++=an
option ^nn++++=option
on ^in++++=on
a ^at++++=a
second ^od++++=second
winter ^nn++++=winter's
's ^vbz+bez+aux++0=EXTRAWORD
cutting ^vbg+++xvbgx+=cutting,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
agreed ^vpsv++agls+xvbn+=agreed
to ^in++++=to
clear ^jj++++=clear
the ^ati++++=the
merchantable ^jj+atrb+++=merchantable
pine ^nn++++=pine
from ^in++++=from
three ^cd++++=three
townships ^nns+nom+++=townships
without ^in++++=without
leaving ^xvbg+++xvbg+=leaving
tops ^nns++++=tops
high ^np++++=high
enough ^qlp++++=enough
to ^to++++=to
waste ^vbi++++=waste
a ^at++++=a
twelve ^cd++++=twelve-foot
- ^zz++++=EXTRAWORD
foot ^nn++++=EXTRAWORD
log ^&fo++++=log.
. ^zz++++=EXTRAWORD
The ^ati++++=The
contract ^nn++++=contract
was ^vbd+bedz+vrb++=was
a ^at++++=a
good ^jj+atrb+++=good
one ^cd1++++=one
if ^cs+cnd+++=if
the ^ati++++=the
timber ^nn++++=timber
ran ^vbd+++xvbn+=ran
as ^cs+sub+++=as
represented ^vbd+++xvbn+=represented,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
snow ^nn++++=snow
came ^vbd+++xvbn+=came
early ^jj++++=early,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
the ^ati++++=the
ice ^nn++++=ice
held ^vbd+vprv++xvbn+=held
late ^jj++++=late,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
horses ^nns++++=horses
lived ^vbd+++xvbn+=lived,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
men ^nns++++=men
worked ^vbd+++xvbn+=worked,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
a ^at++++=a
dozen ^cd++++=dozen
other ^ap++++=other
matters ^nns+nom+++=matters
remained ^vprf+++xvbn+=remained
obedient ^jj++++=obedient
which ^whp+who+++=which
commonly ^rb++++=commonly
do ^vb+do+vrb++=do
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
Morrison ^np++++=Morrison
attended ^vbd+++xvbn+=attended
to ^in++++=to
money ^nn++++=money.
. ^zz++++=EXTRAWORD
Daly ^np+++??+=Daly
knew ^vbd+vprv++xvbn+=knew
lumber ^vb++++=lumber.
. ^zz++++=EXTRAWORD
" ^zz++++="We'll
we ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
need ^vb++++=need
a ^at++++=a
hard ^jj+atrb+++=hard
man ^nn++++=man
on ^in++++=on
the ^ati++++=the
job ^nn++++=job,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Daly ^np+++??+=Daly.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
hired ^vbd+++xvbnx+=hired
James ^np++++=James
Bourke ^np+++??+=Bourke.
. ^zz++++=EXTRAWORD
In ^in++++=In
six ^cd++++=six
counties ^nns++++=counties
Bourke ^np+++??+=Bourke
was ^vbd+bedz+aux++=was
known ^vpsv++agls+xvbnx+=known
as ^ql++++=as
Rough ^jj++++=Rough
Red ^jj++++=Red.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
got ^vprf+++xvbnx+=got
the ^ati++++=the
name ^nn++++=name
partly ^rb+down+++=partly
from ^in++++=from
his ^pp$+pp3+++=his
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
stood ^vbd+++xvbn+=stood
thick ^jj++++=thick
and ^cc++++=and
rust ^nn++++=rust-coloured
- ^zz++++=EXTRAWORD
coloured ^jj+++xvbn+=EXTRAWORD
from ^in++++=from
his ^pp$+pp3+++=his
head ^nn++++=head,
, ^zz++++=EXTRAWORD
partly ^rb+down+++=partly
from ^in++++=from
the ^ati++++=the
scarlet ^jj+atrb+++=scarlet
sash ^nn++++=sash
he ^pp3a+pp3+++=he
wore ^vbd+++xvbnx+=wore
around ^in++++=around
his ^pp$+pp3+++=his
middle ^jjb++++=middle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
partly ^rb+down+++=partly
from ^in++++=from
a ^at++++=a
disposition ^nn+nom+++=disposition
which ^whp+rel+subj++=which
made ^vprf+++xvbn+=made
the ^ati++++=the
adjective ^nn++++=adjective
unnecessary ^jj++++=unnecessary.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
lay ^jjb+++xvbn+=lay
out ^rp+pl+++=out
a ^at++++=a
camp ^nn++++=camp,
, ^zz++++=EXTRAWORD
build ^nn++++=build
a ^at++++=a
dam ^nn++++=dam,
, ^zz++++=EXTRAWORD
freeze ^nn++++=freeze
a ^at++++=a
road ^nn++++=road,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bring ^vb++++=bring
logs ^nns++++=logs
to ^in++++=to
a ^at++++=a
rollway ^nn+++??+=rollway
against ^in++++=against
weather ^nn++++=weather
and ^cc++++=and
reason ^nn++++=reason.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
also ^rb++++=also
drink ^nn++++=drink
for ^in++++=for
three ^cd++++=three
days ^nns++++=days,
, ^zz++++=EXTRAWORD
break ^vb++++=break
a ^at++++=a
man ^nn++++=man's
's ^$++++=EXTRAWORD
jaw ^nn++++=jaw,
, ^zz++++=EXTRAWORD
throw ^vb++++=throw
a ^at++++=a
hot ^jj+atrb+++=hot
stove ^nn++++=stove
outdoors ^nns+pl+++=outdoors
for ^in++++=for
a ^at++++=a
delicate ^jj+atrb+++=delicate
jest ^nn++++=jest,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
persuade ^vb++++=persuade
forty ^cd++++=forty
fellows ^nns++++=fellows
that ^tht+rel+++=that
such ^abl++++=such
acts ^nns++++=acts
were ^vbd+bed+vrb++=were
the ^ati++++=the
natural ^jj+atrb+++=natural
recreations ^nns+nom+++=recreations
of ^in++++=of
winter ^nn++++=winter.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
crew ^nn++++=crew
came ^vbd+++xvbn+=came
mostly ^rb++++=mostly
from ^in++++=from
the ^ati++++=the
river ^nn++++=river
towns ^nns++++=towns.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
Irishmen ^np+++??+=Irishmen
by ^in++++=by
birth ^nn++++=birth
or ^cc++++=or
immediate ^jj+atrb+++=immediate
descent ^nn++++=descent,
, ^zz++++=EXTRAWORD
broad ^jj++++=broad-backed,
- ^zz++++=EXTRAWORD
backed ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
loud ^jj++++=loud-voiced,
- ^zz++++=EXTRAWORD
voiced ^vprf+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
loyal ^jj++++=loyal
to ^in++++=to
Bourke ^np+++??+=Bourke,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
suspicious ^jj++++=suspicious
of ^in++++=of
any ^dti++++=any
authority ^nn+nom+++=authority
not ^xnot++not++=not
established ^vbd+vprv++xvbn+=established
with ^in++++=with
a ^at++++=a
fist ^nn++++=fist.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
gambled ^vbd+++xvbnx+=gambled,
, ^zz++++=EXTRAWORD
drank ^j+++xvbn+=drank,
, ^zz++++=EXTRAWORD
