In ^in++++=In
the ^ati++++=the
year ^nn++++=year
1552 ^cd++++=1552,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
broad ^jj+atrb+++=broad
meadows ^nns++++=meadows
of ^in++++=of
the ^ati++++=the
Volga ^np+++??+=Volga
lay ^vbd+++xvbn+=lay
beneath ^in+pl+++=beneath
the ^ati++++=the
summer ^nn++++=summer
sun ^nn++++=sun
like ^in++++=like
a ^at++++=a
carpet ^nn++++=carpet
of ^in++++=of
living ^xvbg+++xvbg+=living
green ^npl++++=green,
, ^zz++++=EXTRAWORD
Ivan ^np++++=Ivan
Vassilievitch ^np+++??+=Vassilievitch,
, ^zz++++=EXTRAWORD
Tzar ^np+++??+=Tzar
of ^in++++=of
all ^abn++++=all
the ^ati++++=the
Russias ^np+++??+=Russias,
, ^zz++++=EXTRAWORD
marched ^j+++xvbn+=marched
against ^in++++=against
Kazan ^np+++??+=Kazan.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
then ^rn+tm+++=then
but ^cc++++=but
two ^cd++++=two-and-twenty
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
twenty ^cd++++=EXTRAWORD
years ^nns++++=years
of ^in++++=of
age ^nn++++=age.
. ^zz++++=EXTRAWORD
Already ^rb++++=Already
men ^nns++++=men
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
to ^to++++=to
call ^vbi++++=call
him ^pp3o+pp3+++=him
Ivan ^np++++=Ivan
the ^ati++++=the
Terrible ^jj++++=Terrible;
; ^zz++++=EXTRAWORD
yet ^rb++++=yet
the ^ati++++=the
name ^nn++++=name
signified ^vbd+++xvbn+=signified
rather ^rb++++=rather
the ^ati++++=the
terror ^nn++++=terror
of ^in++++=of
his ^pp$+pp3+++=his
enemies ^nns++++=enemies
than ^in++++=than
that ^cs+sub+++=that
darker ^jjr+atrb+++=darker
terror ^nn++++=terror
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
afterwards ^rb+tm+++=afterwards
to ^to++++=to
become ^vbi++++=become
among ^in++++=among
his ^pp$+pp3+++=his
own ^ap++++=own
people ^nns++++=people.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
brave ^jj+pred+++=brave,
, ^zz++++=EXTRAWORD
ardent ^jj++++=ardent,
, ^zz++++=EXTRAWORD
devout ^jj++++=devout
after ^in++++=after
the ^ati++++=the
fashion ^nn++++=fashion
of ^in++++=of
his ^pp$+pp3+++=his
time ^nn++++=time,
, ^zz++++=EXTRAWORD
eager ^jj++++=eager
for ^in++++=for
glory ^nn++++=glory,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
incapable ^jj++++=incapable
of ^in++++=of
mercy ^nn++++=mercy.
. ^zz++++=EXTRAWORD
Those ^dt+pdem+++=Those
who ^whp+rel+subj++=who
saw ^vbd+vprv+tht0+xvbn+=saw
him ^pp3o+pp3+++=him
kneeling ^vbg+nom++xvbg+=kneeling
before ^in++++=before
the ^ati++++=the
sacred ^jj+atrb+++=sacred
pictures ^nns++++=pictures,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
riding ^nvbg+++xvbg+=riding
in ^in++++=in
gilded ^jj+atrb++xvbn+=gilded
armour ^nn++++=armour
at ^in++++=at
the ^ati++++=the
head ^nn++++=head
of ^in++++=of
his ^pp$+pp3+++=his
hosts ^nns++++=hosts,
, ^zz++++=EXTRAWORD
might ^md+pos+++=might
well ^rb++splt++=well
believe ^vb+vprv+++=believe
that ^tht+vcmp+++=that
Heaven ^nn++++=Heaven
had ^vbd+hvd+aux++=had
raised ^vprf+++xvbnx+=raised
up ^rp++++=up
a ^at++++=a
great ^jj+atrb+++=great
prince ^npt++++=prince
for ^in++++=for
Russia ^np++++=Russia.
. ^zz++++=EXTRAWORD
Kazan ^np+++??+=Kazan,
, ^zz++++=EXTRAWORD
the ^ati++++=the
stronghold ^nn++++=stronghold
of ^in++++=of
the ^ati++++=the
Tatars ^np+++??+=Tatars,
, ^zz++++=EXTRAWORD
stood ^j+++xvbn+=stood
proudly ^rb++++=proudly
above ^jjb++++=above
the ^ati++++=the
Volga ^np+++??+=Volga.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
walls ^nns++++=walls
were ^vbd+bed+vrb++=were
of ^in++++=of
timber ^nn++++=timber
and ^cc++++=and
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
of ^in++++=of
prodigious ^jj+atrb+++=prodigious
thickness ^nns+nom+++=thickness;
; ^zz++++=EXTRAWORD
its ^pp$+it+++=its
towers ^nns++++=towers
were ^vbd+bed+vrb++=were
high ^jj+pred+++=high;
; ^zz++++=EXTRAWORD
its ^pp$+it+++=its
gates ^nns++++=gates
were ^vbd+bed+aux++=were
defended ^vpsv++by+xvbnx+=defended
by ^in++++=by
valiant ^jj+atrb+++=valiant
warriors ^nns++++=warriors;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
within ^in++++=within
rose ^nn+++xvbn+=rose
the ^ati++++=the
palace ^nn++++=palace
of ^in++++=of
Khan ^npt++++=Khan
Yediguer ^np+nom++??+=Yediguer,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mosques ^nns++++=mosques
of ^in++++=of
the ^ati++++=the
Mahometans ^nns+nom++??+=Mahometans,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
slender ^jj+atrb+++=slender
minarets ^nns++++=minarets
from ^in++++=from
which ^whp+rel+pied++=which
the ^ati++++=the
muezzins ^nn++++=muezzins
called ^vbd+++xvbn+=called
the ^ati++++=the
faithful ^nn++++=faithful
to ^in++++=to
prayer ^nn++++=prayer.
. ^zz++++=EXTRAWORD
Copper ^nn++++=Copper
roofs ^nns++++=roofs
and ^cc++++=and
gilded ^jj+atrb++xvbn+=gilded
crescents ^nns++++=crescents
flashed ^vbd+++xvbn+=flashed
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning
light ^nn++++=light.
. ^zz++++=EXTRAWORD
Below ^rb++++=Below,
, ^zz++++=EXTRAWORD
the ^ati++++=the
river ^nn++++=river
bore ^vbd+++xvbn+=bore
boats ^nns++++=boats
laden ^vbd+++xvbn+=laden
with ^in++++=with
provisions ^nns++++=provisions,
, ^zz++++=EXTRAWORD
arms ^nns++++=arms,
, ^zz++++=EXTRAWORD
powder ^nn++++=powder,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
huge ^jj+atrb+++=huge
guns ^nns++++=guns
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
Russians ^nn++++=Russians
placed ^vwbn+++xvbn+=placed
their ^pp$+pp3+++=their
chief ^jjb+atrb+++=chief
hope ^nn++++=hope.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
conquest ^nn++++=conquest
of ^in++++=of
Russia ^np++++=Russia
itself ^ppl++++=itself
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
begun ^vpsv++by+xvbnx+=begun
by ^in++++=by
mounted ^jj+atrb++xvbn+=mounted
bowmen ^nns++++=bowmen;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Ivan ^np++++=Ivan
was ^vbd+bedz+aux++=was
resolved ^vpsv++agls+xvbnx+=resolved
that ^tht+vcmp+++=that
Kazan ^np+++??+=Kazan
should ^md+nec+++=should
be ^vb+be+vrb++=be
subdued ^jj+pred+++=subdued
by ^in++++=by
artillery ^nn+nom+++=artillery.
. ^zz++++=EXTRAWORD
With ^in++++=With
him ^pp3o+pp3+++=him
came ^vbd+++xvbn+=came
princes ^nns++++=princes
and ^cc++++=and
boyards ^nns+++??+=boyards,
, ^zz++++=EXTRAWORD
foreign ^jj+atrb+++=foreign
engineers ^nns+nom+++=engineers,
, ^zz++++=EXTRAWORD
Strelitzes ^np+++??+=Strelitzes
armed ^vbd+++xvbn+=armed
with ^in++++=with
arquebuses ^nns+++??+=arquebuses,
, ^zz++++=EXTRAWORD
miners ^nns++++=miners
skilled ^jj++++=skilled
in ^in++++=in
driving ^xvbg+++xvbg+=driving
passages ^nns+nom+++=passages
beneath ^in+pl+++=beneath
walls ^nns++++=walls,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
multitude ^nn++++=multitude
of ^in++++=of
soldiers ^nns+nom+++=soldiers
gathered ^vbd+++xvbn+=gathered
from ^in++++=from
his ^pp$+pp3+++=his
wide ^jj+atrb+++=wide
dominions ^nns++++=dominions.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
the ^ati++++=the
commanders ^nns+nom+++=commanders
none ^pn++++=none
stood ^vbd+++xvbn+=stood
higher ^jjr++++=higher
in ^in++++=in
courage ^nn+nom+++=courage
or ^cc++++=or
reputation ^nn+nom+++=reputation
than ^in++++=than
Prince ^npt++++=Prince
Andrej ^np+++??+=Andrej
Kourbsky ^np+++??+=Kourbsky.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
temper ^nn++++=temper
was ^vbd+bedz+vrb++=was
proud ^jj+pred+++=proud,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
judgment ^nn+nom+++=judgment
quick ^jj++++=quick,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
arm ^nn++++=arm
renowned ^jj++++=renowned
in ^in++++=in
battle ^nn++++=battle.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
loved ^vbd+++xvbnx+=loved
Russia ^np++++=Russia
sincerely ^rb++++=sincerely;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
served ^vprf+++xvbnx+=served
the ^ati++++=the
Tzar ^np+++??+=Tzar
faithfully ^rb++++=faithfully;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Ivan ^np++++=Ivan,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
could ^md+pos+++=could
then ^rn+tm+splt++=then
still ^rb++++=still
admire ^vb++++=admire
merit ^nn++++=merit
without ^in++++=without
fearing ^xvbg+++xvbg+=fearing
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
trusted ^j+++xvbn+=trusted
him ^pp3o+pp3+++=him
as ^ql++++=as
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
pillars ^nns++++=pillars
of ^in++++=of
his ^pp$+pp3+++=his
throne ^nn++++=throne.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Tatars ^np+++??+=Tatars,
, ^zz++++=EXTRAWORD
meanwhile ^rb+cnj+++=meanwhile,
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
ready ^jj++++=ready
for ^in++++=for
a ^at++++=a
desperate ^jj+atrb+++=desperate
defence ^nn+nom+++=defence.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
if ^cs+cnd+++=if
Kazan ^np+++??+=Kazan
fell ^vbd+++xvbn+=fell,
, ^zz++++=EXTRAWORD
the ^ati++++=the
independence ^nn+nom+++=independence
of ^in++++=of
their ^pp$+pp3+++=their
nation ^nn++++=nation
was ^vbd+bedz+vrb++=was
at ^rb++++=at
an ^at++++=an
end ^nn++++=end.
. ^zz++++=EXTRAWORD
Old ^jj+atrb+++=Old
men ^nns++++=men
who ^whp+rel+subj++=who
remembered ^vbd+vprv++xvbn+=remembered
former ^ap++++=former
victories ^nns++++=victories
spoke ^vbd+++xvbn+=spoke
in ^in++++=in
the ^ati++++=the
market ^nn++++=market-place;
- ^zz++++=EXTRAWORD
place ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
warriors ^nns++++=warriors
sharpened ^vbd+++xvbn+=sharpened
their ^pp$+pp3+++=their
sabres ^nns++++=sabres;
; ^zz++++=EXTRAWORD
women ^nns++++=women
carried ^vbd+++xvbn+=carried
stones ^nns++++=stones
and ^cc++++=and
water ^nn++++=water
to ^in++++=to
the ^ati++++=the
walls ^nns++++=walls;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
priests ^nns++++=priests
of ^in++++=of
their ^pp$+pp3+++=their
faith ^nn++++=faith
promised ^vbd+++xvbn+=promised
Paradise ^nn++++=Paradise
to ^in++++=to
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
should ^md+nec+++=should
die ^vb++++=die
fighting ^nvbg+++xvbg+=fighting
the ^ati++++=the
Christians ^nn++++=Christians.
. ^zz++++=EXTRAWORD
Whatever ^nn+nom+++=Whatever
may ^md+pos+++=may
be ^vb+be+aux++=be
