# ^zz++++=##
# ^zz++++=EXTRAWORD
Two ^cd++++=TWO
Chambers ^nns+nom+++=CHAMBERS
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
diseases ^nns++++=diseases
which ^whp+rel+subj++=which
enter ^vb++++=enter
the ^ati++++=the
dwelling ^jj+++xvbg+=dwelling
like ^in++++=like
visible ^jj+atrb+++=visible
messengers ^nns+nom+++=messengers
of ^in++++=of
sorrow ^nn++++=sorrow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
command ^nn++++=command,
, ^zz++++=EXTRAWORD
by ^in++++=by
their ^pp$+pp3+++=their
very ^ap+amp+++=very
aspect ^nn++++=aspect,
, ^zz++++=EXTRAWORD
the ^ati++++=the
pity ^nn++++=pity
of ^in++++=of
every ^at++++=every
beholder ^jjr++++=beholder;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
others ^aps++++=others
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though
unseen ^jj++++=unseen,
, ^zz++++=EXTRAWORD
breathe ^vb++++=breathe
through ^in++++=through
every ^at++++=every
apartment ^nn+nom+++=apartment,
, ^zz++++=EXTRAWORD
darken ^j+++xvbn+=darken
every ^at++++=every
countenance ^nn+nom+++=countenance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
chill ^vb++++=chill
the ^ati++++=the
warm ^jj++++=warm
current ^jj++++=current
of ^in++++=of
domestic ^jj+atrb+++=domestic
love ^nn++++=love.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
the ^ati++++=the
latter ^ap++++=latter
kind ^nn++++=kind
is ^vbz+bez+vrb++=is
selfishness ^nns+nom+++=selfishness
when ^wrb+who+++=when
joined ^vbd+++xvbn+=joined
with ^in++++=with
bodily ^jj+atrb+++=bodily
suffering ^nvbg+++xvbg+=suffering.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
will ^md+prd+++=will
look ^vb++++=look
in ^in++++=in
upon ^in++++=upon
two ^cd++++=two
chambers ^nns+nom+++=chambers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
learn ^vb+vprv+++=learn
whether ^cs+who+++=whether
pain ^nn++++=pain
must ^md+nec+++=must
needs ^vb++++=needs
make ^vb++++=make
all ^abn++++=all
things ^nns++++=things
painful ^jj++++=painful
around ^in++++=around
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^rb++++=first
