*[sam ^nn+++??+=*[Sam
Lawson ^np++++=Lawson
sat ^vbd+++xvbn+=sat
on ^in++++=on
the ^ati++++=the
sunny ^jj+atrb+++=sunny
side ^nn++++=side
of ^in++++=of
a ^at++++=a
stone ^nn++++=stone
wall ^nn++++=wall
in ^in++++=in
the ^ati++++=the
blueberry ^nn++++=blueberry
pasture ^nn++++=pasture,
, ^zz++++=EXTRAWORD
with ^in++++=with
three ^cd++++=three
boys ^nns++++=boys
round ^rp++++=round
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
baskets ^nns++++=baskets
no ^at++++=no
fuller ^nn++++=fuller
than ^in++++=than
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
came ^vbd+++xvbnx+=came,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
their ^pp$+pp3+++=their
mouths ^nns++++=mouths
and ^cc++++=and
fingers ^nns+nom+++=fingers
were ^vbd+bed+vrb++=were
blue ^np++++=blue
enough ^qlp++++=enough
to ^to++++=to
show ^vbi+vprv+++=show
where ^wrb+who+whcl++=where
the ^ati++++=the
berries ^nns++++=berries
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone.
. ^zz++++=EXTRAWORD
Sam ^nn++++=Sam
had ^vb+hv+vrb++=had
a ^at++++=a
grass ^nn++++=grass-stem
- ^zz++++=EXTRAWORD
stem ^nn++++=EXTRAWORD
between ^in++++=between
his ^pp$+pp3+++=his
teeth ^nns++++=teeth
and ^cc++++=and
his ^pp$+pp3+++=his
old ^jj+atrb+++=old
straw ^nn++++=straw
hat ^nn++++=hat
tipped ^vwbn+++xvbn+=tipped
over ^in++++=over
one ^cd1++++=one
eye.]* ^nn+++??+=eye.]*
" ^zz++++="Wal,
wal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
boys ^nns++++=boys,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Sam ^nn++++=Sam,
, ^zz++++=EXTRAWORD
" ^zz++++="there's
there ^ex+pex+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
some ^dti++++=some
folks ^nns++++=folks
can ^md+pos+++=can
manage ^vb++++=manage
a ^at++++=a
house ^nn++++=house,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there's
's ^vbz+bez+aux++0=EXTRAWORD
some ^dti++++=some
can ^md+pos+++=can
manage ^vb++++=manage
a ^at++++=a
doctrine ^nn++++=doctrine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
