On ^in++++=On
the ^ati++++=the
morning ^nn++++=morning
the ^ati++++=the
sea ^npl++++=sea
returned ^vbd+++xvbn+=returned
the ^ati++++=the
church ^npl++++=church
bell ^nn++++=bell,
, ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
Venn ^np+++??+=Venn
was ^vbd+bedz+aux++=was
repairing ^vbg+++xvbgx+=repairing
a ^at++++=a
clock ^nn++++=clock
that ^tht+rel+subj++=that
had ^vb+hv+aux++=had
never ^rb++splt++=never
told ^vprf+++xvbnx+=told
the ^ati++++=the
truth ^nn++++=truth.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
small ^jj+atrb+++=small
brass ^nn++++=brass
carriage ^nn+nom+++=carriage
clock ^nn++++=clock,
, ^zz++++=EXTRAWORD
green ^nn++++=green
at ^rb++++=at
the ^ati++++=the
hinges ^nns++++=hinges
and ^cc++++=and
engraved ^vpsv++agls+xvbn+=engraved
with ^in++++=with
the ^ati++++=the
words ^nns++++=words
For ^in++++=FOR
Fortunate ^jj+atrb+++=FORTUNATE
Hours ^nns++++=HOURS.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
owner ^nn++++=owner,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Pell ^np++++=Pell,
, ^zz++++=EXTRAWORD
claimed ^j+++xvbn+=claimed
it ^pp3+it+++=it
lost ^vbd+++xvbn+=lost
exactly ^rb++++=exactly
eleven ^cd++++=eleven
minutes ^nns++++=minutes
every ^at++++=every
Thursday ^nr++++=Thursday.
. ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
ten ^cd++++=ten,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
insisted ^vprf+++xvbnx+=insisted.
. ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
twelve ^cd++++=twelve.
. ^zz++++=EXTRAWORD
Eleven ^cd++++=Eleven.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
only ^rb+down+++=only
on ^in++++=on
Thursdays ^nrs++++=Thursdays."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
had ^vbd+hvd+aux++=had
learned ^vprf+++xvbnx+=learned
not ^xnot++not++=not
to ^to++++=to
argue ^vbi+vpub+++=argue
with ^in++++=with
people ^nns++++=people
about ^in++++=about
clocks ^nns++++=clocks.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
confessed ^vbd+vpub++xvbnx+=confessed
more ^rbr++++=more
to ^in++++=to
their ^pp$+pp3+++=their
timepieces ^nns+++??+=timepieces
than ^in++++=than
to ^in++++=to
priests ^nns++++=priests,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
expected ^vbd+vprv++xvbnx+=expected
a ^at++++=a
clockmaker ^jjr++++=clockmaker
to ^to++++=to
understand ^vbi+vprv+++=understand
every ^at++++=every
betrayal ^nn+nom+++=betrayal.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
bent ^vbd+++xvbnx+=bent
over ^in++++=over
the ^ati++++=the
open ^jj+atrb+++=open
mechanism ^nn+nom+++=mechanism,
, ^zz++++=EXTRAWORD
listening ^jj+++xvbg+=listening
to ^in++++=to
the ^ati++++=the
delicate ^jj+atrb+++=delicate
beat ^nn+++xvbn+=beat
of ^in++++=of
the ^ati++++=the
escapement ^nn+nom+++=escapement.
. ^zz++++=EXTRAWORD
Outside ^jjb++++=Outside,
, ^zz++++=EXTRAWORD
gulls ^nns++++=gulls
quarreled ^vbd+++xvbn+=quarreled
above ^jjb++++=above
the ^ati++++=the
harbor ^nn++++=harbor
roofs ^nns++++=roofs.
. ^zz++++=EXTRAWORD
Nets ^nns++++=Nets
hung ^vbd+++xvbn+=hung
from ^in++++=from
iron ^nn++++=iron
hooks ^nns++++=hooks,
, ^zz++++=EXTRAWORD
dripping ^jj+atrb++xvbg+=dripping
silver ^nn++++=silver
water ^nn++++=water
onto ^in++++=onto
the ^ati++++=the
quay ^nn++++=quay.
. ^zz++++=EXTRAWORD
Beyond ^in++++=Beyond
the ^ati++++=the
glass ^nn++++=glass,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sea ^nn++++=sea
was ^vbd+bedz+vrb++=was
the ^ati++++=the
gray ^np++++=gray
of ^in++++=of
unpolished ^jj+++xvbn+=unpolished
pewter ^jjr++++=pewter.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
something ^pn++++=something
struck ^vbd+++xvbn+=struck
the ^ati++++=the
harbor ^nn++++=harbor
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sound ^nn++++=sound
traveled ^vbd+++xvbn+=traveled
through ^in++++=through
the ^ati++++=the
floorboards ^nns++++=floorboards
and ^cc++++=and
up ^rp++++=up
the ^ati++++=the
legs ^nns++++=legs
of ^in++++=of
Mara ^np++++=Mara's
's ^$++++=EXTRAWORD
bench ^nn++++=bench:
: ^zz++++=EXTRAWORD
a ^at++++=a
deep ^jj+atrb+++=deep
bronze ^jj+atrb+++=bronze
note ^nn++++=note,
, ^zz++++=EXTRAWORD
too ^ql++++=too
large ^jj++++=large
to ^to++++=to
belong ^vbi++++=belong
to ^in++++=to
any ^dti++++=any
ship ^nn++++=ship
in ^in++++=in
Bellweather ^np+nom++??+=Bellweather
Bay ^nn++++=Bay.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
clock ^nn++++=clock
in ^in++++=in
the ^ati++++=the
shop ^nn++++=shop
stopped ^vbd+++xvbn+=stopped.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
straightened ^vbd+++xvbn+=straightened.
. ^zz++++=EXTRAWORD
For ^in++++=For
one ^cd1++++=one
astonished ^jj+++xvbn+=astonished
second ^od++++=second
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
ticking ^jj+++xvbg+=ticking
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
The ^ati++++=The
silence ^nn++++=silence
felt ^vbd+vprv++xvbn+=felt
impossible ^jj++++=impossible,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
the ^ati++++=the
world ^nn++++=world
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
a ^at++++=a
breath ^nn++++=breath
and ^cc++++=and
forgotten ^vpsv++agls+xvbn+=forgotten
to ^to+vcmp+++=to
release ^vb++++=release
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
clocks ^nns++++=clocks
resumed ^vbd+++xvbn+=resumed.
. ^zz++++=EXTRAWORD
Tick ^np+++??+=Tick.
. ^zz++++=EXTRAWORD
Tick ^np+++??+=Tick-tick.
- ^zz++++=EXTRAWORD
tick ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
Tock ^np+++??+=Tock.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
crossed ^vbd+++xvbn+=crossed
to ^in++++=to
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
Fishermen ^nns++++=Fishermen
were ^vbd+bed+aux++=were
running ^vbg+++xvbgx+=running
along ^in++++=along
the ^ati++++=the
quay ^nn++++=quay.
. ^zz++++=EXTRAWORD
Old ^jj+atrb+++=Old
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Vale ^np++++=Vale
had ^vbd+hvd+aux++=had
stepped ^vprf+++xvbnx+=stepped
from ^in++++=from
her ^pp$+pp3+++=her
bakery ^nn++++=bakery
with ^in++++=with
flour ^nn++++=flour
to ^in++++=to
her ^pp$+pp3+++=her
elbows ^nns++++=elbows.
. ^zz++++=EXTRAWORD
Children ^nns++++=Children
abandoned ^vbd+++xvbn+=abandoned
their ^pp$+pp3+++=their
hoops ^nns++++=hoops
and ^cc++++=and
skipping ^nn++++=skipping
ropes ^nns++++=ropes.
. ^zz++++=EXTRAWORD
All ^abn++++=All
of ^in++++=of
them ^pp3o+pp3+++=them
stared ^vbd+++xvbn+=stared
toward ^in++++=toward
the ^ati++++=the
harbor ^nn++++=harbor
steps ^nns++++=steps,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
tide ^vb++++=tide
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
a ^at++++=a
dark ^nn++++=dark,
, ^zz++++=EXTRAWORD
weed ^nn++++=weed-covered
- ^zz++++=EXTRAWORD
covered ^vwbn+++xvbn+=EXTRAWORD
shape ^nn++++=shape
between ^in++++=between
two ^cd++++=two
mooring ^nn++++=mooring
posts ^nns++++=posts.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
knew ^vbd+vprv++xvbn+=knew
what ^wdt+who+whcl++=what
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
before ^cs+sub+++=before
the ^ati++++=the
crowd ^nn++++=crowd
pulled ^vbd+++xvbn+=pulled
away ^rp+pl+++=away
the ^ati++++=the
ropes ^nns++++=ropes
and ^cc++++=and
kelp ^nn+++??+=kelp.
. ^zz++++=EXTRAWORD
The ^ati++++=The
church ^npl++++=church
bell ^nn++++=bell
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
home ^nr++++=home.
. ^zz++++=EXTRAWORD
For ^in++++=For
forty ^cd++++=forty-three
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
years ^nns++++=years,
, ^zz++++=EXTRAWORD
the ^ati++++=the
bell ^nn++++=bell
of ^in++++=of
Saint ^nn++++=Saint
Orra ^np++++=Orra's
's ^$++++=EXTRAWORD
'd ^vbd+hvd+aux++=had
rested ^vprf+++xvbnx+=rested
beneath ^in+pl+++=beneath
the ^ati++++=the
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
lost ^vpsv++agls+xvbnx+=lost
on ^in++++=on
the ^ati++++=the
night ^nn++++=night
of ^in++++=of
the ^ati++++=the
Great ^jj+atrb+++=Great
Gale ^nn++++=Gale,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
church ^npl++++=church
tower ^nn++++=tower
cracked ^vbd+++xvbn+=cracked
and ^cc++++=and
the ^ati++++=the
bell ^nn++++=bell
fell ^vbd+++xvbn+=fell
through ^in++++=through
the ^ati++++=the
roof ^nn++++=roof,
, ^zz++++=EXTRAWORD
rolled ^j+++xvbn+=rolled
down ^rp++++=down
Lantern ^nn++++=Lantern
Street ^nn++++=Street,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
vanished ^vpsv++agls+xvbn+=vanished
over ^in++++=over
the ^ati++++=the
cliff ^nn++++=cliff.
. ^zz++++=EXTRAWORD
Seven ^cd++++=Seven
people ^nns++++=people
died ^vbd+++xvbn+=died
in ^in++++=in
the ^ati++++=the
storm ^nn++++=storm.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
boats ^nns++++=boats
were ^vbd+bed+aux++=were
destroyed ^vpsv++agls+xvbnx+=destroyed.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
man ^nn++++=man
disappeared ^vbd+seem++xvbn+=disappeared
and ^cc++++=and
was ^vbd+bedz+aux++=was
never ^rb++splt++=never
found ^vpsv++agls+xvbnx+=found.
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
man ^nn++++=man
was ^vbd+bedz+vrb++=was
Mara ^np++++=Mara's
's ^$++++=EXTRAWORD
father ^nn++++=father.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
four ^cd++++=four
years ^nns++++=years
old ^jj++++=old.
. ^zz++++=EXTRAWORD
By ^in++++=By
the ^ati++++=the
time ^nn++++=time
she ^pp3a+pp3+++=she
reached ^vbd+++xvbnx+=reached
the ^ati++++=the
harbor ^nn++++=harbor
steps ^nns++++=steps,
, ^zz++++=EXTRAWORD
half ^abn++++=half
the ^ati++++=the
