On ^in++++=On
the ^ati++++=the
morning ^nn++++=morning
the ^ati++++=the
sea ^npl++++=sea
returned ^vbd+++xvbn+=returned
the ^ati++++=the
bells ^nns++++=bells,
, ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
Venn ^np+++??+=Venn
was ^vbd+bedz+aux++=was
repairing ^vbg+++xvbgx+=repairing
a ^at++++=a
clock ^nn++++=clock
that ^tht+rel+subj++=that
had ^vb+hv+aux++=had
never ^rb++splt++=never
told ^vprf+++xvbnx+=told
the ^ati++++=the
correct ^jj+atrb+++=correct
time ^nn++++=time.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
wedding ^nn++++=wedding
clock ^nn++++=clock,
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
of ^in++++=of
walnut ^nn++++=walnut
and ^cc++++=and
brass ^nn++++=brass,
, ^zz++++=EXTRAWORD
with ^in++++=with
two ^cd++++=two
painted ^xvbn+++xvbn+=painted
swallows ^nns+++??+=swallows
above ^rb++++=above
its ^pp$+it+++=its
face ^nn++++=face.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
hour ^nn++++=hour,
, ^zz++++=EXTRAWORD
the ^ati++++=the
birds ^nns++++=birds
leaned ^vbd+++xvbn+=leaned
toward ^in++++=toward
each ^dt++++=each
other ^ap++++=other
and ^cc++++=and
touched ^vbd+++xvbn+=touched
their ^pp$+pp3+++=their
beaks ^nns++++=beaks.
. ^zz++++=EXTRAWORD
The ^ati++++=The
clock ^nn++++=clock
had ^vbd+hvd+aux++=had
belonged ^vprf+++xvbnx+=belonged
to ^to++++=to
three ^cd++++=three
generations ^nns+nom+++=generations
of ^in++++=of
the ^ati++++=the
Orrel ^np+++??+=Orrel
family ^nn++++=family,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
according ^in+cmpx+++=according
to ^in"++++=to
its ^pp$+it+++=its
owner ^nn++++=owner,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
run ^vprf+++xvbnx+=run
seven ^cd++++=seven
minutes ^nns++++=minutes
slow ^jj++++=slow
since ^cs+sub+++=since
the ^ati++++=the
day ^nn++++=day
his ^pp$+pp3+++=his
grandmother ^nn+nom+++=grandmother
married ^vbd+++xvbn+=married.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
perhaps ^rb++++=perhaps
seven ^cd++++=seven
minutes ^nns++++=minutes
slow ^jj++++=slow
is ^vbz+bez+vrb++=is
correct ^jj+pred+++=correct
for ^in++++=for
this ^dt+dem+++=this
clock ^nn++++=clock,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
had ^vbd+hvd+aux++=had
said ^vprf+++xvbnx+=said.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Orrel ^np++++=Orrel
had ^vbd+hvd+aux++=had
frowned ^vprf+++xvbnx+=frowned.
. ^zz++++=EXTRAWORD
People ^nns++++=People
came ^vbd+++xvbn+=came
to ^in++++=to
a ^at++++=a
clockmaker ^jjr++++=clockmaker
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
wanted ^vbd+++xvbnx+=wanted
errors ^nns++++=errors
removed ^vwbn+++xvbn+=removed,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
explained ^vbd+vpub++xvbn+=explained.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
alone ^rb++++=alone
in ^in++++=in
her ^pp$+pp3+++=her
workshop ^nn++++=workshop,
, ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
adjusted ^vwbn+++xvbn+=adjusted
the ^ati++++=the
pendulum ^nn++++=pendulum
and ^cc++++=and
listened ^vpsv++agls+xvbn+=listened
to ^in++++=to
the ^ati++++=the
rain ^nn++++=rain
scratching ^vwbg+++xvbg+=scratching
at ^rb++++=at
the ^ati++++=the
windows ^nns++++=windows.
. ^zz++++=EXTRAWORD
Outside ^jjb++++=Outside,
, ^zz++++=EXTRAWORD
the ^ati++++=the
harbor ^nn++++=harbor
town ^nn++++=town
of ^in++++=of
Bellweather ^np+nom++??+=Bellweather
was ^vbd+bedz+aux++=was
waking ^vbg+++xvbgx+=waking.
. ^zz++++=EXTRAWORD
Carts ^np+++??+=Carts
groaned ^vbd+++xvbn+=groaned
over ^in++++=over
wet ^jj+atrb+++=wet
stones ^nns++++=stones.
. ^zz++++=EXTRAWORD
Chimneys ^nns++++=Chimneys
released ^vwbn+++xvbn+=released
thin ^jj+atrb+++=thin
ropes ^nns++++=ropes
of ^in++++=of
smoke ^nn++++=smoke.
. ^zz++++=EXTRAWORD
Gulls ^nns++++=Gulls
circled ^vbd+++xvbn+=circled
above ^jjb++++=above
the ^ati++++=the
roofs ^nns++++=roofs,
, ^zz++++=EXTRAWORD
complaining ^vbg+vpub++xvbg+=complaining
to ^to++++=to
one ^cd1++++=one
another ^dt++++=another.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
beneath ^in+pl+++=beneath
the ^ati++++=the
ticking ^jj+++xvbg+=ticking
of ^in++++=of
forty ^cd++++=forty
clocks ^nns++++=clocks,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
heard ^vbd+vprv++xvbnx+=heard
a ^at++++=a
bell ^nn++++=bell.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sound ^nn++++=sound
was ^vbd+bedz+vrb++=was
deep ^jj+pred+++=deep
and ^cc+phrs+++=and
distant ^jj++++=distant.
. ^zz++++=EXTRAWORD
Mara ^np++++=Mara's
's ^$++++=EXTRAWORD
hands ^nns++++=hands
stopped ^vbd+++xvbn+=stopped.
. ^zz++++=EXTRAWORD
A ^at++++=A
second ^od++++=second
bell ^nn++++=bell
answered ^vbd+vpub++xvbn+=answered,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
a ^at++++=a
third ^nn++++=third.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
clock ^nn++++=clock
in ^in++++=in
the ^ati++++=the
shop ^nn++++=shop
continued ^vbd+++xvbn+=continued
ticking ^nvbg+++xvbg+=ticking,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
none ^rb++++=none
of ^in++++=of
them ^pp3o+pp3+++=them
struck ^vbd+++xvbn+=struck.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sounds ^nns++++=sounds
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
outside ^nn++++=outside
from ^in++++=from
the ^ati++++=the
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
crossed ^vbd+++xvbn+=crossed
the ^ati++++=the
room ^nn++++=room
and ^cc++++=and
opened ^vbd+++xvbn+=opened
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
People ^nns++++=People
stood ^vbd+++xvbn+=stood
motionless ^jj++++=motionless
in ^in++++=in
the ^ati++++=the
street ^nn++++=street.
. ^zz++++=EXTRAWORD
Bakers ^nns++++=Bakers,
, ^zz++++=EXTRAWORD
sailors ^nns++++=sailors,
, ^zz++++=EXTRAWORD
children ^nns++++=children,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fishwives ^nns++++=fishwives
all ^abn++++=all
faced ^jj+++xvbn+=faced
the ^ati++++=the
harbor ^nn++++=harbor.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
the ^ati++++=the
gulls ^nns++++=gulls
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
hang ^vbi++++=hang
silently ^rb++++=silently
in ^in++++=in
the ^ati++++=the
gray ^np++++=gray
air ^nn++++=air.
. ^zz++++=EXTRAWORD
Far ^rb+pl+++=Far
beyond ^in++++=beyond
the ^ati++++=the
breakwater ^nn+nom+++=breakwater,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
sea ^npl++++=sea
met ^vbd+++xvbn+=met
the ^ati++++=the
colorless ^jj+atrb+++=colorless
sky ^nn++++=sky,
, ^zz++++=EXTRAWORD
bells ^nns++++=bells
were ^vbd+bed+aux++=were
ringing ^vbg+++xvbgx+=ringing
under ^in++++=under
the ^ati++++=the
water ^nn++++=water.
. ^zz++++=EXTRAWORD
Everyone ^pn++++=Everyone
in ^in++++=in
Bellweather ^np+nom++??+=Bellweather
knew ^vbd+vprv++xvbn+=knew
the ^ati++++=the
story ^nn++++=story.
. ^zz++++=EXTRAWORD
A ^at++++=A
century ^nn++++=century
earlier ^jjr++++=earlier,
, ^zz++++=EXTRAWORD
the ^ati++++=the
old ^jj+atrb+++=old
town ^nn++++=town
had ^vbd+hvd+aux++=had
stood ^vprf+++xvbnx+=stood
in ^in++++=in
the ^ati++++=the
valley ^nn++++=valley
east ^np+pl+++=east
of ^in++++=of
the ^ati++++=the
cliffs ^nns++++=cliffs.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vbd+hvd+aux++=had
possessed ^vprf+++xvbnx+=possessed
a ^at++++=a
market ^nn++++=market
square ^nn++++=square,
, ^zz++++=EXTRAWORD
a ^at++++=a
church ^nn++++=church
with ^in++++=with
seven ^cd++++=seven
bells ^nns++++=bells,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
streets ^nns++++=streets
lined ^vbd+++xvbn+=lined
with ^in++++=with
apple ^nn++++=apple
trees ^nns++++=trees.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
came ^vbd+++xvbn+=came
the ^ati++++=the
great ^jj+atrb+++=great
storm ^nn++++=storm.
. ^zz++++=EXTRAWORD
Rain ^nn++++=Rain
fell ^vbd+++xvbn+=fell
for ^in+ppvb+++=for
nine ^cd++++=nine
days ^nns++++=days,
, ^zz++++=EXTRAWORD
the ^ati++++=the
river ^npl++++=river
burst ^vbd+++xvbn+=burst
its ^pp$+it+++=its
banks ^nns++++=banks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sea ^npl++++=sea
forced ^vwbn+++xvbn+=forced
its ^pp$+it+++=its
way ^nn++++=way
inland ^jjb++++=inland.
. ^zz++++=EXTRAWORD
By ^in++++=By
the ^ati++++=the
tenth ^nn++++=tenth
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
the ^ati++++=the
entire ^jjb+atrb+++=entire
valley ^nn++++=valley
had ^vbd+hvd+aux++=had
vanished ^vprf+++xvbnx+=vanished
beneath ^in+pl+++=beneath
the ^ati++++=the
water ^nn++++=water.
. ^zz++++=EXTRAWORD
The ^ati++++=The
survivors ^nns++++=survivors
built ^vbd+++xvbn+=built
a ^at++++=a
new ^jj+atrb+++=new
town ^nn++++=town
on ^in++++=on
higher ^jjr+atrb+++=higher
ground ^nn++++=ground
and ^cc++++=and
carried ^vpsv++agls+xvbn+=carried
with ^in++++=with
them ^pp3o+pp3+++=them
whatever ^nn+nom+++=whatever
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
saved ^vprf+++xvbnx+=saved:
: ^zz++++=EXTRAWORD
a ^at++++=a
silver ^nn++++=silver
cup ^nn++++=cup,
, ^zz++++=EXTRAWORD
a ^at++++=a
sack ^nn++++=sack
of ^in++++=of
seeds ^nns++++=seeds,
, ^zz++++=EXTRAWORD
a ^at++++=a
cradle ^nn++++=cradle,
, ^zz++++=EXTRAWORD
a ^at++++=a
church ^nn++++=church
door ^nn++++=door.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
seven ^cd++++=seven
bells ^nns++++=bells
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
too ^ql++++=too
heavy ^jj++++=heavy.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tower ^npl++++=tower
collapsed ^vbd+++xvbn+=collapsed
before ^cs+sub+++=before
anyone ^pn++++=anyone
could ^md+pos+++=could
lower ^jjr++++=lower
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
said ^vpsv++agls+xvbnx+=said
that ^tht+vcmp+++=that
the ^ati++++=the
bells ^nns++++=bells
rang ^vbd+++xvbn+=rang
