On ^in++++=On
the ^ati++++=the
morning ^nn++++=morning
the ^ati++++=the
sea ^npl++++=sea
returned ^vbd+++xvbn+=returned
the ^ati++++=the
church ^npl++++=church
bell ^nn++++=bell,
, ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
Vale ^nn++++=Vale
was ^vbd+bedz+aux++=was
repairing ^vbg+++xvbgx+=repairing
a ^at++++=a
clock ^nn++++=clock
that ^tht+rel+subj++=that
had ^vb+hv+aux++=had
not ^xnot++not++=not
worked ^vbd+++xvbn+=worked
for ^in++++=for
forty ^cd++++=forty-three
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
years ^nns++++=years.
. ^zz++++=EXTRAWORD
The ^ati++++=The
clock ^nn++++=clock
belonged ^vbd+++xvbn+=belonged
to ^in++++=to
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Ossory ^np++++=Ossory,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
claimed ^vbd+vpub+tht0+xvbn+=claimed
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
stopped ^vprf+++xvbnx+=stopped
at ^rb++++=at
the ^ati++++=the
exact ^jj+atrb+++=exact
moment ^nn++++=moment
his ^pp$+pp3+++=his
wife ^nn++++=wife
decided ^vbd+vprv++xvbn+=decided
not ^xnot++not++=not
to ^to++++=to
marry ^vbi++++=marry
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
how ^wrb+who+++=how
did ^vbd+dod+vrb++=did
she ^pp3a+pp3+++=she
become ^vb++++=become
your ^pp$+pp2+++=your
wife ^nn++++=wife?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
asked ^vbd+vsua++xvbn+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
changed ^vbd+++xvbnx+=changed
her ^pp3o+pp3+++=her
mind ^nn++++=mind
at ^rb++++=at
half ^abn++++=half
past ^jjb++++=past
four ^cd++++=four."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
hands ^nns++++=hands
showed ^vbd+vprv++xvbn+=showed
twenty ^cd++++=twenty
minutes ^nns++++=minutes
past ^jjb++++=past
three ^cd++++=three.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
examined ^vwbn+++xvbn+=examined
the ^ati++++=the
mechanism ^nn+nom+++=mechanism
through ^rp++++=through
her ^pp3o+pp3+++=her
magnifying ^jj+atrb++xvbg+=magnifying
lens ^nn++++=lens.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+dem+++=EXTRAWORD
stopped ^jj+++xvbn+=stopped
because ^cs+cos+++=because
someone ^pn++++=someone
poured ^vbd+++xvbn+=poured
honey ^nn++++=honey
into ^in++++=into
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Ossory ^np++++=Ossory
looked ^vbd+++xvbn+=looked
offended ^xvbn+++xvbn+=offended.
. ^zz++++=EXTRAWORD
" ^zz++++="Nella
nella ^vb+++??+=EXTRAWORD
hated ^vbd+++xvbn+=hated
honey ^nn++++=honey."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Perhaps
perhaps ^rb++++=EXTRAWORD
the ^ati++++=the
clock ^nn++++=clock
liked ^vbd+++xvbn+=liked
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Outside ^jjb++++=Outside,
, ^zz++++=EXTRAWORD
gulls ^nns++++=gulls
cried ^vbd+++xvbn+=cried
over ^in++++=over
the ^ati++++=the
steep ^jj+atrb+++=steep
roofs ^nns++++=roofs
of ^in++++=of
Bellweather ^np+nom++??+=Bellweather,
, ^zz++++=EXTRAWORD
a ^at++++=a
town ^nn++++=town
built ^vbd+++xvbn+=built
where ^wrb+who+++=where
the ^ati++++=the
cliffs ^nns++++=cliffs
leaned ^vbd+++xvbn+=leaned
close ^in+cmpx+++=close
to ^in"++++=to
the ^ati++++=the
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
The ^ati++++=The
streets ^nns++++=streets
smelled ^vbd+++xvbn+=smelled
of ^in++++=of
salt ^nn++++=salt,
, ^zz++++=EXTRAWORD
coal ^nn++++=coal
smoke ^nn++++=smoke,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bread ^nn++++=bread.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
house ^npl++++=house
had ^vb+hv+vrb++=had
blue ^jj+atrb+++=blue
shutters ^nns+nom+++=shutters,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
no ^at++++=no
one ^cd1++++=one
remembered ^vbd+vprv++xvbn+=remembered
who ^whp+who+++=who
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
the ^ati++++=the
rule ^nn++++=rule.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
bottom ^nn++++=bottom
of ^in++++=of
the ^ati++++=the
hill ^nn++++=hill,
, ^zz++++=EXTRAWORD
waves ^nns++++=waves
pushed ^vwbn+++xvbn+=pushed
white ^np++++=white
foam ^nn++++=foam
between ^in++++=between
black ^jj+atrb+++=black
rocks ^nns++++=rocks.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
came ^vbd+++xvbn+=came
a ^at++++=a
sound ^jj++++=sound
so ^ql+emph+++=so
deep ^jj++++=deep
that ^dt+dem+++=that
the ^ati++++=the
windowpanes ^nn++++=windowpanes
trembled ^vbd+++xvbn+=trembled.
. ^zz++++=EXTRAWORD
Bong ^np+++??+=Bong.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Ossory ^np++++=Ossory
stood ^vbd+++xvbn+=stood.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
removed ^vwbn+++xvbn+=removed
her ^pp$+pp3+++=her
lens ^nn++++=lens.
. ^zz++++=EXTRAWORD
Bong ^np+++??+=Bong.
. ^zz++++=EXTRAWORD
Dust ^vb++++=Dust
drifted ^vbd+++xvbn+=drifted
from ^in++++=from
the ^ati++++=the
ceiling ^nn+nom+++=ceiling.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
shop ^nn++++=shop
below ^in+strn+++=below,
, ^zz++++=EXTRAWORD
every ^at++++=every
clock ^nn++++=clock
began ^vbd+++xvbn+=began
to ^to++++=to
chime ^vbi++++=chime,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
hour ^nn++++=hour
was ^vbd+bedz+vrb++=was
ten ^cd++++=ten
minutes ^nns++++=minutes
past ^jjb++++=past
nine ^cd++++=nine.
. ^zz++++=EXTRAWORD
Bong ^np+++??+=Bong.
. ^zz++++=EXTRAWORD
People ^nns++++=People
ran ^vbd+++xvbn+=ran
into ^in+ppvb+++=into
the ^ati++++=the
street ^nn++++=street.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
church ^nn++++=church
in ^in++++=in
Bellweather ^np+nom++??+=Bellweather,
, ^zz++++=EXTRAWORD
long ^rb++++=long
before ^cs+sub+++=before
Mara ^np+++??+=Mara
was ^vbd+bedz+aux++=was
born ^vpsv++agls+xvbnx+=born.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vbd+hvd+aux++=had
stood ^vprf+++xvbnx+=stood
on ^in++++=on
a ^at++++=a
low ^jj+atrb+++=low
island ^nn++++=island
in ^in++++=in
the ^ati++++=the
bay ^nn++++=bay,
, ^zz++++=EXTRAWORD
connected ^j+++xvbn+=connected
to ^in++++=to
the ^ati++++=the
town ^nn++++=town
by ^in++++=by
a ^at++++=a
narrow ^jj+atrb+++=narrow
road ^npl++++=road
exposed ^vbd+++xvbn+=exposed
at ^rb++++=at
low ^jj+atrb+++=low
tide ^nn++++=tide.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
winter ^nn++++=winter,
, ^zz++++=EXTRAWORD
during ^in++++=during
a ^at++++=a
storm ^nn++++=storm,
, ^zz++++=EXTRAWORD
the ^ati++++=the
island ^npl++++=island
collapsed ^vbd+++xvbn+=collapsed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
church ^npl++++=church
slid ^vbd+++xvbn+=slid
into ^in++++=into
the ^ati++++=the
sea ^nn++++=sea
with ^in++++=with
its ^pp$+it+++=its
windows ^nns++++=windows
shining ^vwbg+++xvbg+=shining
and ^cc++++=and
its ^pp$+it+++=its
bell ^nn++++=bell
ringing ^vwbg+++xvbg+=ringing.
. ^zz++++=EXTRAWORD
All ^abn++++=All
night ^nn++++=night,
, ^zz++++=EXTRAWORD
people ^nns++++=people
listened ^vbd+++xvbn+=listened
from ^in++++=from
the ^ati++++=the
cliffs ^nns++++=cliffs
as ^ql++++=as
the ^ati++++=the
sound ^jj++++=sound
faded ^jj+++xvbn+=faded
beneath ^in+pl+++=beneath
the ^ati++++=the
waves ^nns++++=waves.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
seventy ^cd++++=seventy-six
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
years ^nns++++=years
ago ^rb++++=ago.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
bell ^nn++++=bell
now ^rn+tm+++=now
tolling ^nn+nom+++=tolling
over ^in++++=over
Bellweather ^np+nom++??+=Bellweather
had ^vb+hv+vrb++=had
the ^ati++++=the
same ^ap++++=same
heavy ^jj+atrb+++=heavy
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
and ^cc++++=and
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Ossory ^np++++=Ossory
hurried ^vbd+++xvbn+=hurried
outside ^jjb++++=outside.
. ^zz++++=EXTRAWORD
The ^ati++++=The
entire ^jjb+atrb+++=entire
town ^nn++++=town
was ^vbd+bedz+aux++=was
moving ^vbg+++xvbgx+=moving
downhill ^rb+pl+++=downhill:
: ^zz++++=EXTRAWORD
bakers ^nns++++=bakers
with ^in++++=with
flour ^nn++++=flour
on ^in++++=on
their ^pp$+pp3+++=their
arms ^nns++++=arms,
, ^zz++++=EXTRAWORD
fishermen ^nns++++=fishermen
in ^in++++=in
oilskins ^nns++++=oilskins,
, ^zz++++=EXTRAWORD
children ^nns++++=children
who ^whp+rel+subj++=who
should ^md+nec+++=should
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
in ^in++++=in
school ^nn++++=school,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
old ^jj+atrb+++=old
women ^nns++++=women
clutching ^vwbg+++xvbg+=clutching
cups ^nns++++=cups
of ^in++++=of
tea ^nn++++=tea.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
harbor ^nn++++=harbor
wall ^nn++++=wall
they ^pp3a+pp3+++=they
stopped ^vbd+++xvbnx+=stopped.
. ^zz++++=EXTRAWORD
Beyond ^in++++=Beyond
the ^ati++++=the
boats ^nns++++=boats,
, ^zz++++=EXTRAWORD
something ^pn++++=something
dark ^jj++++=dark
swung ^vbd+++xvbn+=swung
between ^in++++=between
the ^ati++++=the
waves ^nns++++=waves.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bell ^nn++++=bell
came ^vbd+++xvbn+=came
rolling ^nvbg+++xvbg+=rolling
toward ^in++++=toward
shore ^nn++++=shore,
, ^zz++++=EXTRAWORD
tangled ^jj++++=tangled
in ^in++++=in
red ^jj+atrb+++=red
ropes ^nns++++=ropes
of ^in++++=of
seaweed ^nn++++=seaweed.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
green ^nn++++=green
with ^in++++=with
age ^nn++++=age,
, ^zz++++=EXTRAWORD
broad ^jj++++=broad
enough ^dt++++=enough
for ^in++++=for
a ^at++++=a
child ^nn++++=child
to ^to++++=to
hide ^vbi++++=hide
inside ^jjb++++=inside,
