By ^in++++=By
the ^ati++++=the
time ^nn++++=time
the ^ati++++=the
sea ^npl++++=sea
reached ^vbd+++xvbn+=reached
Bellweather ^np+nom++??+=Bellweather
Station ^nn+nom+++=Station,
, ^zz++++=EXTRAWORD
the ^ati++++=the
trains ^nns++++=trains
had ^vbd+hvd+aux++=had
stopped ^vprf+++xvbnx+=stopped
running ^jj+++xvbg+=running.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
tracks ^nns++++=tracks
still ^rb++++=still
descended ^vbd+++xvbn+=descended
from ^in++++=from
the ^ati++++=the
hills ^nns++++=hills
in ^in++++=in
two ^cd++++=two
shining ^jj+atrb++xvbg+=shining
lines ^nns++++=lines,
, ^zz++++=EXTRAWORD
crossed ^j+++xvbn+=crossed
the ^ati++++=the
drowned ^jj+atrb++xvbn+=drowned
market ^nn++++=market
square ^nn++++=square,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
vanished ^vpsv++agls+xvbn+=vanished
beneath ^in+pl+++=beneath
the ^ati++++=the
green ^jj+atrb+++=green
water ^nn++++=water.
. ^zz++++=EXTRAWORD
On ^in++++=On
clear ^jj+atrb+++=clear
mornings ^nns++++=mornings,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
the ^ati++++=the
tide ^nn++++=tide
was ^vbd+bedz+vrb++=was
low ^jj+pred+++=low
and ^cc++++=and
the ^ati++++=the
wind ^nn++++=wind
quiet ^nn++++=quiet,
, ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
could ^md+pos+++=could
see ^vb+vprv+++=see
the ^ati++++=the
rails ^nns++++=rails
continuing ^vwbg+++xvbg+=continuing
through ^in++++=through
the ^ati++++=the
submerged ^jj+atrb++xvbn+=submerged
streets ^nns++++=streets.
. ^zz++++=EXTRAWORD
Silver ^nn++++=Silver
fish ^nns++++=fish
flickered ^vbd+++xvbn+=flickered
between ^in++++=between
chimneys ^nns++++=chimneys.
. ^zz++++=EXTRAWORD
Long ^rb++++=Long
weeds ^nns++++=weeds
streamed ^vbd+++xvbn+=streamed
from ^in++++=from
the ^ati++++=the
old ^jj+atrb+++=old
signal ^nn++++=signal
tower ^nn++++=tower,
, ^zz++++=EXTRAWORD
bending ^nvbg+++xvbg+=bending
toward ^in++++=toward
the ^ati++++=the
open ^jj+atrb+++=open
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
lived ^vbd+++xvbn+=lived
alone ^rb++++=alone
in ^in++++=in
the ^ati++++=the
stationmaster ^nn+nom+++=stationmaster's
's ^$++++=EXTRAWORD
house ^nn++++=house,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
built ^vpsv++agls+xvbnx+=built
on ^in++++=on
a ^at++++=a
hill ^npl++++=hill
above ^jjb++++=above
the ^ati++++=the
platforms ^nns++++=platforms.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
lit ^vbd+++xvbnx+=lit
the ^ati++++=the
brass ^nn++++=brass
lamp ^nn++++=lamp
above ^in+pl+++=above
the ^ati++++=the
ticket ^nn++++=ticket
window ^nn++++=window.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
wound ^vbd+++xvbnx+=wound
the ^ati++++=the
clock ^nn++++=clock
in ^in++++=in
the ^ati++++=the
waiting ^jj+atrb++xvbg+=waiting
room ^nn++++=room,
, ^zz++++=EXTRAWORD
swept ^xvbn+++xvbn+=swept
the ^ati++++=the
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wrote ^vbd+vprv++xvbn+=wrote
the ^ati++++=the
date ^nn++++=date
in ^in++++=in
the ^ati++++=the
station ^nn+nom+++=station
ledger ^np++++=ledger.
. ^zz++++=EXTRAWORD
No ^at++++=No
passengers ^nns+nom+++=passengers
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
to ^in++++=to
Bellweather ^np+nom++??+=Bellweather
for ^in++++=for
nineteen ^cd++++=nineteen
years ^nns++++=years.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
so ^ql++++=so,
, ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
kept ^vbd+++xvbn+=kept
the ^ati++++=the
station ^nn+nom+++=station
ready ^jj++++=ready.
. ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
father ^npt++++=father
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
the ^ati++++=the
last ^jj+atrb+++=last
stationmaster ^nn+nom+++=stationmaster.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
night ^nn++++=night
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
died ^vbd+++xvbnx+=died,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
pressed ^vprf+++xvbnx+=pressed
the ^ati++++=the
heavy ^jj+atrb+++=heavy
iron ^nn++++=iron
key ^jjb++++=key
into ^in++++=into
her ^pp$+pp3+++=her
palm ^np++++=palm.
. ^zz++++=EXTRAWORD
" ^zz++++="Trains
trains ^nns++++=EXTRAWORD
arrive ^vb++++=arrive
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
needed ^vpsv++agls+xvbnx+=needed,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
whispered ^vprf+++xvbnx+=whispered.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
sixteen ^cd++++=sixteen
and ^cc++++=and
angry ^jj++++=angry
with ^in++++=with
the ^ati++++=the
whole ^jj+atrb+++=whole
world ^nn++++=world.
. ^zz++++=EXTRAWORD
Angry ^jj++++=Angry
with ^in++++=with
the ^ati++++=the
sea ^nn++++=sea
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
swallowed ^vprf+++xvbnx+=swallowed
the ^ati++++=the
town ^nn++++=town,
, ^zz++++=EXTRAWORD
angry ^jj++++=angry
with ^in++++=with
the ^ati++++=the
government ^nn+nom+++=government
engineers ^nns+nom+++=engineers
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
built ^vprf+++xvbnx+=built
walls ^nns++++=walls
too ^ql++++=too
late ^jj++++=late,
, ^zz++++=EXTRAWORD
angry ^jj++++=angry
with ^in++++=with
the ^ati++++=the
railway ^nn++++=railway
company ^nn++++=company
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
abandoned ^vprf+++xvbnx+=abandoned
the ^ati++++=the
coastal ^jj+atrb+++=coastal
line ^nn++++=line,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
angriest ^jjt++++=angriest
of ^in++++=of
all ^rb++++=all
with ^in++++=with
her ^pp3o+pp3+++=her
father ^npt++++=father
for ^in++++=for
dying ^xvbg+++xvbg+=dying.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
are ^vb+ber+vrb++=are
no ^at++++=no
trains ^nns++++=trains,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
told ^vprf+++xvbnx+=told
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
smiled ^vbd+++xvbnx+=smiled.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
the ^ati++++=the
work ^nn++++=work
will ^md+prd+++=will
be ^vb+be+vrb++=be
easy ^jj+pred+++=easy."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
After ^in++++=After
his ^pp$+pp3+++=his
funeral ^nn++++=funeral,
, ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
might ^md+pos+++=might
have ^vb+hv+aux++=have
left ^vprf+++xvbnx+=left.
. ^zz++++=EXTRAWORD
Many ^ap++++=Many
boats ^nns++++=boats
came ^vbd+++xvbn+=came
during ^in++++=during
those ^dt+dem+++=those
first ^rb++++=first
years ^nns++++=years,
, ^zz++++=EXTRAWORD
carrying ^vbg+++xvbg+=carrying
officials ^nns+nom+++=officials,
, ^zz++++=EXTRAWORD
scavengers ^nns+nom+++=scavengers,
, ^zz++++=EXTRAWORD
tourists ^nns+nom+++=tourists,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
families ^nns++++=families
returning ^vwbg+++xvbg+=returning
to ^to++++=to
search ^vbi++++=search
the ^ati++++=the
ruins ^nns++++=ruins.
. ^zz++++=EXTRAWORD
Any ^dti++++=Any
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them
would ^md+prd+++=would
have ^vb+hv+aux++=have
