Every ^at++++=Every
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sea ^npl++++=sea
returned ^vbd+++xvbn+=returned
one ^cd1++++=one
thing ^nn++++=thing
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken.
. ^zz++++=EXTRAWORD
On ^in++++=On
Monday ^nr++++=Monday
it ^pp3+it+++=it
returned ^vbd+++xvbn+=returned
a ^at++++=a
red ^jj+atrb+++=red
wool ^nn++++=wool
glove ^nn++++=glove,
, ^zz++++=EXTRAWORD
stiff ^jj++++=stiff
with ^in++++=with
salt ^nn++++=salt
and ^cc++++=and
missing ^jj+++xvbg+=missing
two ^cd++++=two
fingers ^nns+nom+++=fingers.
. ^zz++++=EXTRAWORD
On ^in++++=On
Tuesday ^nr++++=Tuesday
it ^pp3+it+++=it
returned ^vbd+++xvbn+=returned
the ^ati++++=the
brass ^nn++++=brass
bell ^nn++++=bell
from ^in++++=from
Saint ^nn++++=Saint
Orra ^np++++=Orra's
's ^$++++=EXTRAWORD
chapel ^nn++++=chapel,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
fallen ^vprf+++xvbn+=fallen
from ^in++++=from
the ^ati++++=the
cliff ^nn++++=cliff
during ^in++++=during
the ^ati++++=the
winter ^nn++++=winter
storms ^nns++++=storms
thirty ^cd++++=thirty-seven
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
years ^nns++++=years
earlier ^jjr++++=earlier.
. ^zz++++=EXTRAWORD
On ^in++++=On
Wednesday ^nr++++=Wednesday
it ^pp3+it+++=it
returned ^vbd+++xvbn+=returned
a ^at++++=a
bottle ^nn++++=bottle
of ^in++++=of
green ^jj+atrb+++=green
glass ^nn++++=glass
with ^in++++=with
a ^at++++=a
love ^nn++++=love
letter ^nn++++=letter
sealed ^vwbn+++xvbn+=sealed
inside ^jjb++++=inside,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
lovers ^nns++++=lovers
named ^vbd+++xvbn+=named
in ^in++++=in
the ^ati++++=the
letter ^nn++++=letter
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
dead ^jj++++=dead
for ^in++++=for
nearly ^rb+down+++=nearly
a ^at++++=a
century ^nn++++=century.
. ^zz++++=EXTRAWORD
By ^in++++=By
Thursday ^nr++++=Thursday,
, ^zz++++=EXTRAWORD
everyone ^pn++++=everyone
in ^in++++=in
Bellweather ^np+nom++??+=Bellweather
knew ^vbd+vprv++xvbn+=knew
the ^ati++++=the
tide ^vb++++=tide
had ^vbd+hvd+aux++=had
changed ^vprf+++xvbnx+=changed.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
gathered ^vbd+++xvbnx+=gathered
before ^in++++=before
dawn ^nn++++=dawn
along ^in++++=along
the ^ati++++=the
black ^jj+atrb+++=black
beach ^npl++++=beach,
, ^zz++++=EXTRAWORD
carrying ^vbg+++xvbg+=carrying
lanterns ^nns++++=lanterns
that ^tht+rel+subj++=that
swung ^vbd+++xvbn+=swung
in ^in++++=in
the ^ati++++=the
wind ^nn++++=wind.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fishermen ^nns++++=fishermen
stood ^vbd+++xvbn+=stood
closest ^jjt++++=closest
to ^in++++=to
the ^ati++++=the
water ^nn++++=water.
. ^zz++++=EXTRAWORD
Behind ^in+pl+++=Behind
them ^pp3o+pp3+++=them
waited ^vbd+++xvbn+=waited
widows ^nns++++=widows
in ^in++++=in
buttoned ^vbd+++xvbn+=buttoned
coats ^nns++++=coats,
, ^zz++++=EXTRAWORD
mothers ^nns+nom+++=mothers
with ^in++++=with
sleepy ^jj+atrb+++=sleepy
children ^nns++++=children,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
old ^jj+atrb+++=old
men ^nns++++=men
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
boats ^nns++++=boats,
, ^zz++++=EXTRAWORD
friends ^nns++++=friends,
, ^zz++++=EXTRAWORD
wedding ^nn++++=wedding
rings ^nns++++=rings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hope ^vb++++=hope
to ^to+vcmp+++=to
the ^ati++++=the
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
Venn ^np+++??+=Venn
watched ^vbd+++xvbn+=watched
from ^in++++=from
the ^ati++++=the
steps ^nns++++=steps
of ^in++++=of
her ^pp3o+pp3+++=her
father ^npt++++=father's
's ^vbz+bez+vrb++0=EXTRAWORD
empty ^jj+atrb+++=empty
shop ^nn++++=shop.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sign ^nn++++=sign
above ^jjb++++=above
her ^pp$+pp3+++=her
creaked ^vbd+++xvbn+=creaked:
: ^zz++++=EXTRAWORD
Venn ^np+++??+=VENN
& ^zz++++=&
Daughter ^nn+nom+++=DAUGHTER
Clocks ^nns++++=CLOCKS
Repaired ^vbd+++xvbn+=REPAIRED.
. ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
father ^npt++++=father
had ^vbd+hvd+aux++=had
painted ^vprf+++xvbnx+=painted
the ^ati++++=the
words ^nns++++=words
himself ^ppl+pp3+++=himself
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
ten ^cd++++=ten.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
promised ^vprf+++xvbnx+=promised
to ^to+vcmp+++=to
change ^vb++++=change
the ^ati++++=the
sign ^nn++++=sign
to ^in++++=to
Venn ^np+++??+=VENN
& ^zz++++=&
Venn ^np+++??+=VENN
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
completed ^vbd+++xvbnx+=completed
her ^pp3o+pp3+++=her
apprenticeship ^nn+nom+++=apprenticeship.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
never ^rb++++=never
had ^vb+hv+vrb++=had.
. ^zz++++=EXTRAWORD
Eight ^cd++++=Eight
years ^nns++++=years
had ^vbd+hvd+aux++=had
passed ^vprf+++xvbnx+=passed
since ^cs+sub+++=since
the ^ati++++=the
sea ^nn++++=sea
took ^vbd+++xvbn+=took
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
should ^md+nec+++=should
make ^vb++++=make
a ^at++++=a
request ^nn++++=request,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Pell ^np++++=Pell,
, ^zz++++=EXTRAWORD
the ^ati++++=the
baker ^nn++++=baker,
, ^zz++++=EXTRAWORD
coming ^vbg+++xvbg+=coming
to ^to++++=to
stand ^vbi++++=stand
beside ^in+pl+++=beside
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
request ^nn++++=request?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
pointed ^vbd+++xvbnx+=pointed
toward ^in++++=toward
the ^ati++++=the
shore ^nn++++=shore.
. ^zz++++=EXTRAWORD
People ^nns++++=People
were ^vbd+bed+aux++=were
writing ^vbg+++xvbgx+=writing
on ^in++++=on
scraps ^nns++++=scraps
of ^in++++=of
paper ^nn++++=paper
and ^cc++++=and
tucking ^vbg+++xvbg+=tucking
them ^pp3o+pp3+++=them
into ^in++++=into
cracks ^nns++++=cracks
between ^in++++=between
the ^ati++++=the
rocks ^nns++++=rocks.
. ^zz++++=EXTRAWORD
" ^zz++++="So
so ^cs+sub+++=EXTRAWORD
the ^ati++++=the
sea ^nn++++=sea
knows ^vbz+vprv+++=knows
what ^wdt+who+whcl++=what
to ^to++++=to
return ^vbi++++=return."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
sea ^nn++++=sea
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
read ^vb+vprv++xvbn+=read."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Pell ^np++++=Pell
shrugged ^vbd+++xvbn+=shrugged.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
remembered ^vbd+vprv++xvbn+=remembered
the ^ati++++=the
chapel ^nn++++=chapel
bell ^nn++++=bell."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
Mara ^np+++??+=Mara
could ^md+pos+++=could
answer ^vb++++=answer,
, ^zz++++=EXTRAWORD
a ^at++++=a
cry ^nn++++=cry
rose ^vbd+++xvbn+=rose
from ^in++++=from
the ^ati++++=the
beach ^nn++++=beach.
. ^zz++++=EXTRAWORD
Something ^pn++++=Something
pale ^nn++++=pale
rolled ^vbd+++xvbn+=rolled
in ^in++++=in
the ^ati++++=the
foam ^nn++++=foam.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fishermen ^nns++++=fishermen
hurried ^vbd+++xvbn+=hurried
forward ^rb++++=forward
and ^cc++++=and
pulled ^vbd+++xvbn+=pulled
it ^pp3+it+++=it
beyond ^in++++=beyond
the ^ati++++=the
reach ^nn++++=reach
of ^in++++=of
the ^ati++++=the
next ^ap++++=next
wave ^nn++++=wave.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
moment ^nn++++=moment
the ^ati++++=the
crowd ^nn++++=crowd
was ^vbd+bedz+vrb++=was
silent ^jj+pred+++=silent.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
old ^jj+atrb+++=old
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Vale ^np++++=Vale
pushed ^vwbn+++xvbn+=pushed
through ^rp++++=through
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
dropping ^vbg+++xvbg+=dropping
her ^pp$+pp3+++=her
lantern ^nn++++=lantern.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
small ^jj+atrb+++=small
wooden ^jj+atrb+++=wooden
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
blue ^jj+atrb+++=blue
paint ^nn++++=paint
faded ^vbd+++xvbn+=faded
almost ^rb+hdg+++=almost
white ^jj++++=white.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
Daniel ^np++++=Daniel's,"
's," ^nn+++??+=EXTRAWORD
she ^pp3a+pp3+++=she
whispered ^vbd+vpub++xvbnx+=whispered.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
son ^nn++++=son
had ^vbd+hvd+aux++=had
drowned ^vprf+++xvbnx+=drowned
at ^rb++++=at
seven ^cd++++=seven
years ^nns++++=years
old ^jj++++=old.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Vale ^np++++=Vale
was ^vbd+bedz+vrb++=was
eighty ^cd++++=eighty-three.
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
cradled ^vbd+++xvbnx+=cradled
the ^ati++++=the
toy ^nn++++=toy
against ^in++++=against
her ^pp$+pp3+++=her
chest ^nn++++=chest
and ^cc++++=and
wept ^vbd+++xvbn+=wept.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
went ^vbd+++xvbn+=went
inside ^jjb++++=inside
and ^cc+phrs+++=and
locked ^jj+++xvbn+=locked
the ^ati++++=the
shop ^nn++++=shop.
. ^zz++++=EXTRAWORD
Clocks ^nns++++=Clocks
covered ^vbd+++xvbn+=covered
the ^ati++++=the
walls ^nns++++=walls
from ^in++++=from
floor ^nn++++=floor
to ^in++++=to
ceiling ^nn+nom+++=ceiling:
: ^zz++++=EXTRAWORD
walnut ^nn++++=walnut
clocks ^nns++++=clocks,
, ^zz++++=EXTRAWORD
silver ^nn++++=silver
carriage ^nn+nom+++=carriage
clocks ^nns++++=clocks,
, ^zz++++=EXTRAWORD
cheap ^jj+atrb+++=cheap
tin ^nn++++=tin
alarm ^vb++++=alarm
clocks ^nns++++=clocks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one
magnificent ^jj+atrb+++=magnificent
French ^jj+atrb+++=French
clock ^nn++++=clock
beneath ^in+pl+++=beneath
a ^at++++=a
glass ^nn++++=glass
dome ^nn++++=dome.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
ticking ^xvbg+++xvbg+=ticking
filled ^vprf+++xvbn+=filled
the ^ati++++=the
rooms ^nns++++=rooms
with ^in++++=with
the ^ati++++=the
sound ^nn++++=sound
of ^in++++=of
rain ^nn++++=rain
on ^in++++=on
a ^at++++=a
roof ^nn++++=roof.
. ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
father ^npt++++=father
had ^vbd+hvd+aux++=had
taught ^vprf+++xvbnx+=taught
her ^pp$+pp3+++=her
that ^cs+sub+++=that
no ^at++++=no
two ^cd++++=two
clocks ^nns++++=clocks
spoke ^vbd+++xvbn+=spoke
in ^in++++=in
precisely ^rb++++=precisely
the ^ati++++=the
same ^ap++++=same
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
clock ^nn++++=clock
is ^vbz+bez+vrb++=is
only ^rb+down+++=only
a ^at++++=a
machine ^nn++++=machine
trying ^vb+++xvbg+=trying
to ^to+vcmp+++=to
remember ^nn+nom+++=remember
the ^ati++++=the
future ^jjb++++=future,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
used ^md"++pmd"++=used
to ^to++++=to
say ^vb+vpub+++=say.
