Every ^at++++=Every
morning ^nn++++=morning
at ^in++++=at
six ^cd++++=six,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sea ^npl++++=sea
left ^vbd+++xvbn+=left
a ^at++++=a
gift ^nn++++=gift
on ^in++++=on
Mara ^np+++??+=Mara
Vale ^np++++=Vale's
's ^$++++=EXTRAWORD
doorstep ^nn++++=doorstep.
. ^zz++++=EXTRAWORD
Usually ^rb+down+++=Usually
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
something ^pn++++=something
small ^jj++++=small:
: ^zz++++=EXTRAWORD
a ^at++++=a
green ^jj+atrb+++=green
bottle ^nn++++=bottle
polished ^jj++++=polished
cloudy ^jj++++=cloudy
by ^in++++=by
sand ^nn++++=sand,
, ^zz++++=EXTRAWORD
a ^at++++=a
feather ^nn++++=feather
with ^in++++=with
a ^at++++=a
silver ^nn++++=silver
spine ^nn++++=spine,
, ^zz++++=EXTRAWORD
a ^at++++=a
button ^nn++++=button
made ^vbd+++xvbn+=made
of ^in++++=of
bone ^nn++++=bone.
. ^zz++++=EXTRAWORD
Once ^rb+cnj+++=Once,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
found ^vbd+vprv+tht0+xvbnx+=found
a ^at++++=a
child ^nn++++=child's
's ^vbz+bez+vrb++0=EXTRAWORD
red ^jj+atrb+++=red
shoe ^nn++++=shoe,
, ^zz++++=EXTRAWORD
perfectly ^rb+amp+++=perfectly
dry ^jj++++=dry
despite ^in++++=despite
the ^ati++++=the
rain ^nn++++=rain.
. ^zz++++=EXTRAWORD
Another ^dt++++=Another
time ^nn++++=time,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
opened ^vbd+++xvbnx+=opened
the ^ati++++=the
door ^nn++++=door
to ^to++++=to
discover ^nn+nom+++=discover
a ^at++++=a
brass ^nn++++=brass
key ^jjb++++=key
lying ^jj+++xvbg+=lying
on ^in++++=on
the ^ati++++=the
wet ^jj+atrb+++=wet
stone ^nn++++=stone,
, ^zz++++=EXTRAWORD
warm ^jj++++=warm
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++=it
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
been ^vprf+ben+aux+xvbnx+=been
taken ^vpsv++agls+xvbnx+=taken
from ^in++++=from
someone ^pn++++=someone's
's ^vbz+bez+vrb++0=EXTRAWORD
pocket ^nn++++=pocket.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
kept ^vbd+++xvbn+=kept
every ^at++++=every
gift ^nn++++=gift.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
arranged ^vbd+vsua++xvbnx+=arranged
them ^pp3o+pp3+++=them
on ^in++++=on
narrow ^jj+atrb+++=narrow
shelves ^nns++++=shelves
in ^in++++=in
the ^ati++++=the
workshop ^nn++++=workshop
behind ^rp+pl+++=behind
her ^pp3o+pp3+++=her
house ^npl++++=house,
, ^zz++++=EXTRAWORD
between ^in++++=between
jars ^nns++++=jars
of ^in++++=of
screws ^nns++++=screws
and ^cc++++=and
trays ^nns++++=trays
of ^in++++=of
watch ^nn++++=watch
springs ^vbz++++=springs.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
customers ^nns+nom+++=customers
asked ^vbd+vsua++xvbn+=asked
about ^rb++++=about
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub+tht0+xvbnx+=said
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
payment ^nn+nom+++=payment.
. ^zz++++=EXTRAWORD
" ^zz++++="Payment
payment ^nn+nom+++=EXTRAWORD
for ^in++++=for
what ^wdt+who+++=what?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
would ^md+prd+++=would
ask ^vb++++=ask.
. ^zz++++=EXTRAWORD
" ^zz++++="For
for ^in++++=EXTRAWORD
keeping ^xvbg+++xvbg+=keeping
the ^ati++++=the
clocks ^nns++++=clocks
running ^vwbg+++xvbg+=running."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+dem+++=This
answer ^nn++++=answer
satisfied ^vbd+++xvbn+=satisfied
no ^at++++=no
one ^pn++++=one,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Mara ^np+++??+=Mara
had ^vbd+hvd+aux++=had
learned ^vprf+++xvbnx+=learned
that ^tht+vcmp+++=that
a ^at++++=a
calm ^nn++++=calm
mystery ^nn+nom+++=mystery
was ^vbd+bedz+vrb++=was
more ^rbr++++=more
persuasive ^jj+pred+++=persuasive
than ^in++++=than
an ^at++++=an
elaborate ^nn++++=elaborate
lie ^vb++++=lie.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
the ^ati++++=the
only ^rb+down+++=only
clockmaker ^jjr++++=clockmaker
in ^in++++=in
Bellweather ^np+nom++??+=Bellweather,
, ^zz++++=EXTRAWORD
a ^at++++=a
