Every ^at++++=Every
morning ^nn++++=morning
at ^in++++=at
seven ^cd++++=seven,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sea ^npl++++=sea
left ^vbd+++xvbn+=left
a ^at++++=a
letter ^nn++++=letter
on ^in++++=on
Mara ^np+++??+=Mara
Vale ^np++++=Vale's
's ^$++++=EXTRAWORD
doorstep ^nn++++=doorstep.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^od++++=first
arrived ^vbd+++xvbn+=arrived
in ^in++++=in
October ^nr++++=October,
, ^zz++++=EXTRAWORD
folded ^j+++xvbn+=folded
into ^in++++=into
a ^at++++=a
square ^nn++++=square
and ^cc++++=and
sealed ^vpsv++agls+xvbn+=sealed
with ^in++++=with
gray ^np++++=gray
wax ^nn++++=wax.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
damp ^nn++++=damp
but ^cc++++=but
not ^xnot++not++=not
soaked ^jj+++xvbn+=soaked,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
tide ^vb++++=tide
had ^vbd+hvd+aux++=had
climbed ^vprf+++xvbnx+=climbed
the ^ati++++=the
harbor ^nn++++=harbor
wall ^nn++++=wall
during ^in++++=during
the ^ati++++=the
night ^nn++++=night
and ^cc++++=and
flooded ^jj+atrb+++=flooded
half ^nn++++=half
of ^in++++=of
Lantern ^nn++++=Lantern
Street ^nn++++=Street.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
name ^nn++++=name
was ^vbd+bedz+aux++=was
written ^vpsv++agls+xvbnx+=written
across ^in+pl+++=across
the ^ati++++=the
front ^nn++++=front
in ^in++++=in
a ^at++++=a
narrow ^jj++++=narrow,
, ^zz++++=EXTRAWORD
slanting ^nn++++=slanting
hand ^nn++++=hand:
: ^zz++++=EXTRAWORD
**mara ^nn+++??+=**MARA
Vale ^npl++++=VALE,
, ^zz++++=EXTRAWORD
Clock ^nn++++=CLOCK
Repairer** ^np+++??+=REPAIRER**
Inside ^jjb++++=Inside
was ^vbd+bedz+vrb++=was
a ^at++++=a
single ^jj+atrb+++=single
sentence ^nn+nom+++=sentence.
. ^zz++++=EXTRAWORD
**your ^nn+++??+=**Your
brother ^nn++++=brother
is ^vbz+bez+vrb++=is
alive ^jj+pred+++=alive
beneath ^in+pl+++=beneath
the ^ati++++=the
western ^jj+atrb+++=western
bell.** ^nn+++??+=bell.**
Mara ^np+++??+=Mara
read ^vbd+vprv++xvbn+=read
it ^pp3+it+++=it
twice ^rb+cnj+++=twice,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
carried ^vbd+++xvbn+=carried
it ^pp3+it+++=it
to ^in++++=to
the ^ati++++=the
stove ^nn++++=stove
and ^cc++++=and
held ^vbd+vprv++xvbn+=held
one ^cd1++++=one
corner ^npl++++=corner
over ^in++++=over
the ^ati++++=the
flame ^nn++++=flame.
. ^zz++++=EXTRAWORD
The ^ati++++=The
paper ^nn++++=paper
browned ^vbd+++xvbn+=browned.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ink ^nn++++=ink
remained ^vbd+++xvbn+=remained
black ^jj++++=black.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
the ^ati++++=the
fire ^nn++++=fire
could ^md+pos+++=could
take ^vb++++=take
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
dropped ^vbd+++xvbnx+=dropped
the ^ati++++=the
letter ^nn++++=letter
into ^in++++=into
the ^ati++++=the
sink ^nn++++=sink
and ^cc++++=and
turned ^vbd+++xvbn+=turned
away ^rb+phrv+++=away.
. ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
brother ^npt++++=brother,
, ^zz++++=EXTRAWORD
Eli ^np+++??+=Eli,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
dead ^jj++++=dead
for ^in++++=for
eleven ^cd++++=eleven
years ^nns++++=years.
. ^zz++++=EXTRAWORD
The ^ati++++=The
western ^jj+atrb+++=western
bell ^nn++++=bell
had ^vb+hv+aux++=had
not ^xnot++not++=not
rung ^vprf+++xvbn+=rung
for ^in++++=for
twelve ^cd++++=twelve.
. ^zz++++=EXTRAWORD
In ^in++++=In
Bellweather ^np+nom++??+=Bellweather,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
facts ^nns++++=facts
were ^vbd+bed+vrb++=were
as ^ql++++=as
solid ^jj++++=solid
as ^ql++++=as
the ^ati++++=the
cliffs ^nns++++=cliffs.
. ^zz++++=EXTRAWORD
The ^ati++++=The
town ^nn++++=town
stood ^vbd+++xvbn+=stood
on ^in++++=on
a ^at++++=a
crescent ^npl++++=crescent
of ^in++++=of
black ^jj+atrb+++=black
rock ^npl++++=rock
at ^rb++++=at
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
a ^at++++=a
cold ^jj+atrb+++=cold
northern ^jj+atrb+++=northern
sea ^nn++++=sea.
