# ^zz++++=#
The ^ati++++=The
Cartographer ^np+nom++??+=Cartographer
of ^in++++=of
Rain ^nn++++=Rain
In ^in++++=In
Bellweather ^np+nom++??+=Bellweather,
, ^zz++++=EXTRAWORD
rain ^nn++++=rain
had ^vb+hv+aux++=had
always ^rb++splt++=always
fallen ^vprf+++xvbn+=fallen
in ^in++++=in
straight ^jj+atrb+++=straight
lines ^nns++++=lines.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
came ^vbd+++xvbn+=came
down ^in++++=down
neatly ^rb+cnj+++=neatly,
, ^zz++++=EXTRAWORD
silver ^nn++++=silver
threads ^nns++++=threads
from ^in++++=from
a ^at++++=a
gray ^np++++=gray
sky ^nn++++=sky,
, ^zz++++=EXTRAWORD
tapping ^vbg+++xvbg+=tapping
roofs ^nns++++=roofs,
, ^zz++++=EXTRAWORD
rinsing ^jj+atrb++xvbg+=rinsing
windows ^nns++++=windows,
, ^zz++++=EXTRAWORD
filling ^vbg+nom++xvbg+=filling
gutters ^nns+nom+++=gutters.
. ^zz++++=EXTRAWORD
Children ^nns++++=Children
drew ^vbd+++xvbn+=drew
it ^pp3+it+++=it
as ^ql++++=as
they ^pp3a+pp3+++=they
saw ^vbd+vprv+tht0+xvbnx+=saw
it ^pp3+it+++=it:
: ^zz++++=EXTRAWORD
a ^at++++=a
cloud ^nn++++=cloud,
, ^zz++++=EXTRAWORD
a ^at++++=a
row ^nn++++=row
of ^in++++=of
vertical ^jj+atrb+++=vertical
strokes ^nns+++??+=strokes,
, ^zz++++=EXTRAWORD
a ^at++++=a
black ^jj+atrb+++=black
umbrella ^nn++++=umbrella
underneath ^in+strn+++=underneath.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
Tuesday ^nr++++=Tuesday
morning ^nn++++=morning
in ^in++++=in
April ^nr++++=April,
, ^zz++++=EXTRAWORD
the ^ati++++=the
rain ^nn++++=rain
began ^vbd+++xvbn+=began
to ^to++++=to
fall ^vbi++++=fall
sideways ^jjb++++=sideways.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
swept ^vbd+++xvbn+=swept
eastward ^rb++++=eastward
through ^in++++=through
the ^ati++++=the
town ^nn++++=town
as ^cs+sub+++=as
if ^cs+cnd+++=if
chased ^vpsv++by+xvbn+=chased
by ^in++++=by
an ^at++++=an
invisible ^jj+atrb+++=invisible
broom ^nn++++=broom.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
slipped ^vbd+++xvbn+=slipped
beneath ^in+pl+++=beneath
doors ^nns++++=doors,
, ^zz++++=EXTRAWORD
climbed ^jj+atrb++xvbn+=climbed
staircases ^nns++++=staircases,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
soaked ^xvbn+++xvbn+=soaked
only ^rb+down+++=only
the ^ati++++=the
left ^jj+atrb++xvbn+=left
sleeves ^nns++++=sleeves
of ^in++++=of
coats ^nns++++=coats.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
railway ^nn++++=railway
station ^nn+nom+++=station,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
entered ^vbd+++xvbn+=entered
the ^ati++++=the
waiting ^jj+atrb++xvbg+=waiting
room ^nn++++=room
through ^in++++=through
a ^at++++=a
closed ^jj+atrb++xvbn+=closed
window ^nn++++=window
and ^cc++++=and
left ^vpsv++agls+xvbn+=left
through ^in++++=through
an ^at++++=an
open ^jj+atrb+++=open
one ^pn++++=one
without ^in++++=without
wetting ^xvbg+++xvbg+=wetting
the ^ati++++=the
floor ^nn++++=floor
between ^in+strn+++=between.
. ^zz++++=EXTRAWORD
On ^in++++=On
Market ^nn++++=Market
Street ^nn++++=Street,
, ^zz++++=EXTRAWORD
every ^at++++=every
raindrop ^nn+++??+=raindrop
curved ^jj++++=curved
around ^in++++=around
the ^ati++++=the
statue ^nn++++=statue
of ^in++++=of
the ^ati++++=the
town ^nn++++=town's
's ^$++++=EXTRAWORD
founder ^nn++++=founder,
, ^zz++++=EXTRAWORD
