At ^rb++++=At
6:17 ^cd++++=6:17
every ^at++++=every
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sea ^npl++++=sea
returned ^vbd+++xvbn+=returned
one ^cd1++++=one
thing ^nn++++=thing
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
Vale ^nn++++=Vale
knew ^vbd+vprv++xvbn+=knew
this ^dt+dem+++=this
because ^cs+cos+++=because
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
lived ^vprf+++xvbnx+=lived
above ^jjb++++=above
Bellweather ^np+nom++??+=Bellweather
Bay ^nn++++=Bay
for ^in++++=for
sixty ^cd++++=sixty-three
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
years ^nns++++=years,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
because ^cs+cos+++=because
for ^in++++=for
forty ^cd++++=forty-one
- ^zz++++=EXTRAWORD
one ^pn++++=EXTRAWORD
of ^in++++=of
those ^dt+dem+++=those
years ^nns++++=years
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
kept ^vprf+++xvbnx+=kept
the ^ati++++=the
town ^nn++++=town's
's ^$++++=EXTRAWORD
ledger ^np++++=ledger
of ^in++++=of
lost ^xvbn+++xvbn+=lost
objects ^nns++++=objects.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ledger ^np++++=ledger
was ^vbd+bedz+vrb++=was
enormous ^jj+pred+++=enormous.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
red ^jj+atrb+++=red
leather ^nn++++=leather
cover ^nn++++=cover
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
repaired ^vpsv++agls+xvbnx+=repaired
with ^in++++=with
sailcloth ^nn++++=sailcloth,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
pages ^nns++++=pages
swollen ^jj++++=swollen
by ^in++++=by
damp ^nn++++=damp
and ^cc++++=and
salt ^nn++++=salt.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
entry ^nn++++=entry
was ^vbd+bedz+aux++=was
written ^vpsv++agls+xvbnx+=written
in ^in++++=in
Mara ^np++++=Mara's
's ^$++++=EXTRAWORD
narrow ^jj+atrb+++=narrow
hand ^nn++++=hand:
: ^zz++++=EXTRAWORD
*june ^nn+++??+=*June
3 ^zz++++=3,
, ^zz++++=EXTRAWORD
1982 ^cd+date+++=1982
one ^cd1++++=one
silver ^nn++++=silver
teaspoon ^nn++++=teaspoon,
, ^zz++++=EXTRAWORD
engraved ^j+++xvbn+=engraved
E.h ^np+++??+=E.H.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
lost ^j+++xvbn+=lost
from ^in++++=from
the ^ati++++=the
Seabird ^np+++??+=Seabird
Hotel.* ^np+++??+=Hotel.*
*november ^jjr++++=*November
19 ^cd++++=19,
, ^zz++++=EXTRAWORD
1997 ^cd+date+++=1997
a ^at++++=a
green ^jj+atrb+++=green
bottle ^nn++++=bottle
containing ^vwbg+++xvbg+=containing
a ^at++++=a
letter ^nn++++=letter
addressed ^vbd+++xvbn+=addressed
to ^in++++=to
no ^ati++neg++=no
one.* ^nn+++??+=one.*
*january ^nn+nom+++=*January
1 ^zz++++=1,
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005
brass ^nn++++=brass
key ^jjb++++=key,
, ^zz++++=EXTRAWORD
origin ^nn++++=origin
unknown.* ^nn+++??+=unknown.*
Whenever ^nn+nom+++=Whenever
the ^ati++++=the
sea ^npl++++=sea
returned ^vbd+++xvbn+=returned
something ^pn++++=something,
, ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
collected ^vwbn+++xvbn+=collected
it ^pp3+it+++=it
from ^in++++=from
the ^ati++++=the
strip ^nn++++=strip
of ^in++++=of
black ^jj+atrb+++=black
sand ^nn++++=sand
below ^in+pl+++=below
the ^ati++++=the
lighthouse ^nn++++=lighthouse
and ^cc++++=and
searched ^vbd+++xvbn+=searched
the ^ati++++=the
ledger ^np++++=ledger
for ^in++++=for
its ^pp$+it+++=its
owner ^nn++++=owner.
. ^zz++++=EXTRAWORD
Most ^ql+emph+++=Most
objects ^nns++++=objects
came ^vbd+++xvbn+=came
back ^rp++++=back
changed ^vprf+++xvbn+=changed.
. ^zz++++=EXTRAWORD
Coins ^nns++++=Coins
were ^vbd+bed+vrb++=were
polished ^jj++++=polished
smooth ^jj++++=smooth.
. ^zz++++=EXTRAWORD
Rings ^nns++++=Rings
