# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
The ^ati++++=The
Cartographer ^np+nom++??+=Cartographer
of ^in++++=of
Rain ^nn++++=Rain
In ^in++++=In
the ^ati++++=the
town ^nn++++=town
of ^in++++=of
Bellwether ^np+nom++??+=Bellwether,
, ^zz++++=EXTRAWORD
rain ^nn++++=rain
fell ^vbd+++xvbn+=fell
with ^in++++=with
such ^abl++++=such
patience ^nn+nom+++=patience
that ^tht+rel+obj++=that
people ^nns++++=people
measured ^vbd+++xvbn+=measured
their ^pp$+pp3+++=their
lives ^nns++++=lives
by ^in++++=by
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
the ^ati++++=the
silver ^nn++++=silver
rain ^nn++++=rain
of ^in++++=of
early ^nn++++=early
spring ^vb++++=spring,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
polished ^jj++++=polished
the ^ati++++=the
cobbles ^nns++++=cobbles
and ^cc++++=and
drew ^vbd+++xvbn+=drew
worms ^nns++++=worms
from ^in++++=from
the ^ati++++=the
gardens ^nns++++=gardens.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
the ^ati++++=the
warm ^jj+atrb+++=warm
rain ^nn++++=rain
of ^in++++=of
summer ^nn++++=summer,
, ^zz++++=EXTRAWORD
smelling ^vbg+nom++xvbg+=smelling
of ^in++++=of
dust ^nn++++=dust
and ^cc++++=and
nettles ^nns++++=nettles.
. ^zz++++=EXTRAWORD
Autumn ^nn++++=Autumn
brought ^vbd+++xvbn+=brought
rain ^nn++++=rain
that ^tht+rel+subj++=that
tapped ^vbd+++xvbn+=tapped
on ^in++++=on
windows ^nns++++=windows
like ^in++++=like
a ^at++++=a
traveler ^nn++++=traveler
asking ^vwbg+vsua++xvbg+=asking
shelter ^nn++++=shelter,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
winter ^nn++++=winter
rain ^nn++++=rain
came ^vbd+++xvbn+=came
sideways ^jjb++++=sideways
from ^in++++=from
the ^ati++++=the
sea ^nn++++=sea
and ^cc++++=and
found ^vbd+vprv++xvbn+=found
every ^at++++=every
gap ^nn++++=gap
in ^in++++=in
every ^at++++=every
coat ^nn++++=coat.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
understood ^vbd+vprv++xvbn+=understood
rain ^nn++++=rain
better ^jjr++++=better
than ^in++++=than
Elian ^np+++??+=Elian
Vey ^np+++??+=Vey.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
lived ^vbd+++xvbnx+=lived
above ^jjb++++=above
the ^ati++++=the
old ^jj+atrb+++=old
clockmaker ^jjr+atrb+++=clockmaker's
's ^vbz+bez+vrb++0=EXTRAWORD
shop ^nn++++=shop
on ^in++++=on
Lantern ^nn++++=Lantern
Street ^nn++++=Street,
, ^zz++++=EXTRAWORD
in ^in++++=in
three ^cd++++=three
narrow ^jj+atrb+++=narrow
rooms ^nns++++=rooms
crowded ^vbd+++xvbn+=crowded
with ^in++++=with
glass ^nn++++=glass
jars ^nns++++=jars,
, ^zz++++=EXTRAWORD
copper ^nn++++=copper
instruments ^nns+nom+++=instruments,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
maps ^nns++++=maps.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
maps ^nns++++=maps
of ^in++++=of
roads ^nns++++=roads
or ^cc++++=or
rivers ^nns++++=rivers,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
maps ^nns++++=maps
of ^in++++=of
rain ^nn++++=rain.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
morning ^nn++++=morning
before ^in++++=before
sunrise ^nn++++=sunrise,
, ^zz++++=EXTRAWORD
Elian ^np+++??+=Elian
climbed ^vbd+++xvbn+=climbed
to ^in++++=to
the ^ati++++=the
roof ^nn++++=roof.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
he ^pp3a+pp3+++=he
