Every ^at++++=Every
morning ^nn++++=morning
at ^in++++=at
six ^cd++++=six,
, ^zz++++=EXTRAWORD
before ^cs+sub+++=before
the ^ati++++=the
bakery ^nn++++=bakery
lit ^vbd+++xvbn+=lit
its ^pp$+it+++=its
ovens ^nns++++=ovens
and ^cc++++=and
before ^cs+sub+++=before
the ^ati++++=the
buses ^nns++++=buses
began ^vbd+++xvbn+=began
sighing ^vbg+++xvbg+=sighing
at ^in++++=at
the ^ati++++=the
corner ^nn++++=corner,
, ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
Vale ^npl++++=Vale
opened ^vbd+++xvbn+=opened
the ^ati++++=the
Lost ^jj+atrb++xvbn+=Lost
Hour ^nn++++=Hour
Office ^nn++++=Office.
. ^zz++++=EXTRAWORD
The ^ati++++=The
office ^nn++++=office
stood ^vbd+++xvbn+=stood
between ^in++++=between
a ^at++++=a
florist ^nn+nom+++=florist
and ^cc++++=and
a ^at++++=a
watchmaker ^nn++++=watchmaker
on ^in++++=on
Lantern ^nn++++=Lantern
Street ^nn++++=Street.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
windows ^nns++++=windows
were ^vbd+bed+vrb++=were
narrow ^jj+pred+++=narrow,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
brass ^nn++++=brass
sign ^nn++++=sign
was ^vbd+bedz+vrb++=was
green ^nn++++=green
with ^in++++=with
age ^nn++++=age,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
most ^ql+emph+++=most
people ^nns++++=people
passed ^vbd+++xvbn+=passed
it ^pp3+it+++=it
without ^in++++=without
noticing ^nn++++=noticing.
. ^zz++++=EXTRAWORD
Those ^dt+pdem+++=Those
who ^whp+rel+subj++=who
did ^vbd+dod+aux++=did
notice ^nn++++=notice
usually ^rb+down+++=usually
read ^vb+vprv++xvbn+=read
the ^ati++++=the
words ^nns++++=words
twice ^rb++++=twice:
: ^zz++++=EXTRAWORD
**municipal ^jj+atrb+++=**MUNICIPAL
Office ^nn++++=OFFICE
For ^in++++=FOR
The ^ati++++=THE
Recovery ^nn+nom+++=RECOVERY
Of ^in++++=OF
Lost ^xvbn+++xvbn+=LOST
Hours** ^np+++??+=HOURS**
Inside ^jjb++++=Inside,
, ^zz++++=EXTRAWORD
shelves ^nns++++=shelves
rose ^vbd+++xvbn+=rose
to ^in++++=to
the ^ati++++=the
ceiling ^nn+nom+++=ceiling,
, ^zz++++=EXTRAWORD
crowded ^j+++xvbn+=crowded
with ^in++++=with
glass ^nn++++=glass
jars ^nns++++=jars.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
jar ^nn++++=jar
contained ^vbd+++xvbn+=contained
an ^at++++=an
hour ^nn++++=hour
someone ^pn++++=someone
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
glowed ^jj+atrb++xvbn+=glowed
gold ^nn++++=gold,
, ^zz++++=EXTRAWORD
like ^in++++=like
late ^jj+atrb+++=late
summer ^nn++++=summer.
. ^zz++++=EXTRAWORD
Others ^aps++++=Others
were ^vbd+bed+vrb++=were
gray ^np++++=gray
with ^in++++=with
boredom ^nn+nom+++=boredom.
. ^zz++++=EXTRAWORD
A ^ap++++=A
few ^ap"++++=few
shivered ^jj+++xvbn+=shivered
on ^in++++=on
their ^pp$+pp3+++=their
shelves ^nns++++=shelves,
, ^zz++++=EXTRAWORD
cold ^jj++++=cold
and ^cc++++=and
blue ^nn++++=blue,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
certain ^jj+atrb+++=certain
hours ^nns++++=hours
burned ^vbd+++xvbn+=burned
so ^ql++++=so
brightly ^rb++++=brightly
that ^cs+sub+++=that
Elias ^np+++??+=Elias
had ^vb+hv+vrb++=had
to ^in++++=to
wrap ^nn++++=wrap
the ^ati++++=the
jars ^nns++++=jars
in ^in++++=in
black ^jj+atrb+++=black
cloth ^nn++++=cloth.
. ^zz++++=EXTRAWORD
At ^rb++++=At
twenty ^cd++++=twenty-nine,
- ^zz++++=EXTRAWORD
nine ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
was ^vbd+bedz+vrb++=was
the ^ati++++=the
youngest ^jjt+atrb+++=youngest
keeper ^nn++++=keeper
the ^ati++++=the
office ^nn++++=office
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
employed ^vprf+++xvbnx+=employed
and ^cc++++=and,
, ^zz++++=EXTRAWORD
as ^in++++=as
far ^in"+pl+++=far
as ^in"++++=as
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew,
, ^zz++++=EXTRAWORD
the ^ati++++=the
only ^rb+down+++=only
one ^cd1++++=one
left ^nn+++xvbn+=left
in ^in++++=in
the ^ati++++=the
country ^nn++++=country.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wore ^vbd+++xvbnx+=wore
a ^at++++=a
brown ^jj+atrb+++=brown
suit ^nn++++=suit,
